,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,rapeseed,"['rapeseed', 'parachute', 'airship', 'hay', 'barn']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,face powder,"['face powder', 'rapeseed', 'envelope', 'nematode', 'paintbrush']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,thimble,"['thimble', 'lampshade', 'poncho', 'table lamp', 'abaya']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,broccoli,"['broccoli', 'face powder', 'doormat', 'envelope', 'hair slide']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'bib', 'face powder', 'nematode', 'binder']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'bib', 'rapeseed', 'nematode', 'face powder']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,rapeseed,"['rapeseed', 'face powder', 'envelope', 'church', 'handkerchief']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'nematode', 'face powder', 'handkerchief', 'binder']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'parachute', 'face powder', 'bib', 'envelope']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,doormat,"['doormat', 'prayer rug', 'envelope', 'window screen', 'brass']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'bib', 'rapeseed', 'handkerchief', 'hair slide']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'digital clock', 'Irish water spaniel', 'Bouvier des Flandres', 'face powder']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'doormat', 'coffee mug', 'dishrag', 'cup']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,rapeseed,"['rapeseed', 'gazelle', 'hartebeest', 'bustard', 'ostrich']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nematode,"['nematode', 'doormat', 'rule', 'nail', 'ballpoint']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'envelope', 'cheetah', 'Bedlington terrier', 'Kerry blue terrier']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'nematode', 'face powder', 'bib', 'rule']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'handkerchief', 'binder', 'pick', 'face powder']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,rapeseed,"['rapeseed', 'nematode', 'gazelle', 'African elephant', 'hartebeest']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,rapeseed,"['rapeseed', 'nematode', 'parachute', 'envelope', 'barn']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'binder', 'letter opener', 'bib', 'can opener']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'face powder', 'jigsaw puzzle', 'doormat', 'bib']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,envelope,"['envelope', 'nematode', 'rapeseed', 'bib', 'face powder']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'face powder', 'envelope', 'bib', 'paintbrush']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'chain', 'handkerchief', 'lipstick', 'whistle']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,face powder,"['face powder', 'envelope', 'rapeseed', 'nematode', 'window screen']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'nematode', 'face powder', 'bib', 'lipstick']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,envelope,"['envelope', 'bib', 'face powder', 'binder', 'velvet']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,rapeseed,"['rapeseed', 'face powder', 'envelope', 'bib', 'nematode']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,rapeseed,"['rapeseed', 'envelope', 'face powder', 'park bench', 'barn']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,face powder,"['face powder', 'doormat', 'nail', 'microphone', 'envelope']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,nematode,"['nematode', 'parachute', 'airship', 'tick', 'jellyfish']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,envelope,"['envelope', 'fountain', 'nematode', 'chime', 'binder']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,broccoli,"['broccoli', 'chain mail', 'hair slide', 'doormat', 'wool']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,face powder,"['face powder', 'rapeseed', 'envelope', 'broccoli', 'mortar']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,face powder,"['face powder', 'electric ray', 'mortar', 'broccoli', 'nail']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,rapeseed,"['rapeseed', 'envelope', 'bib', 'handkerchief', 'bath towel']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,face powder,"['face powder', 'envelope', 'doormat', 'hair slide', 'Petri dish']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,binder,"['binder', 'envelope', 'nail', 'screw', 'modem']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,leatherback turtle,"['leatherback turtle', 'nematode', 'envelope', 'grey whale', 'binder']"
