,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,doormat,"['doormat', 'digital clock', 'hair slide', 'face powder', 'sea urchin']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'skunk', 'American black bear', 'Irish water spaniel', 'jigsaw puzzle']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,ruddy turnstone,"['ruddy turnstone', 'redshank', 'dowitcher', 'oystercatcher', 'red-backed sandpiper']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,cup,"['cup', 'coffee mug', 'safety pin', 'combination lock', 'measuring cup']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'jellyfish', 'parachute', 'matchstick', 'sea snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,pretzel,"['pretzel', 'pill bottle', 'chain', 'digital clock', 'hair slide']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,doormat,"['doormat', 'digital clock', 'mortar', 'broccoli', 'digital watch']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,isopod,"['isopod', 'slug', 'Irish water spaniel', 'American alligator', 'Gila monster']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,bulletproof vest,"['bulletproof vest', 'jigsaw puzzle', 'assault rifle', 'megalith', 'Bouvier des Flandres']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Scottish deerhound,"['Scottish deerhound', 'cheetah', 'Irish wolfhound', 'snow leopard', 'leopard']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,broccoli,"['broccoli', 'face powder', 'hair slide', 'chain mail', 'hen-of-the-woods']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,warplane,"['warplane', 'wing', 'hammerhead', 'aircraft carrier', 'airliner']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'wolf spider', 'garden spider', 'tarantula']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'airship', 'envelope', 'ant', 'nematode']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,broccoli,"['broccoli', 'hair slide', 'doormat', 'strainer', 'mortar']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,kite,"['kite', 'ant', 'vulture', 'pelican', 'parachute']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,letter opener,"['letter opener', 'wreck', 'airship', 'nematode', 'warplane']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,wolf spider,"['wolf spider', 'barn spider', 'tick', 'tarantula', 'black widow']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,screw,"['screw', 'nail', 'plunger', 'barbell', 'dumbbell']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,airship,"['airship', 'doormat', 'wall clock', 'balloon', 'hair slide']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'screw', 'hammer', 'syringe', 'hatchet']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'American alligator', 'hair slide', 'aircraft carrier', 'nematode']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,broccoli,"['broccoli', 'strainer', 'hay', 'doormat', 'mortar']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,airship,"['airship', 'broccoli', 'hair slide', 'face powder', 'Kerry blue terrier']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'toy poodle', 'cheetah', 'affenpinscher']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'Irish water spaniel', 'giant schnauzer', 'miniature poodle']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,hare,"['hare', 'wood rabbit', 'wallaby', 'Angora', 'strawberry']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,rifle,"['rifle', 'assault rifle', 'warplane', 'aircraft carrier', 'revolver']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nail,"['nail', 'nematode', 'megalith', 'leatherback turtle', 'chain saw']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'digital clock', 'giant schnauzer', 'assault rifle']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,electric ray,"['electric ray', 'lycaenid', 'cockroach', 'weevil', 'ground beetle']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,electric ray,"['electric ray', 'snail', 'weevil', 'isopod', 'tick']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,folding chair,"['folding chair', 'barn spider', 'parachute', 'tick', 'cockroach']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,American alligator,"['American alligator', 'African crocodile', 'platypus', 'echidna', 'airship']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,handkerchief,"['handkerchief', 'leatherback turtle', 'tray', 'loggerhead', 'pot']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,monastery,"['monastery', 'dome', 'airship', 'altar', 'church']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,broccoli,"['broccoli', 'chain mail', 'doormat', 'dishrag', 'hair slide']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'digital clock', 'banded gecko', 'tick', 'scorpion']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,face powder,"['face powder', 'puck', 'sea cucumber', 'lens cap', 'nematode']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,rocking chair,"['rocking chair', 'barrow', 'grand piano', 'shopping cart', 'horse cart']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'jellyfish', 'banded gecko', 'scorpion', 'hook']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hair slide,"['hair slide', 'screw', 'broccoli', 'maraca', 'knot']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,parachute,"['parachute', 'airship', 'nematode', 'white stork', 'kite']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,Dungeness crab,"['Dungeness crab', 'rock crab', 'king crab', 'fiddler crab', 'Kerry blue terrier']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'affenpinscher', 'komondor', 'Bouvier des Flandres']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,leatherback turtle,"['leatherback turtle', 'broccoli', 'loggerhead', 'whistle', 'terrapin']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,tick,"['tick', 'weevil', 'electric ray', 'dung beetle', 'airship']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,terrapin,"['terrapin', 'broccoli', 'porcupine', 'face powder', 'box turtle']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,parachute,"['parachute', 'dogsled', 'airship', 'chime', 'ski']"
49,Cro5dva_v07_frog_ILSVRC2012_val_00010287_cd.jpg,tailed frog,"['tailed frog', 'airship', 'tree frog', 'banded gecko', 'warplane']"
50,Cro5dva_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,broccoli,"['broccoli', 'microphone', 'honeycomb', 'chiton', 'nail']"
51,Cro5dva_v07_banana_ILSVRC2012_val_00049606_cd.jpg,sea cucumber,"['sea cucumber', 'nematode', 'slug', 'flatworm', 'starfish']"
