,image_path,top1_class,top5_class
0,Cro_v05_gun_ILSVRC2012_val_00016796_cs.jpg,parachute,"['parachute', 'airship', 'window screen', 'missile', 'nematode']"
1,Cro_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'bow tie', 'mortar', 'maraca', 'chain mail']"
2,Cro_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'prayer rug', 'broccoli', 'window screen', 'fire screen']"
3,Cro_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,corn,"['corn', 'face powder', 'honeycomb', 'hen-of-the-woods', 'window screen']"
4,Cro_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,nematode,"['nematode', 'window screen', 'digital clock', 'corn', 'airship']"
5,Cro_v05_snail_ILSVRC2012_val_00023958_cs.jpg,nematode,"['nematode', 'hair slide', 'prayer rug', 'chain', 'bib']"
6,Cro_v05_flower_ILSVRC2012_val_00048934_cs.jpg,airship,"['airship', 'window screen', 'parachute', 'missile', 'flagpole']"
7,Cro_v05_chair_ILSVRC2012_val_00001953_cs.jpg,nematode,"['nematode', 'velvet', 'window screen', 'airship', 'missile']"
8,Cro_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'face powder', 'toilet seat', 'puck', 'hook']"
9,Cro_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'window screen', 'prayer rug', 'missile', 'Band Aid']"
10,Cro_v05_horse_ILSVRC2012_val_00017358_cs.jpg,nematode,"['nematode', 'hair slide', 'airship', 'velvet', 'handkerchief']"
11,Cro_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,digital clock,"['digital clock', 'window screen', 'chain mail', 'digital watch', 'nematode']"
12,Cro_v05_mug_ILSVRC2012_val_00027194_cs.jpg,Band Aid,"['Band Aid', 'chain mail', 'lighter', 'nipple', 'nematode']"
13,Cro_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,nematode,"['nematode', 'digital clock', 'handkerchief', 'tick', 'digital watch']"
14,Cro_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nematode,"['nematode', 'starfish', 'ear', 'corn', 'sea cucumber']"
15,Cro_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Arabian camel,"['Arabian camel', 'prayer rug', 'Bedlington terrier', 'Kerry blue terrier', 'Airedale']"
16,Cro_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'corn', 'ear', 'window screen', 'hair slide']"
17,Cro_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,nematode,"['nematode', 'knot', 'airship', 'handkerchief', 'window screen']"
18,Cro_v05_dog_ILSVRC2012_val_00028881_cs.jpg,airship,"['airship', 'Kerry blue terrier', 'nematode', 'geyser', 'parachute']"
19,Cro_v05_snail_ILSVRC2012_val_00046248_cs.jpg,tick,"['tick', 'hair slide', 'handkerchief', 'nematode', 'necklace']"
20,Cro_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,airship,"['airship', 'parachute', 'window screen', 'missile', 'nematode']"
21,Cro_v05_swine_ILSVRC2012_val_00011892_cs.jpg,chain mail,"['chain mail', 'nematode', 'Petri dish', 'bulletproof vest', 'lens cap']"
22,Cro_v05_dog_ILSVRC2012_val_00012566_cs.jpg,airship,"['airship', 'window screen', 'parachute', 'missile', 'nematode']"
23,Cro_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'sea cucumber', 'hair slide', 'face powder', 'flatworm']"
24,Cro_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'whistle', 'velvet', 'Indian cobra', 'chain']"
25,Cro_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hare,"['hare', 'wood rabbit', 'bib', 'Angora', 'window screen']"
26,Cro_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,nematode,"['nematode', 'airship', 'parachute', 'window screen', 'missile']"
27,Cro_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,prayer rug,"['prayer rug', 'unicycle', 'safety pin', 'Gila monster', 'bib']"
28,Cro_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,missile,"['missile', 'window screen', 'airship', 'digital clock', 'space shuttle']"
29,Cro_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,geyser,"['geyser', 'window screen', 'Kerry blue terrier', 'airship', 'Bouvier des Flandres']"
30,Cro_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,honeycomb,"['honeycomb', 'window screen', 'face powder', 'strainer', 'Petri dish']"
31,Cro_v05_spider_ILSVRC2012_val_00039661_cs.jpg,window screen,"['window screen', 'velvet', 'fire screen', 'handkerchief', 'parachute']"
32,Cro_v05_horse_ILSVRC2012_val_00011600_cs.jpg,geyser,"['geyser', 'missile', 'projectile', 'airship', 'nematode']"
33,Cro_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,chain mail,"['chain mail', 'pick', 'broccoli', 'corn', 'honeycomb']"
34,Cro_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,corn,"['corn', 'honeycomb', 'chain mail', 'broccoli', 'strainer']"
35,Cro_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,corn,"['corn', 'face powder', 'honeycomb', 'doormat', 'strainer']"
36,Cro_v05_bear_ILSVRC2012_val_00011967_cs.jpg,digital clock,"['digital clock', 'starfish', 'digital watch', 'hair slide', 'nematode']"
37,Cro_v05_car_ILSVRC2012_val_00005456_cs.jpg,honeycomb,"['honeycomb', 'broccoli', 'corn', 'hen-of-the-woods', 'chain mail']"
38,Cro_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,nail,"['nail', 'screw', 'syringe', 'rule', 'hammer']"
39,Cro_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,velvet,"['velvet', 'nematode', 'handkerchief', 'conch', 'airship']"
40,Cro_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,prayer rug,"['prayer rug', 'handkerchief', 'window screen', 'bonnet', 'aircraft carrier']"
41,Cro_v05_fish_ILSVRC2012_val_00047320_cs.jpg,window screen,"['window screen', 'airship', 'nematode', 'missile', 'parachute']"
42,Cro_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nematode,"['nematode', 'airship', 'digital clock', 'window screen', 'American alligator']"
