,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,vase,"['vase', 'pineapple', 'milk can', 'overskirt', 'pedestal']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'knot', 'head cabbage', 'cauliflower', 'hair slide']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,quill,"['quill', 'sleeping bag', 'nail', 'buckeye', 'scabbard']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'Dungeness crab', 'king crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,puck,"['puck', 'face powder', 'nail', 'loupe', 'loudspeaker']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'knot', 'African crocodile', 'Arabian camel', 'volcano']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,sombrero,"['sombrero', 'wool', 'snail', 'caldron', 'dung beetle']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,sorrel,"['sorrel', 'groenendael', 'zebra', 'hartebeest', 'horse cart']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'power drill', 'microphone', 'spotlight', 'hammer']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,African crocodile,"['African crocodile', 'American alligator', 'curly-coated retriever', 'seashore', 'volcano']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'mousetrap', 'acorn', 'hamster', 'ear']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'pitcher', 'espresso', 'teapot']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'American lobster', 'crayfish', 'sandal', 'custard apple']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'loggerhead']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,wall clock,"['wall clock', 'analog clock', 'Granny Smith', 'umbrella', 'sundial']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hand blower,"['hand blower', 'hammer', 'power drill', 'nail', 'ocarina']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,mushroom,"['mushroom', 'bolete', 'nail', 'knot', 'dumbbell']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,velvet,"['velvet', 'hair slide', 'puck', 'wool', 'pick']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'wall clock', 'binder', 'electric fan', 'shower curtain']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,microwave,"['microwave', 'brass', 'wallet', 'binder', 'fire screen']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Persian cat,"['Persian cat', 'guinea pig', 'Newfoundland', 'Pekinese', 'briard']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,crate,"['crate', 'freight car', 'microwave', 'mousetrap', 'wallet']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'dining table', 'folding chair', 'barber chair', 'patio']"
