,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,brain coral,"['brain coral', 'velvet', 'chain mail', 'quilt', 'chainlink fence']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,doormat,"['doormat', 'chainlink fence', 'chain mail', 'chain', 'golf ball']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,Labrador retriever,"['Labrador retriever', 'soccer ball', 'golden retriever', 'dalmatian', 'kuvasz']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,chambered nautilus,"['chambered nautilus', 'snail', 'velvet', 'prairie chicken', 'brain coral']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,custard apple,"['custard apple', 'artichoke', 'stone wall', 'cauliflower', 'acorn']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain mail,"['chain mail', 'honeycomb', 'velvet', 'doormat', 'chain']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,black grouse,"['black grouse', 'chainlink fence', 'bald eagle', 'velvet', 'kite']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,nail,"['nail', 'binder', 'nematode', 'golf ball', 'envelope']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,ant,"['ant', 'nematode', 'chainlink fence', 'picket fence', 'vulture']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,bubble,"['bubble', 'balloon', 'croquet ball', 'golf ball', 'planetarium']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,brain coral,"['brain coral', 'coral reef', 'hen-of-the-woods', 'coral fungus', 'wool']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,tile roof,"['tile roof', 'velvet', 'hay', 'lumbermill', 'prayer rug']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,soccer ball,"['soccer ball', 'bottlecap', 'tennis ball', 'baseball', 'head cabbage']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,prayer rug,"['prayer rug', 'velvet', 'wool', 'doormat', 'dishrag']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,velvet,"['velvet', 'wall clock', 'doormat', 'wool', 'tennis ball']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,tile roof,"['tile roof', 'stone wall', 'maze', 'velvet', 'chain']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,alp,"['alp', 'volcano', 'hen-of-the-woods', 'ibex', 'stone wall']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'analog clock', 'wall clock', 'barometer', 'magnetic compass']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,jigsaw puzzle,"['jigsaw puzzle', 'nematode', 'sewing machine', 'fire screen', 'nail']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,chainlink fence,"['chainlink fence', 'velvet', 'pole', 'flagpole', 'airship']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,pineapple,"['pineapple', 'doormat', 'daisy', 'corn', 'sea urchin']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,ant,"['ant', 'nematode', 'velvet', 'rule', 'acorn']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,chain,"['chain', 'velvet', 'stone wall', 'nematode', 'maze']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,maze,"['maze', 'picket fence', 'park bench', 'velvet', 'doormat']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,doormat,"['doormat', 'velvet', 'wool', 'prayer rug', 'maze']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,velvet,"['velvet', 'doormat', 'prayer rug', 'wool', 'snail']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,sax,"['sax', 'oboe', 'nail', 'sewing machine', 'chain']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,tile roof,"['tile roof', 'velvet', 'ear', 'corn', 'wool']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,chainlink fence,"['chainlink fence', 'chain', 'honeycomb', 'chain mail', 'whistle']"
29,LinFil_spider_ILSVRC2012_val_00039661_lf.jpg,doormat,"['doormat', 'chainlink fence', 'chain mail', 'wool', 'golf ball']"
30,LinFil_squirrel_ILSVRC2012_val_00048792_lf.jpg,velvet,"['velvet', 'wool', 'brain coral', 'coral reef', 'stole']"
31,LinFil_strawberry_ILSVRC2012_val_00035170_lf.jpg,wall clock,"['wall clock', 'crossword puzzle', 'radiator', 'rubber eraser', 'padlock']"
