,image_path,top1_class,top5_class
0,Ori_mug_ILSVRC2012_val_00025893_o.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'measuring cup', 'espresso']"
1,Ori_clock_ILSVRC2012_val_00017693_o.jpg,analog clock,"['analog clock', 'wall clock', 'barometer', 'bell cote', 'hourglass']"
2,Ori_hippopotamus_ILSVRC2012_val_00045847_o.jpg,hippopotamus,"['hippopotamus', 'hog', 'warthog', 'wild boar', 'beaver']"
3,Ori_bear_ILSVRC2012_val_00020441_o.jpg,ice bear,"['ice bear', 'brown bear', 'beaver', 'wombat', 'bubble']"
4,Ori_flower_ILSVRC2012_val_00022139_o.jpg,daisy,"['daisy', 'hair slide', 'pinwheel', 'necklace', 'pot']"
5,Ori_mushroom_ILSVRC2012_val_00009394_o.jpg,agaric,"['agaric', 'mushroom', 'bolete', 'earthstar', 'hen-of-the-woods']"
6,Ori_horse_ILSVRC2012_val_00008317_o.jpg,sorrel,"['sorrel', 'groenendael', 'hartebeest', 'horse cart', 'dhole']"
7,Ori_mushroom_ILSVRC2012_val_00040625_o.jpg,mushroom,"['mushroom', 'agaric', 'earthstar', 'hen-of-the-woods', 'coral fungus']"
8,Ori_chair_ILSVRC2012_val_00044181_o.jpg,folding chair,"['folding chair', 'stretcher', 'toilet seat', 'Irish wolfhound', 'hand blower']"
9,Ori_lobster_ILSVRC2012_val_00002502_o.jpg,crayfish,"['crayfish', 'American lobster', 'centipede', 'spiny lobster', 'isopod']"
10,Ori_bee_ILSVRC2012_val_00045227_o.jpg,bee,"['bee', 'honeycomb', 'apiary', 'fly', 'cicada']"
11,Ori_butterfly_ILSVRC2012_val_00025307_o.jpg,lycaenid,"['lycaenid', 'ringlet', 'cabbage butterfly', 'cowboy boot', 'sulphur butterfly']"
12,Ori_bee_ILSVRC2012_val_00002566_o.jpg,bee,"['bee', 'fly', 'apiary', 'honeycomb', 'cicada']"
13,Ori_chair_ILSVRC2012_val_00041720_o.jpg,dining table,"['dining table', 'rocking chair', 'folding chair', 'throne', 'restaurant']"
14,Ori_lemon_ILSVRC2012_val_00028823_o.jpg,lemon,"['lemon', 'orange', 'banana', 'fig', 'chain saw']"
15,Ori_hammer_ILSVRC2012_val_00001110_o.jpg,hammer,"['hammer', 'hatchet', 'nail', 'shovel', ""carpenter's kit""]"
16,Ori_clock_ILSVRC2012_val_00035392_o.jpg,analog clock,"['analog clock', 'wall clock', 'stopwatch', 'magnetic compass', 'barometer']"
17,Ori_corn_ILSVRC2012_val_00007467_o.jpg,ear,"['ear', 'corn', 'trilobite', 'American lobster', 'French loaf']"
18,Ori_microwave_ILSVRC2012_val_00047421_o.jpg,microwave,"['microwave', 'space heater', 'radio', 'oscilloscope', 'mousetrap']"
19,Ori_crab_ILSVRC2012_val_00011922_o.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'Dungeness crab', 'iron', 'axolotl']"
20,Ori_snail_ILSVRC2012_val_00045031_o.jpg,snail,"['snail', 'conch', 'acorn', 'gong', 'maraca']"
21,Ori_strawberry_ILSVRC2012_val_00023739_o.jpg,strawberry,"['strawberry', 'pineapple', 'orange', 'banana', 'pomegranate']"
22,Ori_camel_ILSVRC2012_val_00015872_o.jpg,Arabian camel,"['Arabian camel', 'llama', 'chain saw', 'black-footed ferret', 'bighorn']"
23,Ori_car_ILSVRC2012_val_00010455_o.jpg,sports car,"['sports car', 'racer', 'convertible', 'car wheel', 'grille']"
24,Ori_spider_ILSVRC2012_val_00029756_o.jpg,barn spider,"['barn spider', 'garden spider', 'wolf spider', 'tarantula', 'spider web']"
25,Ori_turtle_ILSVRC2012_val_00009376_o.jpg,terrapin,"['terrapin', 'box turtle', 'mud turtle', 'leatherback turtle', 'loggerhead']"
26,Ori_lobster_ILSVRC2012_val_00017039_o.jpg,American lobster,"['American lobster', 'crayfish', 'rhinoceros beetle', 'airship', 'weevil']"
27,Ori_shoe_ILSVRC2012_val_00048970_o.jpg,sandal,"['sandal', 'clog', 'shoe shop', 'Loafer', 'muzzle']"
28,Ori_bird_ILSVRC2012_val_00017028_o.jpg,water ouzel,"['water ouzel', 'red-backed sandpiper', 'dowitcher', 'redshank', 'partridge']"
29,Ori_microwave_ILSVRC2012_val_00027917_o.jpg,microwave,"['microwave', 'stove', 'rotisserie', 'safe', 'tape player']"
30,Ori_turtle_ILSVRC2012_val_00049782_o.jpg,box turtle,"['box turtle', 'terrapin', 'mud turtle', 'leatherback turtle', 'loggerhead']"
31,Ori_mushroom_ILSVRC2012_val_00039698_o.jpg,mushroom,"['mushroom', 'agaric', 'hen-of-the-woods', 'earthstar', 'bolete']"
32,Ori_mug_ILSVRC2012_val_00020276_o.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'measuring cup', 'water jug']"
33,Ori_broccoli_ILSVRC2012_val_00019851_o.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'zucchini', 'cucumber']"
34,Ori_airplane_ILSVRC2012_val_00049097_o.jpg,warplane,"['warplane', 'airliner', 'wing', 'projectile', 'airship']"
35,Ori_horse_ILSVRC2012_val_00011600_o.jpg,sorrel,"['sorrel', 'groenendael', 'muzzle', 'basenji', 'collie']"
36,Ori_crab_ILSVRC2012_val_00004462_o.jpg,king crab,"['king crab', 'rock crab', 'Dungeness crab', 'fiddler crab', 'barn spider']"
37,Ori_crocodilian_ILSVRC2012_val_00010826_o.jpg,American alligator,"['American alligator', 'African crocodile', 'alligator lizard', 'banded gecko', 'water buffalo']"
38,Ori_lobster_ILSVRC2012_val_00047059_o.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'isopod', 'plate']"
39,Ori_crocodilian_ILSVRC2012_val_00018666_o.jpg,American alligator,"['American alligator', 'African crocodile', 'triceratops', 'alligator lizard', 'banded gecko']"
40,Ori_guitar_ILSVRC2012_val_00029538_o.jpg,barbell,"['barbell', 'dumbbell', 'switch', 'punching bag', 'acoustic guitar']"
41,Ori_lobster_ILSVRC2012_val_00028657_o.jpg,American lobster,"['American lobster', 'crayfish', 'scorpion', 'spiny lobster', 'rock crab']"
42,Ori_helmet_ILSVRC2012_val_00032342_o.jpg,football helmet,"['football helmet', 'crash helmet', 'oxygen mask', 'croquet ball', 'airship']"
43,Ori_microwave_ILSVRC2012_val_00038763_o.jpg,microwave,"['microwave', 'rotisserie', 'stove', 'toaster', 'dishwasher']"
44,Ori_elephant_ILSVRC2012_val_00035479_o.jpg,Indian elephant,"['Indian elephant', 'tusker', 'African elephant', 'chimpanzee', 'mailbag']"
45,Ori_crab_ILSVRC2012_val_00003272_o.jpg,Dungeness crab,"['Dungeness crab', 'rock crab', 'king crab', 'fiddler crab', 'American lobster']"
46,Ori_cat_ILSVRC2012_val_00001341_o.jpg,tabby,"['tabby', 'Egyptian cat', 'tiger cat', 'Persian cat', 'red wolf']"
47,Ori_microwave_ILSVRC2012_val_00042691_o.jpg,cash machine,"['cash machine', 'microwave', 'photocopier', 'printer', 'television']"
48,Ori_elephant_ILSVRC2012_val_00040375_o.jpg,African elephant,"['African elephant', 'tusker', 'Indian elephant', 'rain barrel', 'black-footed ferret']"
49,Ori_bellpepper_ILSVRC2012_val_00028090_o.jpg,bell pepper,"['bell pepper', 'candle', 'Granny Smith', 'mortar', 'neck brace']"
50,Ori_banana_ILSVRC2012_val_00021860_o.jpg,banana,"['banana', 'spaghetti squash', 'pineapple', 'grocery store', 'lemon']"
51,Ori_fish_ILSVRC2012_val_00021343_o.jpg,coho,"['coho', 'barracouta', 'sturgeon', 'tench', 'kite']"
52,Ori_butterfly_ILSVRC2012_val_00035074_o.jpg,ringlet,"['ringlet', 'sulphur butterfly', 'lycaenid', 'cabbage butterfly', 'paintbrush']"
53,Ori_acorn_ILSVRC2012_val_00012754_o.jpg,acorn,"['acorn', 'buckeye', 'caldron', 'conch', 'snail']"
54,Ori_hammer_ILSVRC2012_val_00015583_o.jpg,hammer,"['hammer', 'nail', 'screw', 'dumbbell', 'screwdriver']"
55,Ori_corn_ILSVRC2012_val_00030375_o.jpg,ear,"['ear', 'corn', 'reel', 'wok', 'paintbrush']"
56,Ori_camel_ILSVRC2012_val_00013553_o.jpg,Arabian camel,"['Arabian camel', 'hog', 'wild boar', 'ice bear', 'brown bear']"
57,Ori_car_ILSVRC2012_val_00037492_o.jpg,minivan,"['minivan', 'beach wagon', 'police van', 'minibus', 'cab']"
58,Ori_chair_ILSVRC2012_val_00012771_o.jpg,folding chair,"['folding chair', 'iron', 'plate rack', 'chain saw', 'bassinet']"
59,Ori_frog_ILSVRC2012_val_00014735_o.jpg,bullfrog,"['bullfrog', 'tailed frog', 'tree frog', 'puffer', 'axolotl']"
60,Ori_gun_ILSVRC2012_val_00003457_o.jpg,revolver,"['revolver', 'holster', 'rifle', 'assault rifle', 'power drill']"
61,Ori_helmet_ILSVRC2012_val_00049691_o.jpg,crash helmet,"['crash helmet', 'football helmet', 'oxygen mask', 'pickelhaube', 'knee pad']"
62,Ori_banana_ILSVRC2012_val_00049606_o.jpg,banana,"['banana', 'orange', 'lemon', 'grocery store', 'pineapple']"
63,Ori_clock_ILSVRC2012_val_00035461_o.jpg,wall clock,"['wall clock', 'analog clock', 'barometer', 'magnetic compass', 'sundial']"
64,Ori_tiger_ILSVRC2012_val_00048186_o.jpg,tiger,"['tiger', 'tiger cat', 'jaguar', 'boxer', 'hyena']"
65,Ori_hippopotamus_ILSVRC2012_val_00032449_o.jpg,hippopotamus,"['hippopotamus', 'hog', 'warthog', 'triceratops', 'Mexican hairless']"
66,Ori_airplane_ILSVRC2012_val_00023781_o.jpg,airliner,"['airliner', 'warplane', 'wing', 'killer whale', 'goose']"
67,Ori_strawberry_ILSVRC2012_val_00048023_o.jpg,strawberry,"['strawberry', 'Granny Smith', 'banana', 'orange', 'chambered nautilus']"
68,Ori_flower_ILSVRC2012_val_00048934_o.jpg,daisy,"['daisy', 'vase', 'bee', 'sunscreen', 'banana']"
69,Ori_cat_ILSVRC2012_val_00013550_o.jpg,platypus,"['platypus', 'tabby', 'triceratops', 'hyena', 'Scottish deerhound']"
