,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,Gila monster,"['Gila monster', 'sidewinder', 'diamondback', 'horned viper', 'water snake']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,teddy,"['teddy', 'otter', 'sea urchin', 'African grey', 'soft-coated wheaten terrier']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,coral reef,"['coral reef', 'bald eagle', 'sea snake', 'jay', 'cliff']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,chocolate sauce,"['chocolate sauce', 'meat loaf', 'French loaf', 'velvet', 'grey whale']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brain coral,"['brain coral', 'coral reef', 'bighorn', 'African elephant', 'knot']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,face powder,"['face powder', 'barrel', 'coffee mug', 'eggnog', 'Band Aid']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,carbonara,"['carbonara', 'chain mail', 'spaghetti squash', 'swab', 'brain coral']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Madagascar cat,"['Madagascar cat', 'boa constrictor', 'mongoose', 'horned viper', 'whiptail']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'custard apple', 'jersey', 'hand-held computer', 'car wheel']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'Komodo dragon', 'mongoose', 'hog', 'Indian elephant']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,potter's wheel,"[""potter's wheel"", 'barbershop', 'lab coat', 'flute', 'notebook']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'European fire salamander', 'common newt', 'honeycomb', 'ringneck snake']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,grey fox,"['grey fox', 'wood rabbit', 'fox squirrel', 'wallaby', 'hare']"
