,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,honeycomb,"['honeycomb', 'bib', 'shower cap', 'brassiere', 'pillow']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,ski mask,"['ski mask', 'Christmas stocking', 'honeycomb', 'dishrag', 'abaya']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'Christmas stocking', 'ski mask', 'velvet', 'bearskin']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,water ouzel,"['water ouzel', 'American coot', 'oystercatcher', 'magpie', 'black swan']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,knee pad,"['knee pad', 'abaya', 'Christmas stocking', 'panpipe', 'academic gown']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,Kerry blue terrier,"['Kerry blue terrier', 'standard poodle', 'Irish water spaniel', 'velvet', 'toy poodle']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,bald eagle,"['bald eagle', 'vulture', 'curly-coated retriever', 'kite', 'mitten']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'knee pad', 'water jug', 'pitcher', 'cup']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,curly-coated retriever,"['curly-coated retriever', 'Mexican hairless', 'Great Dane', 'black-and-tan coonhound', 'Doberman']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,sunglasses,"['sunglasses', 'bib', 'sunglass', 'brassiere', 'lens cap']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,garden spider,"['garden spider', 'black and gold garden spider', 'barn spider', 'spider web', 'black widow']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,toilet seat,"['toilet seat', 'gong', 'puck', 'ping-pong ball', 'nematode']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,brassiere,"['brassiere', 'curly-coated retriever', 'spotlight', 'sunglasses', 'ping-pong ball']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,bald eagle,"['bald eagle', 'vulture', 'black stork', 'kite', 'toucan']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,bald eagle,"['bald eagle', 'vulture', 'toucan', 'shovel', 'hatchet']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,bald eagle,"['bald eagle', 'feather boa', 'miniskirt', 'abaya', 'Scotch terrier']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,toilet seat,"['toilet seat', 'honeycomb', 'gong', 'bib', 'puck']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,screen,"['screen', 'binder', 'monitor', 'loudspeaker', 'radiator']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,bald eagle,"['bald eagle', 'vulture', 'black stork', 'grey whale', 'muzzle']"
