,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral fungus,"['coral fungus', 'coral reef', 'mashed potato', 'artichoke', 'dough']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,sea anemone,"['sea anemone', 'sea cucumber', 'coral fungus', 'hen-of-the-woods', 'sea urchin']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,chain mail,"['chain mail', 'dishrag', 'shower curtain', 'rapeseed', 'pot']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'screw', 'African hunting dog', 'bulletproof vest', 'chain']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,stole,"['stole', 'meat loaf', 'poncho', 'prayer rug', 'velvet']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,screw,"['screw', 'nail', 'dumbbell', 'chain mail', 'chain']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,wine bottle,"['wine bottle', 'honeycomb', 'jigsaw puzzle', 'nail', 'lemon']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,jellyfish,"['jellyfish', 'cello', 'bell pepper', 'orange', 'conch']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,turnstile,"['turnstile', 'chain mail', 'barbershop', 'picket fence', 'car wheel']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,stone wall,"['stone wall', 'apiary', 'honeycomb', 'jigsaw puzzle', 'screw']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'artichoke', 'coral reef', 'brain coral', 'cauliflower']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'chain mail', 'orange', 'rubber eraser']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,shower curtain,"['shower curtain', 'daisy', 'jigsaw puzzle', 'handkerchief', 'picket fence']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,honeycomb,"['honeycomb', 'lemon', 'meat loaf', 'chain mail', 'pomegranate']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'hen-of-the-woods', 'frying pan', 'pizza', 'chiton']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,disk brake,"['disk brake', 'steel drum', 'wine bottle', 'cuirass', 'chocolate sauce']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'screw', 'pizza', 'manhole cover']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,acorn,"['acorn', 'hip', 'syringe', 'fiddler crab', 'hen-of-the-woods']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,cauliflower,"['cauliflower', 'cliff dwelling', 'head cabbage', 'coral fungus', 'hen-of-the-woods']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,carbonara,"['carbonara', 'broccoli', 'hen-of-the-woods', 'cauliflower', 'guacamole']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,military uniform,"['military uniform', 'feather boa', 'pickelhaube', 'wig', 'bearskin']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'tile roof', 'dishrag', 'tobacco shop', 'mushroom']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,sea urchin,"['sea urchin', 'stole', 'spider web', 'velvet', 'honeycomb']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,maze,"['maze', 'stone wall', 'pretzel', 'chain', 'lumbermill']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,nail,"['nail', 'syringe', 'coral fungus', 'radiator', 'organ']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,crossword puzzle,"['crossword puzzle', 'syringe', 'screwdriver', 'rubber eraser', 'ballpoint']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,dumbbell,"['dumbbell', 'coho', 'wine bottle', 'screwdriver', 'stone wall']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,orangutan,"['orangutan', 'ibex', 'langur', 'bighorn', 'wild boar']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,knot,"['knot', 'coral reef', 'brain coral', 'dishrag', 'valley']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,fig,"['fig', 'honeycomb', 'conch', 'abacus', 'hen-of-the-woods']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,printer,"['printer', 'basenji', 'goldfish', 'lab coat', 'toilet tissue']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'mashed potato', 'cauliflower', 'coral reef']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'tiger cat', 'jigsaw puzzle', 'screw']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'coral fungus', 'tiger', 'screw']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,coral fungus,"['coral fungus', 'chain', 'ear', 'dumbbell', 'broccoli']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,velvet,"['velvet', 'stole', 'sarong', 'prayer rug', 'poncho']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,bubble,"['bubble', 'shower curtain', 'stingray', 'cuirass', 'espresso maker']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,dishrag,"['dishrag', 'apiary', 'honeycomb', 'daisy', 'stole']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,caldron,"['caldron', 'pomegranate', 'rotisserie', 'whiskey jug', 'rock crab']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'apiary', 'silky terrier', 'sidewinder']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,oboe,"['oboe', 'screw', 'chain', 'chain mail', 'French horn']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,menu,"['menu', 'crossword puzzle', 'shower curtain', 'brass', 'syringe']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,strawberry,"['strawberry', 'pomegranate', 'screw', 'chain mail', 'nail']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,carbonara,"['carbonara', 'coral fungus', 'cliff dwelling', 'sea anemone', 'rocking chair']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,rifle,"['rifle', 'assault rifle', 'screwdriver', ""carpenter's kit"", 'hammer']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'nematode', 'chocolate sauce', 'ant']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,starfish,"['starfish', 'fiddler crab', 'manhole cover', 'ant', 'nail']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,sea slug,"['sea slug', 'starfish', 'jigsaw puzzle', 'coral reef', 'hammerhead']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,jellyfish,"['jellyfish', 'piggy bank', 'computer keyboard', 'bell pepper', 'coral reef']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,rapeseed,"['rapeseed', 'pot', 'daisy', 'coral reef', 'dishrag']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'stone wall', 'shower curtain', 'apiary']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pomegranate', 'honeycomb', 'jigsaw puzzle', 'chain mail']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,football helmet,"['football helmet', 'screwdriver', 'corkscrew', 'disk brake', 'running shoe']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,maze,"['maze', 'syringe', 'aircraft carrier', 'cuirass', 'Madagascar cat']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,grey fox,"['grey fox', 'kit fox', 'fox squirrel', 'triceratops', 'ibex']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,swimming trunks,"['swimming trunks', 'coral fungus', 'hen-of-the-woods', 'butternut squash', 'bikini']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,trilobite,"['trilobite', 'chain mail', 'tile roof', 'honeycomb', 'computer keyboard']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,sea snake,"['sea snake', 'hen-of-the-woods', 'hammerhead', 'shower cap', 'jigsaw puzzle']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,goose,"['goose', 'hammerhead', 'half track', 'bubble', 'dining table']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,projector,"['projector', 'dumbbell', 'chain mail', 'jigsaw puzzle', 'screw']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,chain mail,"['chain mail', 'apiary', 'manhole cover', 'jigsaw puzzle', 'pizza']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,tile roof,"['tile roof', 'corn', 'abacus', 'stole', 'strainer']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,dishrag,"['dishrag', 'brain coral', 'stole', 'stone wall', 'wool']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'dishrag', 'sea anemone', 'velvet', 'carbonara']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,chain,"['chain', 'hen-of-the-woods', 'coral fungus', 'chain mail', 'mushroom']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,coral reef,"['coral reef', 'coral fungus', 'cauliflower', 'brain coral', 'chain']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,coral fungus,"['coral fungus', 'cauliflower', 'mashed potato', 'pretzel', 'coral reef']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,dishrag,"['dishrag', 'stole', 'crossword puzzle', 'chain mail', 'tile roof']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,pomegranate,"['pomegranate', 'hen-of-the-woods', 'butternut squash', 'chain mail', 'tile roof']"
