,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'mud turtle', 'hen-of-the-woods', 'comic book', 'quilt']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'American black bear', 'ice bear', 'sloth bear', 'otter']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,buckeye,"['buckeye', 'artichoke', 'pineapple', 'jackfruit', 'cardoon']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,butcher shop,"['butcher shop', 'spiny lobster', 'cockroach', 'isopod', 'American lobster']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brown bear,"['brown bear', 'cliff', 'balloon', 'Irish wolfhound', 'ice bear']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'cup', 'coffeepot', 'teapot', 'soup bowl']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'confectionery', 'tick', 'isopod']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'meerkat', 'ibex', 'mongoose', 'lion']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'flute', 'zucchini', 'paddle', 'sulphur butterfly']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'Mexican hairless', 'Weimaraner', 'hog', 'Indian elephant']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'Weimaraner', 'Ibizan hound', 'Brittany spaniel', 'ice bear']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'ringlet', 'hair slide', 'monarch', 'lycaenid']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,grey fox,"['grey fox', 'kit fox', 'lynx', 'coyote', 'dhole']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,manhole cover,"['manhole cover', 'chain', 'chain mail', 'night snake', 'scabbard']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'orange', 'banana', 'fig', 'pineapple']"
