,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'custard apple', 'artichoke']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,head cabbage,"['head cabbage', 'vase', 'candle', 'cauliflower', 'shower cap']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'warplane', 'crane', 'bow', 'tractor']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'chiton', 'hen-of-the-woods', 'chime', 'carousel']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,albatross,"['albatross', 'weasel', 'basset', 'ice bear', 'platypus']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'snowmobile', 'parachute', 'ski', 'airliner']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,swing,"['swing', 'meerkat', 'German short-haired pointer', 'English springer', 'Boston bull']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,triceratops,"['triceratops', 'volcano', 'flat-coated retriever', 'Irish wolfhound', 'warthog']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'tick', 'fiddler crab', 'garden spider', 'rock crab']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'albatross', 'triceratops', 'hen-of-the-woods', 'electric ray']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'paper towel', 'tray', 'trifle', 'candle']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,custard apple,"['custard apple', 'tailed frog', 'hen-of-the-woods', 'bullfrog', 'African chameleon']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'chambered nautilus', 'triceratops', 'French loaf', 'Indian cobra']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,kite,"['kite', 'electric ray', 'ptarmigan', 'English setter', 'great white shark']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,wire-haired fox terrier,"['wire-haired fox terrier', 'proboscis monkey', 'Siamese cat', 'patas', 'meerkat']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,nematode,"['nematode', 'vine snake', 'sea snake', 'sidewinder', 'water snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,acoustic guitar,"['acoustic guitar', 'violin', 'maraca', 'cello', 'hair slide']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,triceratops,"['triceratops', 'hippopotamus', 'wombat', 'mask', 'hog']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,parachute,"['parachute', 'totem pole', 'warplane', 'flagpole', 'ocarina']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pick', 'cello']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'Indian cobra', 'starfish', 'corn', 'banded gecko']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'cash machine', 'printer', 'microwave', 'refrigerator']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,Rhodesian ridgeback,"['Rhodesian ridgeback', 'triceratops', 'German shepherd', 'bloodhound', 'red wolf']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,Granny Smith,"['Granny Smith', 'spindle', 'bagel', 'lemon', 'vase']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,ruffed grouse,"['ruffed grouse', 'prairie chicken', 'hen', 'electric ray', 'hen-of-the-woods']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,vacuum,"['vacuum', 'harvester', 'lawn mower', 'hair slide', 'bow tie']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,ear,"['ear', 'corn', 'broccoli', 'artichoke', 'cauliflower']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'acorn', 'custard apple']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,Arctic fox,"['Arctic fox', 'Eskimo dog', 'capuchin', 'white wolf', 'indri']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,badger,"['badger', 'otterhound', 'meerkat', 'Border terrier', 'German shepherd']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'candle', 'African chameleon', 'pot', 'wombat']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,diaper,"['diaper', 'piggy bank', 'oxygen mask', 'football helmet', 'iron']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,assault rifle,"['assault rifle', 'whistle', 'rifle', 'tripod', 'bow']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,candle,"['candle', 'fox squirrel', 'African chameleon', 'triceratops', 'grey fox']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,shower cap,"['shower cap', 'lemon', 'orange', 'honeycomb', 'head cabbage']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,mousetrap,"['mousetrap', 'entertainment center', 'tray', 'desk', 'spotlight']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'sarong', 'macaw', 'candle', 'pineapple']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'warthog', 'wild boar', 'Dandie Dinmont', 'hen-of-the-woods']"
38,SilTex_camel_ILSVRC2012_val_00003409_st.jpg,bloodhound,"['bloodhound', 'bull mastiff', 'Great Dane', 'boxer', 'Rhodesian ridgeback']"
39,SilTex_squirrel_ILSVRC2012_val_00048792_st.jpg,Norwich terrier,"['Norwich terrier', 'German shepherd', 'otterhound', 'hen-of-the-woods', 'Airedale']"
40,SilTex_crocodilian_ILSVRC2012_val_00010826_st.jpg,great grey owl,"['great grey owl', 'albatross', 'leatherback turtle', 'ice bear', 'knot']"
41,SilTex_turtle_ILSVRC2012_val_00024666_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'African chameleon', 'box turtle', 'triceratops', 'conch']"
