,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,mailbag,"['mailbag', 'head cabbage', 'rifle', 'binoculars', 'nematode']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,binoculars,"['binoculars', 'magpie', 'paintbrush', 'black grouse', 'partridge']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,binoculars,"['binoculars', 'pug', 'alp', 'ant', 'dogsled']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,alp,"['alp', 'rifle', 'binoculars', 'volcano', 'buckle']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,volcano,"['volcano', 'alp', 'binoculars', 'cliff', 'chiton']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,doormat,"['doormat', 'mailbag', 'umbrella', 'brain coral', 'park bench']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,indri,"['indri', 'binoculars', 'Madagascar cat', 'proboscis monkey', 'great grey owl']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'pillow', 'binoculars', 'jersey', 'laptop']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,indri,"['indri', 'magpie', 'Madagascar cat', 'goose', 'binoculars']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,binoculars,"['binoculars', 'alp', 'head cabbage', 'spotlight', 'indri']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,brain coral,"['brain coral', 'volcano', 'chambered nautilus', 'maze', 'coral fungus']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,starfish,"['starfish', 'megalith', 'snail', 'maze', 'stone wall']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,binoculars,"['binoculars', 'indri', 'head cabbage', 'alp', 'spider web']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,alp,"['alp', 'binoculars', 'head cabbage', 'prayer rug', 'Norwegian elkhound']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,binoculars,"['binoculars', 'mailbag', 'rifle', 'head cabbage', 'pillow']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,maze,"['maze', 'binoculars', 'rubber eraser', 'mailbag', 'stone wall']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,indri,"['indri', 'binoculars', 'alp', 'Madagascar cat', 'coyote']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,pillow,"['pillow', 'fire screen', 'binoculars', 'nematode', 'toilet tissue']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,comic book,"['comic book', 'binoculars', 'pillow', 'fire screen', 'hatchet']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,binoculars,"['binoculars', 'snowmobile', 'dogsled', 'alp', 'black grouse']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,binoculars,"['binoculars', 'head cabbage', 'ant', 'doormat', 'mailbag']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,magpie,"['magpie', 'spider web', 'binoculars', 'vulture', 'partridge']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,binoculars,"['binoculars', 'maze', 'spider web', 'rubber eraser', 'Madagascar cat']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,volcano,"['volcano', 'coral fungus', 'alp', 'hen-of-the-woods', 'binoculars']"
