,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,rock crab,"['rock crab', 'hoopskirt', 'folding chair', 'scorpion', 'gown']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'loggerhead', 'leatherback turtle', 'chiton', 'triceratops']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,scabbard,"['scabbard', 'cleaver', 'leatherback turtle', 'radio telescope', 'chain saw']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,rock crab,"['rock crab', 'fiddler crab', 'scorpion', 'king crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,maraca,"['maraca', 'chiton', 'quill', 'drum', 'pick']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,leatherback turtle,"['leatherback turtle', 'volcano', 'sleeping bag', 'American alligator', 'loggerhead']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,chiton,"['chiton', 'head cabbage', 'stole', 'ski mask', 'trilobite']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,triceratops,"['triceratops', 'black-and-tan coonhound', 'bloodhound', 'Mexican hairless', 'Sussex spaniel']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'spotlight', 'microphone', 'power drill', 'assault rifle']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'sleeping bag', 'chiton', 'starfish', 'American alligator']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,chow,"['chow', 'Newfoundland', 'Persian cat', 'sleeping bag', 'shield']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'goblet', 'water jug', 'bucket']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,scorpion,"['scorpion', 'American lobster', 'crayfish', 'rock crab', 'sleeping bag']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,loggerhead,"['loggerhead', 'triceratops', 'mud turtle', 'box turtle', 'terrapin']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'maraca', 'drum', 'baseball', 'sea urchin']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,assault rifle,"['assault rifle', 'rifle', 'hand blower', 'crutch', 'strainer']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,nail,"['nail', 'leatherback turtle', 'table lamp', 'hatchet', 'black stork']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,binoculars,"['binoculars', 'bloodhound', 'chiton', 'Newfoundland', 'chow']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,sea anemone,"['sea anemone', 'daisy', 'chambered nautilus', 'ruffed grouse', 'lionfish']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hard disc,"['hard disc', 'binder', 'hand-held computer', 'wallet', 'iPod']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Newfoundland,"['Newfoundland', 'Gordon setter', 'sleeping bag', 'Sussex spaniel', 'briard']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,microwave,"['microwave', 'binder', 'photocopier', 'desktop computer', 'rotisserie']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'folding chair', 'throne', 'park bench', 'quilt']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,head cabbage,"['head cabbage', 'pick', 'chiton', 'sea urchin', 'Petri dish']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,scorpion,"['scorpion', 'spiny lobster', 'American lobster', 'crayfish', 'long-horned beetle']"
