,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,shower cap,"['shower cap', 'Italian greyhound', 'Eskimo dog', 'pitcher', 'goose']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'buckle', 'manhole cover', 'tray', 'television']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,ear,"['ear', 'chain mail', 'oxcart', 'honeycomb', 'apiary']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,shower cap,"['shower cap', 'vase', 'pug', 'diaper', 'basenji']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,Windsor tie,"['Windsor tie', 'bow tie', 'velvet', 'gown', 'suit']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,maze,"['maze', 'monitor', 'oil filter', 'coil', 'cliff']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,library,"['library', 'maze', 'shoe shop', 'chain mail', 'lumbermill']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,coral fungus,"['coral fungus', 'gyromitra', 'coral reef', 'hen-of-the-woods', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,sliding door,"['sliding door', 'loudspeaker', 'monitor', 'dining table', ""carpenter's kit""]"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,bee,"['bee', 'Windsor tie', 'apiary', 'coil', 'bow tie']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'hen-of-the-woods', 'custard apple', 'pineapple', 'buckeye']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,sandal,"['sandal', 'shoe shop', 'candle', 'Windsor tie', 'tub']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,Airedale,"['Airedale', 'daisy', 'sleeping bag', 'apiary', 'mitten']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'stinkhorn', 'chain mail', 'wool']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,head cabbage,"['head cabbage', 'broccoli', 'coral reef', 'coral fungus', 'spaghetti squash']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,starfish,"['starfish', 'water snake', 'tub', 'pick', 'malinois']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,German short-haired pointer,"['German short-haired pointer', 'coral reef', 'buckeye', 'park bench', 'gibbon']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,ashcan,"['ashcan', 'hen-of-the-woods', 'Italian greyhound', 'Siberian husky', 'Saluki']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'brain coral', 'coral reef', 'cauliflower', 'shower cap']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,coral fungus,"['coral fungus', 'Granny Smith', 'hen-of-the-woods', 'head cabbage', 'slug']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dutch oven,"['Dutch oven', 'wool', 'slug', 'tailed frog', 'banded gecko']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'tobacco shop', ""carpenter's kit"", 'solar dish', 'military uniform']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'apron', 'sea anemone', 'bow tie', 'purse']"
