,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,custard apple,"['custard apple', 'stopwatch', 'nematode', 'candle', 'honeycomb']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,stopwatch,"['stopwatch', 'knee pad', 'cuirass', 'traffic light', 'honeycomb']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'ski mask', 'megalith', 'Newfoundland', 'Bouvier des Flandres']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,black grouse,"['black grouse', 'caldron', 'hen', 'American coot', 'curly-coated retriever']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,megalith,"['megalith', 'knee pad', 'quill', 'vulture', 'hook']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,standard poodle,"['standard poodle', 'American black bear', 'Newfoundland', 'brown bear', 'Irish water spaniel']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,Newfoundland,"['Newfoundland', 'Irish water spaniel', 'Sussex spaniel', 'American black bear', 'flat-coated retriever']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'bulletproof vest', 'pitcher', 'knee pad', 'mailbag']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,curly-coated retriever,"['curly-coated retriever', 'standard poodle', 'giant schnauzer', 'llama', 'Bouvier des Flandres']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,American black bear,"['American black bear', 'Newfoundland', 'chimpanzee', 'Bouvier des Flandres', 'brown bear']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'black widow', 'tick']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'drum', 'puck', 'toilet seat', 'bathing cap']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,brassiere,"['brassiere', 'curly-coated retriever', 'Irish water spaniel', 'electric ray', 'loupe']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,indri,"['indri', 'siamang', 'capuchin', 'howler monkey', 'gibbon']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,kite,"['kite', 'vulture', 'American black bear', 'howler monkey', 'capuchin']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,three-toed sloth,"['three-toed sloth', 'vulture', 'bow', 'ski', 'orangutan']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,steel drum,"['steel drum', 'gong', 'custard apple', 'drum', 'puck']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,envelope,"['envelope', 'binder', 'paper towel', 'swimming trunks', 'washbasin']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,kite,"['kite', 'hatchet', 'mink', 'vulture', 'hammerhead']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'black and gold garden spider', 'wolf spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'brown bear', 'Newfoundland', 'Bouvier des Flandres', 'ice bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'electric ray', 'loggerhead', 'leatherback turtle', 'coral fungus']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,vulture,"['vulture', 'bald eagle', 'isopod', 'black stork', 'kite']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,pole,"['pole', 'hook', 'street sign', 'nail', 'microphone']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'Labrador retriever', 'curly-coated retriever', 'Irish water spaniel', 'flat-coated retriever']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,drum,"['drum', 'gong', 'steel drum', 'wok', 'pick']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,hook,"['hook', 'knot', 'chain', 'safety pin', 'pretzel']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hammer,"['hammer', 'hatchet', 'dumbbell', 'hook', 'nail']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'siamang', 'chimpanzee', 'orangutan', 'African elephant']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,assault rifle,"['assault rifle', 'hook', 'tripod', 'corkscrew', 'whistle']"
