,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,plastic bag,"['plastic bag', 'shower curtain', 'chainlink fence', 'envelope', 'flagpole']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,plastic bag,"['plastic bag', 'starfish', 'chainlink fence', 'barn', 'magpie']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,indri,"['indri', 'barn', 'church', 'three-toed sloth', 'howler monkey']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,maze,"['maze', 'American alligator', 'horned viper', 'African crocodile', 'sidewinder']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,barn,"['barn', 'stone wall', 'obelisk', 'park bench', 'indri']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain,"['chain', 'chain mail', 'brain coral', 'honeycomb', 'padlock']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'bee eater', 'proboscis monkey', 'langur', 'vulture']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'plastic bag', 'bee eater', 'howler monkey', 'three-toed sloth']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,howler monkey,"['howler monkey', 'spider monkey', 'indri', 'colobus', 'proboscis monkey']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,howler monkey,"['howler monkey', 'spider monkey', 'indri', 'colobus', 'American egret']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,starfish,"['starfish', 'maze', 'volcano', 'brain coral', 'spider web']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,stone wall,"['stone wall', 'barn', 'cliff dwelling', 'maze', 'rapeseed']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,bald eagle,"['bald eagle', 'colobus', 'howler monkey', 'spider monkey', 'langur']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,volcano,"['volcano', 'obelisk', 'barn', 'American alligator', 'plastic bag']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,plastic bag,"['plastic bag', 'shower curtain', 'envelope', 'book jacket', 'comic book']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,plastic bag,"['plastic bag', 'stone wall', 'barn', 'pole', 'chainlink fence']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,spider monkey,"['spider monkey', 'howler monkey', 'indri', 'volcano', 'three-toed sloth']"
