,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,Arctic fox,"['Arctic fox', 'Samoyed', 'Angora', 'Great Pyrenees', 'borzoi']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'pencil sharpener', 'wall clock', 'mushroom', 'hen-of-the-woods']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'apiary', 'ear', 'coral reef']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jay,"['jay', 'coho', 'indigo bunting', 'swimming trunks', 'water bottle']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,stole,"['stole', 'feather boa', 'poncho', 'mask', 'shoe shop']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,steam locomotive,"['steam locomotive', 'passenger car', 'crane', 'cannon', 'lumbermill']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'wine bottle', 'scale', 'restaurant', 'typewriter keyboard']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'conch', 'coral fungus', 'sea slug', ""jack-o'-lantern""]"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'microwave', 'turnstile', 'Polaroid camera', 'monitor']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'dishrag', 'apiary', 'pineapple']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'honeycomb', 'pineapple', 'spaghetti squash', 'apiary']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,drum,"['drum', 'drumstick', 'consomme', 'honeycomb', 'necklace']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'corn', 'strawberry', 'trifle', 'ear']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,stole,"['stole', 'honeycomb', 'hen-of-the-woods', 'poncho', 'ear']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'guacamole', 'cucumber', 'zucchini']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,breastplate,"['breastplate', 'cuirass', 'crash helmet', 'snowmobile', 'gasmask']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', ""yellow lady's slipper"", 'three-toed sloth', 'squirrel monkey']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'mask', 'cliff', 'komondor', 'feather boa']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'plastic bag', 'broccoli', 'artichoke']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'mashed potato', 'pineapple', 'head cabbage', 'artichoke']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dungeness crab,"['Dungeness crab', 'hen-of-the-woods', 'pizza', 'Dutch oven', 'frying pan']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'assault rifle', 'plane', 'military uniform', 'dumbbell']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,sea anemone,"['sea anemone', 'coral reef', 'strawberry', 'brain coral', 'lionfish']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'cliff dwelling', 'stone wall', 'ibex', 'alp']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'volcano', 'cliff', 'fiddler crab', 'cliff dwelling']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,aircraft carrier,"['aircraft carrier', 'missile', 'military uniform', 'projectile', 'tank']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,shoe shop,"['shoe shop', 'ski', 'wine bottle', 'coho', 'screwdriver']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'Dandie Dinmont', 'langur', 'gibbon']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,wool,"['wool', 'hen-of-the-woods', 'Tibetan terrier', 'cocker spaniel', 'Afghan hound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'hot pot', 'honeycomb', 'potpie', 'pizza']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'refrigerator', 'toilet seat', 'medicine chest', 'microwave']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,custard apple,"['custard apple', 'hen-of-the-woods', 'ptarmigan', 'Great Pyrenees', 'Angora']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,tiger,"['tiger', 'tiger cat', 'fur coat', 'hen-of-the-woods', 'dhole']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'fur coat', 'African hunting dog', 'Leonberg']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,hammer,"['hammer', 'hatchet', 'lumbermill', 'panpipe', ""carpenter's kit""]"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'jackfruit', 'pineapple', 'pot']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,vulture,"['vulture', 'ptarmigan', 'Old English sheepdog', 'Cardigan', 'Shih-Tzu']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'mushroom', 'jigsaw puzzle', 'coral fungus']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,bell pepper,"['bell pepper', 'custard apple', 'jackfruit', 'Granny Smith', 'strawberry']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'velvet', 'stole', 'swimming trunks']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'throne', 'vestment', 'maze', 'restaurant']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,photocopier,"['photocopier', 'dishwasher', 'sewing machine', 'screen', 'handkerchief']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'artichoke', 'broccoli', 'cardoon', 'cauliflower']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'desk', 'file', 'screen', 'monitor']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,plane,"['plane', 'hammer', ""carpenter's kit"", 'nail', 'screw']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,bulletproof vest,"['bulletproof vest', 'shower curtain', 'jigsaw puzzle', 'hen-of-the-woods', 'tile roof']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'stole', 'wool', 'poncho']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'artichoke', 'pineapple', 'custard apple', 'cucumber']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,quilt,"['quilt', 'head cabbage', 'sleeping bag', 'artichoke', 'bullfrog']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,pineapple,"['pineapple', 'banana', 'jackfruit', 'hen-of-the-woods', 'grocery store']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'cliff', 'komondor', 'tabby']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Dutch oven', 'honeycomb', 'wool', 'stone wall']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'can opener', 'hatchet', ""carpenter's kit"", 'hammer']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,tank,"['tank', 'amphibian', 'projectile', 'drake', 'aircraft carrier']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,hen,"['hen', 'coral fungus', 'hen-of-the-woods', 'stinkhorn', 'ice cream']"
