,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pedestal,"['pedestal', 'obelisk', 'book jacket', 'stole', 'gown']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,volcano,"['volcano', 'parachute', 'alp', 'leatherback turtle', 'sleeping bag']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,radio telescope,"['radio telescope', 'airship', 'wreck', 'chain saw', 'solar dish']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,rock crab,"['rock crab', 'fiddler crab', 'king crab', 'scorpion', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,chain,"['chain', 'curly-coated retriever', 'black stork', 'black swan', 'ostrich']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,volcano,"['volcano', 'alp', 'ski', 'parachute', 'American alligator']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,ski mask,"['ski mask', 'wool', 'stole', 'bonnet', 'sleeping bag']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,flat-coated retriever,"['flat-coated retriever', 'groenendael', 'curly-coated retriever', 'Afghan hound', 'Scottish deerhound']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'muzzle', 'microphone', 'power drill', 'electric fan']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,American alligator,"['American alligator', 'curly-coated retriever', 'volcano', 'African crocodile', 'sea cucumber']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,volcano,"['volcano', 'plastic bag', 'cliff', 'book jacket', 'megalith']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'whiskey jug', 'water jug', 'coffeepot']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,parachute,"['parachute', 'leatherback turtle', 'sleeping bag', 'vulture', 'volcano']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,leatherback turtle,"['leatherback turtle', 'terrapin', 'brassiere', 'mud turtle', 'loggerhead']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,radio telescope,"['radio telescope', 'solar dish', 'puck', 'rugby ball', 'shield']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,crane,"['crane', 'torch', 'revolver', 'radio telescope', 'pedestal']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,fur coat,"['fur coat', 'albatross', 'vulture', 'kite', 'tusker']"
