,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'porcupine', 'strainer', 'stole', 'poncho']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,stole,"['stole', 'poncho', 'Kerry blue terrier', 'chain mail', 'lakeside']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,lakeside,"['lakeside', 'alp', 'American alligator', 'window screen', 'stole']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'stole', 'wool', 'window screen', 'poncho']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,diamondback,"['diamondback', 'sidewinder', 'hognose snake', 'chain', 'oboe']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,stole,"['stole', 'wool', 'window screen', 'chain mail', 'solar dish']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'window screen', 'wool']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,stole,"['stole', 'poncho', 'chain mail', 'lakeside', 'mitten']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'wool', 'window screen']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,stole,"['stole', 'maze', 'chain mail', 'Kerry blue terrier', 'jigsaw puzzle']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'wool', 'honeycomb']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,lakeside,"['lakeside', 'American alligator', 'screw', 'seashore', 'aircraft carrier']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,spider web,"['spider web', 'barn spider', 'black and gold garden spider', 'garden spider', 'maze']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,lakeside,"['lakeside', 'alp', 'stole', 'seashore', 'parachute']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'jigsaw puzzle', 'wool']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,lakeside,"['lakeside', 'parachute', 'maze', 'screw', 'volcano']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,stole,"['stole', 'chain mail', 'American alligator', 'poncho', 'alp']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,screw,"['screw', 'lakeside', 'barn spider', 'aircraft carrier', 'spider web']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,chain mail,"['chain mail', 'stole', 'screw', 'lakeside', 'prayer rug']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,lakeside,"['lakeside', 'jigsaw puzzle', 'stole', 'seashore', 'parachute']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,crane,"['crane', 'drilling platform', 'totem pole', 'pole', 'screw']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,lakeside,"['lakeside', 'airship', 'canoe', 'parachute', 'American alligator']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'jigsaw puzzle', 'window screen']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,stole,"['stole', 'lakeside', 'poncho', 'chain mail', 'alp']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,stole,"['stole', 'American alligator', 'lakeside', 'chain mail', 'parachute']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,stole,"['stole', 'lakeside', 'Kerry blue terrier', 'canoe', 'parachute']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'great grey owl', 'stole', 'poncho', 'porcupine']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,lakeside,"['lakeside', 'seashore', 'American alligator', 'dock', 'boathouse']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,stole,"['stole', 'poncho', 'lakeside', 'chain mail', 'alp']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,stole,"['stole', 'lakeside', 'chain mail', 'jigsaw puzzle', 'poncho']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,stole,"['stole', 'poncho', 'chain mail', 'solar dish', 'wool']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,chain mail,"['chain mail', 'radio telescope', 'stole', 'window screen', 'poncho']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,chain mail,"['chain mail', 'barn spider', 'hair slide', 'stole', 'parachute']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,lakeside,"['lakeside', 'stole', 'poncho', 'alp', 'seashore']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,stole,"['stole', 'lakeside', 'Kerry blue terrier', 'canoe', 'Newfoundland']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,aircraft carrier,"['aircraft carrier', 'drilling platform', 'space shuttle', 'bell cote', 'screw']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'solar dish', 'window screen']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,stole,"['stole', 'chain mail', 'American alligator', 'alp', 'radio telescope']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'porcupine', 'wool']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,stole,"['stole', 'chain mail', 'parachute', 'lakeside', 'jigsaw puzzle']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,chain,"['chain', 'chain mail', 'nematode', 'maze', 'American alligator']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'lakeside', 'wool']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,lakeside,"['lakeside', 'American alligator', 'alp', 'seashore', 'snowmobile']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,stole,"['stole', 'chain mail', 'Kerry blue terrier', 'poncho', 'wool']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'wool', 'fur coat']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'wool', 'mitten']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,chain mail,"['chain mail', 'stole', 'great grey owl', 'porcupine', 'window screen']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,stole,"['stole', 'poncho', 'lakeside', 'chain mail', 'window screen']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,aircraft carrier,"['aircraft carrier', 'parachute', 'bell cote', 'chain mail', 'lakeside']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,stole,"['stole', 'chain mail', 'poncho', 'jigsaw puzzle', 'lakeside']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,chain mail,"['chain mail', 'stole', 'poncho', 'porcupine', 'wool']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,chain mail,"['chain mail', 'radio telescope', 'American alligator', 'necklace', 'maze']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,chain mail,"['chain mail', 'stole', 'window screen', 'poncho', 'wool']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,stole,"['stole', 'poncho', 'lakeside', 'seashore', 'chain mail']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,aircraft carrier,"['aircraft carrier', 'oboe', 'chain mail', 'screw', 'lakeside']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,American alligator,"['American alligator', 'stole', 'lakeside', 'screw', 'parachute']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,lakeside,"['lakeside', 'screw', 'parachute', 'maze', 'seashore']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,chain mail,"['chain mail', 'stole', 'jigsaw puzzle', 'poncho', 'lakeside']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,lakeside,"['lakeside', 'aircraft carrier', 'airship', 'jigsaw puzzle', 'stole']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,lakeside,"['lakeside', 'parachute', 'seashore', 'sandbar', 'airship']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,stole,"['stole', 'chain mail', 'window screen', 'Kerry blue terrier', 'poncho']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,lakeside,"['lakeside', 'screw', 'ski', 'alp', 'airship']"
