,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,chainlink fence,"['chainlink fence', 'plastic bag', 'greenhouse', 'shower curtain', 'spider web']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,chainlink fence,"['chainlink fence', 'starfish', 'doormat', 'chain', 'nail']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,three-toed sloth,"['three-toed sloth', 'barn', 'greenhouse', 'chainlink fence', 'thatch']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,maze,"['maze', 'knot', 'American alligator', 'starfish', 'coil']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,stone wall,"['stone wall', 'hay', 'barn', 'thatch', 'chainlink fence']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain mail,"['chain mail', 'chain', 'chainlink fence', 'honeycomb', 'doormat']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,bald eagle,"['bald eagle', 'proboscis monkey', 'bee eater', 'great grey owl', 'spider web']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,howler monkey,"['howler monkey', 'bee eater', 'envelope', 'toucan', 'three-toed sloth']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,howler monkey,"['howler monkey', 'spider monkey', 'colobus', 'langur', 'three-toed sloth']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,American egret,"['American egret', 'howler monkey', 'spider monkey', 'barn', 'plastic bag']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,chainlink fence,"['chainlink fence', 'greenhouse', 'maze', 'spider web', 'stone wall']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,stone wall,"['stone wall', 'thatch', 'chainlink fence', 'barn', 'worm fence']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,colobus,"['colobus', 'howler monkey', 'spider monkey', 'vulture', 'langur']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,chainlink fence,"['chainlink fence', 'thatch', 'greenhouse', 'barn', 'American alligator']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,plastic bag,"['plastic bag', 'starfish', 'greenhouse', 'sea urchin', 'doormat']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'chainlink fence', 'barn', 'plastic bag', 'pole']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,spider monkey,"['spider monkey', 'three-toed sloth', 'howler monkey', 'vulture', 'barn']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'barometer', 'analog clock', 'magnetic compass', 'envelope']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,shower curtain,"['shower curtain', 'comic book', 'proboscis monkey', 'book jacket', 'plastic bag']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,chainlink fence,"['chainlink fence', 'plastic bag', 'greenhouse', 'barn', 'great grey owl']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,starfish,"['starfish', 'doormat', 'greenhouse', 'sea urchin', 'screw']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,vulture,"['vulture', 'howler monkey', 'spider monkey', 'bald eagle', 'langur']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'plastic bag', 'howler monkey', 'ruffed grouse', 'great grey owl']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,spider monkey,"['spider monkey', 'indri', 'colobus', 'howler monkey', 'orangutan']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,hay,"['hay', 'thatch', 'doormat', 'chainlink fence', 'nail']"
25,LinFil_snail_ILSVRC2012_val_00023958_lf.jpg,doormat,"['doormat', 'starfish', 'spider web', 'hay', 'greenhouse']"
26,LinFil_chair_ILSVRC2012_val_00041720_lf.jpg,comic book,"['comic book', 'book jacket', 'proboscis monkey', 'plastic bag', 'chainlink fence']"
27,LinFil_corn_ILSVRC2012_val_00030375_lf.jpg,stone wall,"['stone wall', 'thatch', 'barn', 'chainlink fence', 'cliff']"
28,LinFil_fish_ILSVRC2012_val_00021994_lf.jpg,chainlink fence,"['chainlink fence', 'spider web', 'toucan', 'honeycomb', 'chain']"
29,LinFil_spider_ILSVRC2012_val_00039661_lf.jpg,thatch,"['thatch', 'hay', 'chainlink fence', 'corn', 'barn']"
30,LinFil_squirrel_ILSVRC2012_val_00048792_lf.jpg,spider monkey,"['spider monkey', 'howler monkey', 'colobus', 'vulture', 'three-toed sloth']"
31,LinFil_strawberry_ILSVRC2012_val_00035170_lf.jpg,pole,"['pole', 'vulture', 'bee eater', 'great grey owl', 'flagpole']"
