,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'custard apple', 'cardoon']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'custard apple', 'broccoli', 'sulphur-crested cockatoo', 'ptarmigan']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,warplane,"['warplane', 'assault rifle', 'power drill', 'crane', 'revolver']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,kite,"['kite', 'vulture', 'hen-of-the-woods', 'bald eagle', 'black grouse']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,albatross,"['albatross', 'ptarmigan', 'kite', 'great white shark', 'volcano']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'snowmobile', 'black grouse']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Italian greyhound,"['Italian greyhound', 'African grey', 'kite', 'whippet', 'Saluki']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,flat-coated retriever,"['flat-coated retriever', 'giant schnauzer', 'Irish wolfhound', 'curly-coated retriever', 'Scottish deerhound']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'spider web', 'black and gold garden spider']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'albatross', 'kite', 'vulture', 'magpie']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'stinkhorn', 'meat loaf', 'bell pepper', 'plastic bag']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'bullfrog', 'tree frog', 'grasshopper', 'barn spider']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,loggerhead,"['loggerhead', 'barn spider', 'leatherback turtle', 'conch', 'terrapin']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,hummingbird,"['hummingbird', 'kite', 'ant', 'bulbul', 'warplane']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,kite,"['kite', 'standard schnauzer', 'borzoi', 'wire-haired fox terrier', 'proboscis monkey']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sidewinder,"['sidewinder', 'night snake', 'horned viper', 'sea snake', 'rock python']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,barn spider,"['barn spider', 'muzzle', 'tick', 'ant', 'black widow']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'Weimaraner', 'Indian elephant', 'tusker']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,Rhodesian ridgeback,"['Rhodesian ridgeback', 'Walker hound', 'redbone', 'ladybug', 'black-and-tan coonhound']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'totem pole', 'pedestal', 'banjo']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'knot', 'corn', 'rock python', 'horned viper']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'recreational vehicle', 'printer', 'stretcher', 'cash machine']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,Irish setter,"['Irish setter', 'redbone', 'Irish terrier', 'Rhodesian ridgeback', 'bloodhound']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,lemon,"['lemon', 'shower cap', 'tennis ball', 'honeycomb', 'plastic bag']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,kite,"['kite', 'ruddy turnstone', 'ptarmigan', 'ruffed grouse', 'prairie chicken']"
25,SilTex_dryer_ILSVRC2012_val_00013313_st.jpg,muzzle,"['muzzle', 'parachute', 'flagpole', 'kite', 'vulture']"
26,SilTex_banana_ILSVRC2012_val_00046575_st.jpg,Granny Smith,"['Granny Smith', 'broccoli', 'artichoke', 'custard apple', 'cucumber']"
27,SilTex_broccoli_ILSVRC2012_val_00027637_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'volcano', 'mortar']"
28,SilTex_dog_ILSVRC2012_val_00012566_st.jpg,kite,"['kite', 'meerkat', 'ice bear', 'squirrel monkey', 'langur']"
29,SilTex_camel_ILSVRC2012_val_00013553_st.jpg,hog,"['hog', 'warthog', 'ibex', 'Arabian camel', 'wild boar']"
30,SilTex_rabbit_ILSVRC2012_val_00044412_st.jpg,hare,"['hare', 'ibex', 'three-toed sloth', 'Airedale', 'fox squirrel']"
31,SilTex_helmet_ILSVRC2012_val_00032342_st.jpg,oxygen mask,"['oxygen mask', 'gasmask', 'plastic bag', 'parachute', 'football helmet']"
32,SilTex_dryer_ILSVRC2012_val_00027635_st.jpg,chain saw,"['chain saw', 'spider monkey', 'siamang', 'howler monkey', 'ski']"
33,SilTex_rabbit_ILSVRC2012_val_00027435_st.jpg,fox squirrel,"['fox squirrel', 'triceratops', 'loggerhead', 'terrapin', 'mud turtle']"
34,SilTex_lemon_ILSVRC2012_val_00028823_st.jpg,lemon,"['lemon', 'spaghetti squash', 'shower cap', 'tennis ball', 'orange']"
35,SilTex_microwave_ILSVRC2012_val_00042691_st.jpg,crane,"['crane', 'forklift', 'mobile home', 'half track', 'garbage truck']"
36,SilTex_strawberry_ILSVRC2012_val_00035170_st.jpg,strawberry,"['strawberry', 'lorikeet', 'sarong', 'macaw', 'bell pepper']"
37,SilTex_swine_ILSVRC2012_val_00014171_st.jpg,hog,"['hog', 'triceratops', 'Weimaraner', 'bighorn', 'ram']"
