,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,screw,"['screw', 'chain', 'corkscrew', 'hook', 'whistle']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,chain,"['chain', 'hook', 'barn', 'screw', 'hair slide']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,hair slide,"['hair slide', 'hook', 'table lamp', 'thimble', 'lampshade']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,chain,"['chain', 'hair slide', 'hook', 'nail', 'matchstick']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'screw', 'hook', 'chain']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'jersey', 'parachute', 'hook', 'chain']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,tray,"['tray', 'barn', 'envelope', 'wall clock', 'water tower']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,hair slide,"['hair slide', 'envelope', 'parachute', 'warplane', 'letter opener']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,diamondback,"['diamondback', 'nematode', 'chain', 'banded gecko', 'hognose snake']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,wall clock,"['wall clock', 'chain', 'hook', 'hair slide', 'envelope']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,hair slide,"['hair slide', 'envelope', 'chain', 'hook', 'parachute']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,chain,"['chain', 'barn', 'parachute', 'envelope', 'matchstick']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'chain', 'hook', 'matchstick', 'safety pin']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,American alligator,"['American alligator', 'screw', 'chain', 'ant', 'warplane']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'hair slide', 'warplane', 'hook', 'screw']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'parachute', 'tray', 'water tower', 'barn']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,screw,"['screw', 'chain', 'hair slide', 'hook', 'nail']"
