,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'bulletproof vest', 'vulture', 'birdhouse', 'bald eagle']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,trilobite,"['trilobite', 'Gila monster', 'leatherback turtle', 'African chameleon', 'buckle']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,stretcher,"['stretcher', 'radio telescope', 'buckle', 'clog', 'muzzle']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,ground beetle,"['ground beetle', 'scorpion', 'long-horned beetle', 'rhinoceros beetle', 'weevil']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,chain,"['chain', 'necklace', 'bib', 'swing', 'bolo tie']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,American alligator,"['American alligator', 'alp', 'knot', 'African crocodile', 'African chameleon']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,ski mask,"['ski mask', 'poncho', 'stole', 'partridge', 'vulture']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,vulture,"['vulture', 'bald eagle', 'parachute', 'pedestal', 'swing']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,radio telescope,"['radio telescope', 'hatchet', 'electric fan', 'holster', 'spotlight']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,mitten,"['mitten', 'knot', 'African chameleon', 'African crocodile', 'American alligator']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,stole,"['stole', 'teddy', 'hoopskirt', 'ski mask', 'bib']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,buckle,"['buckle', 'coffee mug', 'pitcher', 'gasmask', 'teapot']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,American alligator,"['American alligator', 'trilobite', 'sleeping bag', 'leatherback turtle', 'knot']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'radio telescope', 'mud turtle', 'loggerhead', 'leatherback turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,drum,"['drum', 'chime', 'gong', 'rugby ball', 'face powder']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hatchet,"['hatchet', 'hook', 'crane', 'crutch', 'nail']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,hook,"['hook', 'knot', 'chain mail', 'parachute', 'kite']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,shower cap,"['shower cap', 'sweatshirt', 'bib', 'soccer ball', 'radio telescope']"
