,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'African chameleon', 'cauliflower', 'head cabbage', 'poncho']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,cauliflower,"['cauliflower', 'head cabbage', 'acorn', 'vase', 'custard apple']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'hatchet', 'street sign', 'assault rifle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,ground beetle,"['ground beetle', 'dung beetle', 'rhinoceros beetle', 'scorpion', 'banded gecko']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,ptarmigan,"['ptarmigan', 'goose', 'albatross', 'warplane', 'hammerhead']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'space shuttle', 'projectile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,Great Dane,"['Great Dane', 'Chihuahua', 'parachute', 'Boston bull', 'Italian greyhound']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,flat-coated retriever,"['flat-coated retriever', 'Staffordshire bullterrier', 'Great Dane', 'Labrador retriever', 'Irish wolfhound']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'spider web', 'weevil', 'tick']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,magpie,"['magpie', 'black grouse', 'American coot', 'shield', 'vulture']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'pomegranate', 'ice lolly', 'velvet', 'stole']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'African chameleon', 'cauliflower', 'plate', 'hen-of-the-woods']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,meat loaf,"['meat loaf', 'potpie', 'French loaf', 'bakery', 'plate']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,banded gecko,"['banded gecko', 'coho', 'agama', 'barracouta', 'warplane']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,patas,"['patas', 'titi', 'squirrel monkey', 'langur', 'proboscis monkey']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,necklace,"['necklace', 'chain', 'whistle', 'chain mail', 'knot']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,violin,"['violin', 'acoustic guitar', 'reel', 'whistle', 'revolver']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,Weimaraner,"['Weimaraner', 'hippopotamus', 'hog', 'Mexican hairless', 'electric ray']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,chain,"['chain', 'pole', 'knot', 'tile roof', 'bee eater']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'unicycle', 'acoustic guitar', 'pedestal', 'banjo']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,French loaf,"['French loaf', 'corn', 'ear', 'stole', 'guacamole']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,photocopier,"['photocopier', 'desk', 'printer', 'entertainment center', 'switch']"
22,SilTex_horse_ILSVRC2012_val_00017358_st.jpg,fiddler crab,"['fiddler crab', 'banded gecko', 'conch', 'rock crab', 'scorpion']"
23,SilTex_lemon_ILSVRC2012_val_00045149_st.jpg,shower cap,"['shower cap', 'bagel', 'spaghetti squash', 'bell pepper', 'lemon']"
24,SilTex_bird_ILSVRC2012_val_00030545_st.jpg,African chameleon,"['African chameleon', 'American alligator', 'tailed frog', 'bullfrog', 'hair slide']"
