,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,volcano,"['volcano', 'chiton', 'isopod', 'trilobite', 'radio']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,revolver,"['revolver', 'bulletproof vest', 'rifle', 'bearskin', 'military uniform']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,American black bear,"['American black bear', 'bearskin', 'knee pad', 'punching bag', 'Newfoundland']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,quail,"['quail', 'black grouse', 'ram', 'hen', 'caldron']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,cleaver,"['cleaver', 'Newfoundland', 'quill', 'abaya', 'cloak']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,toy poodle,"['toy poodle', 'standard poodle', 'hyena', 'jaguar', 'lion']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,curly-coated retriever,"['curly-coated retriever', 'tabby', 'tiger cat', 'microphone', 'Bernese mountain dog']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,whiskey jug,"['whiskey jug', 'coffee mug', 'pitcher', 'cup', 'milk can']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,lion,"['lion', 'cougar', 'Bouvier des Flandres', 'Irish wolfhound', 'groenendael']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,chimpanzee,"['chimpanzee', 'microphone', 'pug', 'Newfoundland', 'cougar']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'wolf spider', 'black widow', 'garden spider', 'black and gold garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,pick,"['pick', 'drum', 'puck', 'gong', 'punching bag']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,microphone,"['microphone', 'tennis ball', 'racket', 'maraca', 'loupe']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,corkscrew,"['corkscrew', 'revolver', 'capuchin', 'scorpion', 'banded gecko']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,Egyptian cat,"['Egyptian cat', 'Boston bull', 'hook', 'cougar', 'Bouvier des Flandres']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,chimpanzee,"['chimpanzee', 'American black bear', 'brown bear', 'Newfoundland', 'gorilla']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,rifle,"['rifle', 'punching bag', 'bulletproof vest', 'electric ray', 'gong']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,cleaver,"['cleaver', 'studio couch', 'hatchet', 'shovel', 'rifle']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,hook,"['hook', 'cleaver', 'tabby', 'kite', 'tiger cat']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'wolf spider', 'tarantula', 'garden spider', 'black and gold garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'Newfoundland', 'brown bear', 'cougar', 'Irish water spaniel']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,black grouse,"['black grouse', 'vulture', 'hen', 'cock', 'hair slide']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,black stork,"['black stork', 'vulture', 'white stork', 'bald eagle', 'hornbill']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'hatchet', 'nail', 'pole', 'assault rifle']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'curly-coated retriever', 'pug', 'Irish water spaniel', 'Great Dane']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,bulletproof vest,"['bulletproof vest', 'punching bag', 'bearskin', 'gong', 'drum']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,pretzel,"['pretzel', 'safety pin', 'nematode', 'loupe', 'capuchin']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hook,"['hook', 'Egyptian cat', 'Siamese cat', 'mink', 'nail']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'llama', 'water buffalo', 'hook', 'chimpanzee']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,capuchin,"['capuchin', 'microphone', 'chimpanzee', 'indri', 'corkscrew']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,ox,"['ox', 'American black bear', 'bison', 'schipperke', 'ram']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,hammerhead,"['hammerhead', 'hook', 'albatross', 'airship', 'common newt']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,cougar,"['cougar', 'Siamese cat', 'Egyptian cat', 'indri', 'Boston bull']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,curly-coated retriever,"['curly-coated retriever', 'chimpanzee', 'platypus', 'capuchin', 'scorpion']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,Newfoundland,"['Newfoundland', 'pug', 'American black bear', 'chow', 'standard poodle']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,binoculars,"['binoculars', 'bison', 'chimpanzee', 'ox', 'lion']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,curly-coated retriever,"['curly-coated retriever', 'ox', 'American black bear', 'chimpanzee', 'Labrador retriever']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,airship,"['airship', 'speedboat', 'projectile', 'submarine', 'missile']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,gong,"['gong', 'punching bag', 'drum', 'face powder', 'frying pan']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,barn spider,"['barn spider', 'tick', 'tarantula', 'wolf spider', 'black widow']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,electric ray,"['electric ray', 'bulletproof vest', 'jersey', 'volcano', 'sweatshirt']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,nematode,"['nematode', 'hook', 'muzzle', 'eel', 'bow']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,rifle,"['rifle', 'bulletproof vest', 'web site', 'military uniform', 'bearskin']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,scorpion,"['scorpion', 'rock crab', 'tick', 'fiddler crab', 'king crab']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,tick,"['tick', 'ringlet', 'lycaenid', 'cockroach', 'admiral']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,cougar,"['cougar', 'lion', 'tiger cat', 'Newfoundland', 'Egyptian cat']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,mailbag,"['mailbag', 'bulletproof vest', 'poncho', 'wool', 'stole']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,frying pan,"['frying pan', 'gong', 'radio', 'drum', 'caldron']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pedestal,"['pedestal', 'military uniform', 'vase', 'bulletproof vest', 'book jacket']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,vulture,"['vulture', 'cockroach', 'isopod', 'airship', 'quill']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,gong,"['gong', 'drum', 'frying pan', 'face powder', 'chime']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,pick,"['pick', 'bearskin', 'puck', 'punching bag', 'microphone']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,airship,"['airship', 'airliner', 'warplane', 'wing', 'projectile']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,albatross,"['albatross', 'mink', 'platypus', 'slug', 'curly-coated retriever']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,neck brace,"['neck brace', 'punching bag', 'mouse', 'abaya', 'cellular telephone']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,American black bear,"['American black bear', 'cougar', 'brown bear', 'lion', 'Newfoundland']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,punching bag,"['punching bag', 'doormat', 'electric ray', 'Newfoundland', 'pick']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,iron,"['iron', 'rocking chair', 'barber chair', 'barrow', 'grand piano']"
