,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'airship', 'parachute', 'rifle', 'radio telescope']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,envelope,"['envelope', 'pick', 'doormat', 'matchstick', 'airship']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,airship,"['airship', 'chain mail', 'stole', 'parachute', 'megalith']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,sea urchin,"['sea urchin', 'golf ball', 'doormat', 'thimble', 'matchstick']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,envelope,"['envelope', 'banded gecko', 'screw', 'leatherback turtle', 'handkerchief']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'parachute', 'airship', 'balloon', 'matchstick']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,parachute,"['parachute', 'balloon', 'face powder', 'matchstick', 'envelope']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'airship', 'pick', 'parachute', 'jigsaw puzzle']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,chain,"['chain', 'hair slide', 'matchstick', 'maze', 'envelope']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'honeycomb', 'jigsaw puzzle', 'window screen', 'matchstick']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'pick', 'jigsaw puzzle', 'matchstick', 'airship']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,envelope,"['envelope', 'doormat', 'pick', 'rule', 'tabby']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'chain', 'stole', 'vase', 'sea urchin']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'airship', 'parachute', 'rifle', 'jigsaw puzzle']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,screw,"['screw', 'envelope', 'pinwheel', 'nail', 'chain']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'pick', 'matchstick', 'airship', 'rule']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'leatherback turtle', 'airship', 'shovel', 'chain saw']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'rifle', 'pick', 'lakeside', 'airship']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,envelope,"['envelope', 'parachute', 'airship', 'pick', 'matchstick']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'parachute', 'airship', 'balloon', 'golf ball']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,lakeside,"['lakeside', 'rifle', 'parachute', 'envelope', 'airship']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,chain mail,"['chain mail', 'envelope', 'jigsaw puzzle', 'matchstick', 'pick']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,envelope,"['envelope', 'banded gecko', 'hatchet', 'leatherback turtle', 'screw']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,grey whale,"['grey whale', 'sea cucumber', 'chain saw', 'leatherback turtle', 'airship']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,chain,"['chain', 'envelope', 'matchstick', 'nematode', 'lipstick']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,envelope,"['envelope', 'pick', 'face powder', 'Petri dish', 'jigsaw puzzle']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'airship', 'parachute', 'screw', 'rule']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,envelope,"['envelope', 'handkerchief', 'chain mail', 'pick', 'jigsaw puzzle']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,envelope,"['envelope', 'doormat', 'jigsaw puzzle', 'handkerchief', 'chain mail']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,envelope,"['envelope', 'jigsaw puzzle', 'Kerry blue terrier', 'chain mail', 'leatherback turtle']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,sea urchin,"['sea urchin', 'shower cap', 'face powder', 'golf ball', 'nail']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'parachute', 'lakeside', 'ski', 'airship']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,parachute,"['parachute', 'envelope', 'airship', 'rule', 'jigsaw puzzle']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,parachute,"['parachute', 'bonnet', 'electric ray', 'sea urchin', 'handkerchief']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,parachute,"['parachute', 'envelope', 'handkerchief', 'pick', 'doormat']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,sea urchin,"['sea urchin', 'golf ball', 'face powder', 'Petri dish', 'nail']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,envelope,"['envelope', 'pick', 'parachute', 'airship', 'doormat']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,chain mail,"['chain mail', 'envelope', 'trilobite', 'doormat', 'matchstick']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,envelope,"['envelope', 'ski', 'screw', 'rifle', 'nail']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,envelope,"['envelope', 'leatherback turtle', 'parachute', 'pick', 'Petri dish']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,parachute,"['parachute', 'envelope', 'airship', 'leatherback turtle', 'grey whale']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'screw', 'lakeside', 'rifle', 'airship']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,envelope,"['envelope', 'banded gecko', 'leatherback turtle', 'American alligator', 'ski']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,balloon,"['balloon', 'envelope', 'parachute', 'pick', 'handkerchief']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,airship,"['airship', 'parachute', 'envelope', 'leatherback turtle', 'shovel']"
