,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'tray', 'rule', 'handkerchief', 'face powder']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,rule,"['rule', 'face powder', 'envelope', 'hair slide', 'matchstick']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,snowmobile,"['snowmobile', 'fountain', 'hen-of-the-woods', 'snowplow', 'parachute']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,face powder,"['face powder', 'nail', 'rule', 'hair slide', 'chain']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'handkerchief', 'rule', 'chain']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'rule', 'handkerchief', 'chain', 'nematode']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,rule,"['rule', 'face powder', 'flagpole', 'safety pin', 'matchstick']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,handkerchief,"['handkerchief', 'envelope', 'tray', 'parachute', 'jersey']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'hair slide', 'face powder', 'chain', 'handkerchief']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,parachute,"['parachute', 'pole', 'nail', 'envelope', 'tray']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'chain', 'banded gecko', 'hair slide', 'rule']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,chain,"['chain', 'rule', 'handkerchief', 'chain mail', 'parachute']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,doormat,"['doormat', 'spatula', 'wool', 'chain', 'hen-of-the-woods']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,banded gecko,"['banded gecko', 'Gila monster', 'parachute', 'matchstick', 'rule']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,envelope,"['envelope', 'nematode', 'hair slide', 'handkerchief', 'leatherback turtle']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,parachute,"['parachute', 'tray', 'envelope', 'matchstick', 'rule']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,envelope,"['envelope', 'parachute', 'hair slide', 'rule', 'space shuttle']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,chain,"['chain', 'hair slide', 'envelope', 'tray', 'banded gecko']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,parachute,"['parachute', 'matchstick', 'rule', 'tray', 'chain']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,envelope,"['envelope', 'rule', 'parachute', 'lakeside', 'tray']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'tray', 'space shuttle', 'lakeside', 'rule']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'handkerchief', 'tray', 'matchstick', 'doormat']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,rule,"['rule', 'envelope', 'tray', 'handkerchief', 'chain']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'hair slide', 'chain', 'parachute', 'rule']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,handkerchief,"['handkerchief', 'chain', 'hair slide', 'nematode', 'face powder']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,parachute,"['parachute', 'envelope', 'matchstick', 'tray', 'pole']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'nematode', 'handkerchief', 'paper towel', 'tray']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,handkerchief,"['handkerchief', 'matchstick', 'face powder', 'doormat', 'rule']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,rule,"['rule', 'face powder', 'envelope', 'nail', 'pole']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,parachute,"['parachute', 'space shuttle', 'matchstick', 'rule', 'pole']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,face powder,"['face powder', 'nail', 'rule', 'doormat', 'envelope']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,obelisk,"['obelisk', 'lakeside', 'tusker', 'park bench', 'totem pole']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,parachute,"['parachute', 'space shuttle', 'tray', 'warplane', 'pole']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,chain mail,"['chain mail', 'dishrag', 'wool', 'doormat', 'nail']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,face powder,"['face powder', 'rule', 'envelope', 'matchstick', 'chain']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,face powder,"['face powder', 'nail', 'rule', 'doormat', 'envelope']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,face powder,"['face powder', 'hair slide', 'envelope', 'rule', 'banded gecko']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,face powder,"['face powder', 'hair slide', 'rule', 'envelope', 'handkerchief']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,oboe,"['oboe', 'screw', 'nail', 'hair slide', 'bassoon']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,nematode,"['nematode', 'parachute', 'handkerchief', 'tray', 'envelope']"
