,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,cuirass,"['cuirass', 'pedestal', 'bulletproof vest', 'radio telescope', 'hoopskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,wreck,"['wreck', 'mask', 'syringe', 'purse', 'water bottle']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,hammer,"['hammer', 'screwdriver', 'ladle', 'spatula', 'drumstick']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,wreck,"['wreck', 'warplane', 'wing', 'spotlight', 'mask']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,radio telescope,"['radio telescope', 'water tower', 'magnetic compass', 'banjo', 'bolo tie']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,thatch,"['thatch', 'wreck', 'bow', 'spotlight', 'safety pin']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,pick,"['pick', 'bonnet', 'goblet', 'mask', 'water bottle']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,vulture,"['vulture', 'stretcher', 'scoreboard', 'kite', 'warplane']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hair slide,"['hair slide', 'electric fan', 'bolo tie', 'spotlight', 'purse']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,thatch,"['thatch', 'black swan', 'grey whale', 'mask', 'water bottle']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,slide rule,"['slide rule', 'sundial', 'mask', 'water bottle', 'purse']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,pitcher,"['pitcher', 'cup', 'buckle', 'barrel', 'water jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,combination lock,"['combination lock', 'cassette', 'mask', 'spotlight', 'purse']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,airship,"['airship', 'terrapin', 'radio telescope', 'hen', 'great grey owl']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,radio telescope,"['radio telescope', 'nematode', 'shield', 'screwdriver', 'mask']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,crane,"['crane', 'scabbard', 'holster', 'hammer', 'screwdriver']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,shield,"['shield', 'knee pad', 'mask', 'purse', 'water bottle']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,wall clock,"['wall clock', 'analog clock', 'mask', 'water bottle', 'purse']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,sea urchin,"['sea urchin', 'umbrella', 'lorikeet', 'cock', 'coil']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,binder,"['binder', 'hard disc', 'wallet', 'mask', 'purse']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,wing,"['wing', 'wreck', 'stupa', 'airliner', 'warplane']"
