,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,screw,"['screw', 'hair slide', 'rubber eraser', 'flute', 'safety pin']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'screw', 'thimble', 'puck', 'chain mail']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,thimble,"['thimble', 'chain mail', 'hair slide', 'screw', 'mask']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hair slide,"['hair slide', 'thimble', 'screw', 'face powder', 'chain mail']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'thimble', 'screw', 'nail', 'purse']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,thimble,"['thimble', 'hair slide', 'puck', 'nail', 'mask']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,hair slide,"['hair slide', 'screw', 'whistle', 'can opener', 'safety pin']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'mask', 'shield']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'shield', 'nail']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,hair slide,"['hair slide', 'screw', 'Band Aid', 'binder', 'safety pin']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,thimble,"['thimble', 'chain mail', 'screw', 'wallet', 'mask']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,screw,"['screw', 'rubber eraser', 'nail', 'whistle', 'letter opener']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'hair slide', 'thimble', 'screw', 'bearskin']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hair slide,"['hair slide', 'nail', 'puck', 'cup', 'vase']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'letter opener', 'nail', 'can opener', 'whistle']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'mask', 'water bottle']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'screw', 'rubber eraser', 'safety pin', 'purse']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,corkscrew,"['corkscrew', 'screw', 'hair slide', 'nail', 'binder']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,hair slide,"['hair slide', 'airship', 'screw', 'screwdriver', 'hammer']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,hair slide,"['hair slide', 'screw', 'safety pin', 'purse', 'spatula']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'corkscrew', 'flute', 'nail', 'safety pin']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,hair slide,"['hair slide', 'thimble', 'screw', 'chain mail', 'safety pin']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,screw,"['screw', 'thimble', 'safety pin', 'mask', 'water bottle']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'safety pin', 'spatula', 'purse', 'miniature poodle']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,screw,"['screw', 'corkscrew', 'safety pin', 'nail', 'shield']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,hair slide,"['hair slide', 'screw', 'bearskin', 'safety pin', 'spatula']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,screw,"['screw', 'corkscrew', 'rubber eraser', 'screwdriver', 'safety pin']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hair slide,"['hair slide', 'thimble', 'purse', 'spatula', 'mask']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,hair slide,"['hair slide', 'thimble', 'chain mail', 'purse', 'mask']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,hair slide,"['hair slide', 'screw', 'binder', 'mask', 'purse']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,thimble,"['thimble', 'chain mail', 'microphone', 'screw', 'mask']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,screw,"['screw', 'corkscrew', 'sea snake', 'mask', 'water bottle']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,screw,"['screw', 'nail', 'thimble', 'hair slide', 'mask']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,thimble,"['thimble', 'chain mail', 'hand blower', 'mask', 'water bottle']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,hair slide,"['hair slide', 'chain mail', 'screw', 'purse', 'mask']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,thimble,"['thimble', 'chain mail', 'mask', 'water bottle', 'purse']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,nail,"['nail', 'binder', 'hammer', 'letter opener', 'screwdriver']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,hair slide,"['hair slide', 'screw', 'thimble', 'chain mail', 'safety pin']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,corkscrew,"['corkscrew', 'projectile', 'mask', 'hook', 'water bottle']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,hair slide,"['hair slide', 'binder', 'can opener', 'parachute', 'whistle']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,hair slide,"['hair slide', 'screw', 'isopod', 'nail', 'letter opener']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,airship,"['airship', 'screw', 'hammer', 'screwdriver', 'spatula']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nail,"['nail', 'letter opener', 'can opener', 'whistle', 'hammer']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,hair slide,"['hair slide', 'chain mail', 'mask', 'purse', 'water bottle']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,hair slide,"['hair slide', 'spatula', 'safety pin', 'hammer', 'cleaver']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'can opener', 'whistle']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,screw,"['screw', 'chain mail', 'mask', 'water bottle', 'safety pin']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'binder', 'screw', 'mask', 'water bottle']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,screw,"['screw', 'letter opener', 'hair slide', 'hammer', 'flute']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,screw,"['screw', 'letter opener', 'hair slide', 'corkscrew', 'safety pin']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,hair slide,"['hair slide', 'parachute', 'valley', 'lakeside', 'spatula']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,screw,"['screw', 'plate rack', 'hair slide', 'can opener', 'whistle']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,hair slide,"['hair slide', 'corkscrew', 'airship', 'pelican', 'mask']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,thimble,"['thimble', 'chain mail', 'honeycomb', 'hand blower', 'mask']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,hair slide,"['hair slide', 'nail', 'puck', 'purse', 'safety pin']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,nail,"['nail', 'ballpoint', 'screw', 'mask', 'water bottle']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,hair slide,"['hair slide', 'pick', 'whistle', 'purse', 'spatula']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,hair slide,"['hair slide', 'screw', 'safety pin', 'purse', 'spatula']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,pelican,"['pelican', 'rubber eraser', 'oystercatcher', 'mask', 'water bottle']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,screw,"['screw', 'corkscrew', 'safety pin', 'nail', 'shield']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,pick,"['pick', 'hair slide', 'nail', 'mask', 'water bottle']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,hair slide,"['hair slide', 'thimble', 'screw', 'chain mail', 'nail']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,screw,"['screw', 'corkscrew', 'mask', 'safety pin', 'water bottle']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'mask', 'purse']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,hair slide,"['hair slide', 'thimble', 'plate rack', 'whistle', 'can opener']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,screw,"['screw', 'corkscrew', 'nail', 'safety pin', 'hook']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,hair slide,"['hair slide', 'screw', 'safety pin', 'purse', 'spatula']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,screw,"['screw', 'corkscrew', 'nail', 'safety pin', 'shield']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,nail,"['nail', 'hair slide', 'container ship', 'Band Aid', 'mask']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,hair slide,"['hair slide', 'thimble', 'mask', 'purse', 'water bottle']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,thimble,"['thimble', 'chain mail', 'mask', 'water bottle', 'purse']"
71,Cro5dva_v05_pineapple_ILSVRC2012_val_00024461_cs.jpg,hair slide,"['hair slide', 'screw', 'nail', 'airship', 'mask']"
72,Cro5dva_v05_squirrel_ILSVRC2012_val_00042981_cs.jpg,screw,"['screw', 'hair slide', 'safety pin', 'shield', 'purse']"
73,Cro5dva_v05_mug_ILSVRC2012_val_00025893_cs.jpg,hair slide,"['hair slide', 'screw', 'safety pin', 'purse', 'spatula']"
74,Cro5dva_v05_car_ILSVRC2012_val_00010455_cs.jpg,rubber eraser,"['rubber eraser', 'mask', 'water bottle', 'purse', 'bow']"
75,Cro5dva_v05_frog_ILSVRC2012_val_00010287_cs.jpg,hair slide,"['hair slide', 'binder', 'nail', 'mask', 'purse']"
76,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00032449_cs.jpg,hair slide,"['hair slide', 'thimble', 'chain mail', 'screw', 'purse']"
77,Cro5dva_v05_spider_ILSVRC2012_val_00026030_cs.jpg,hair slide,"['hair slide', 'screw', 'garden spider', 'mask', 'purse']"
