,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,chain mail,"['chain mail', 'porcupine', 'doormat', 'broccoli', 'ski mask']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,American black bear,"['American black bear', 'porcupine', 'broccoli', 'Irish water spaniel', 'skunk']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,oystercatcher,"['oystercatcher', 'black grouse', 'ptarmigan', 'dowitcher', 'brambling']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,cup,"['cup', 'coffee mug', 'coffeepot', 'espresso', 'whiskey jug']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'corkscrew', 'oboe', 'whistle', 'bassoon']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,knot,"['knot', 'chain', 'nematode', 'hair slide', 'whistle']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,ant,"['ant', 'mitten', 'airship', 'strainer', 'matchstick']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,nematode,"['nematode', 'airship', 'ant', 'Irish water spaniel', 'isopod']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,broccoli,"['broccoli', 'Irish water spaniel', 'matchstick', 'skunk', 'doormat']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'cheetah', 'leopard', 'snow leopard', 'hyena']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,broccoli,"['broccoli', 'American black bear', 'Irish water spaniel', 'coral fungus', 'skunk']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ant,"['ant', 'warplane', 'banded gecko', 'airship', 'knot']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'spider web', 'tick', 'garden spider']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,ant,"['ant', 'barn spider', 'spider web', 'handkerchief', 'knot']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,coral fungus,"['coral fungus', 'broccoli', 'hen-of-the-woods', 'dishrag', 'bubble']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,barn spider,"['barn spider', 'ant', 'tick', 'wolf spider', 'banded gecko']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,ant,"['ant', 'grey whale', 'knot', 'oboe', 'matchstick']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'spider web', 'ant', 'garden spider']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'knot', 'screw', 'hammer', 'shovel']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'coral fungus', 'hair slide', 'envelope', 'hen-of-the-woods']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'hammer', 'screw', 'rule', 'shovel']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'warplane', 'oboe', 'ant', 'nematode']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,coral fungus,"['coral fungus', 'honeycomb', 'dishrag', 'hen-of-the-woods', 'broccoli']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,traffic light,"['traffic light', 'leatherback turtle', 'matchstick', 'ant', 'loggerhead']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,street sign,"['street sign', 'traffic light', 'Irish water spaniel', 'Kerry blue terrier', 'ant']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Bouvier des Flandres', 'Kerry blue terrier', 'affenpinscher', 'cheetah']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,hare,"['hare', 'wood rabbit', 'Angora', 'doormat', 'matchstick']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,assault rifle,"['assault rifle', 'warplane', 'space shuttle', 'rifle', 'oboe']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,nematode,"['nematode', 'starfish', 'grey whale', 'chain mail', 'ear']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,broccoli,"['broccoli', 'ant', 'matchstick', 'jersey', 'microphone']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,ant,"['ant', 'tick', 'ground beetle', 'cockroach', 'honeycomb']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'ant', 'isopod', 'ground beetle', 'nematode']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,folding chair,"['folding chair', 'hair slide', 'clog', 'jersey', 'whistle']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,skunk,"['skunk', 'mink', 'American black bear', 'porcupine', 'Irish water spaniel']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,knot,"['knot', 'handkerchief', 'ant', 'leatherback turtle', 'envelope']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'banjo', 'screw', 'nail', 'chime']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,ski mask,"['ski mask', 'chain mail', 'microphone', 'doormat', 'broccoli']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'hook', 'oboe', 'knot', 'nail']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,ant,"['ant', 'airship', 'matchstick', 'quill', 'strainer']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,shopping cart,"['shopping cart', 'rocking chair', 'folding chair', 'wreck', 'grand piano']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'oboe', 'knot', 'whistle', 'sidewinder']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,traffic light,"['traffic light', 'broccoli', 'Irish water spaniel', 'matchstick', 'street sign']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,ant,"['ant', 'parachute', 'airship', 'American alligator', 'space shuttle']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,chain mail,"['chain mail', 'Kerry blue terrier', 'Irish water spaniel', 'hyena', 'Arabian camel']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'affenpinscher', 'briard', 'Bouvier des Flandres']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,mitten,"['mitten', 'Kerry blue terrier', 'Irish water spaniel', 'affenpinscher', 'giant schnauzer']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,matchstick,"['matchstick', 'ant', 'pick', 'mitten', 'radio telescope']"
47,Cro5dva_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,broccoli,"['broccoli', 'airship', 'ant', 'Irish water spaniel', 'porcupine']"
48,Cro5dva_v07_horse_ILSVRC2012_val_00011600_cd.jpg,envelope,"['envelope', 'jersey', 'chime', 'lakeside', 'crane']"
