,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,tiger,"['tiger', 'tiger cat', 'zebra', 'maze', 'lynx']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,plastic bag,"['plastic bag', 'chainlink fence', 'stone wall', 'ant', 'cockroach']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,Labrador retriever,"['Labrador retriever', 'bloodhound', 'Great Pyrenees', 'clumber', 'dalmatian']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,echidna,"['echidna', 'lionfish', 'box turtle', 'Egyptian cat', 'platypus']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,wood rabbit,"['wood rabbit', 'hare', 'hen-of-the-woods', 'mink', 'artichoke']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,honeycomb,"['honeycomb', 'prayer rug', 'king snake', 'Gila monster', 'hognose snake']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,cloak,"['cloak', 'comic book', 'bloodhound', 'breastplate', 'meerkat']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,jack-o'-lantern,"[""jack-o'-lantern"", 'comic book', 'frying pan', 'plate rack', 'plate']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,Persian cat,"['Persian cat', 'lynx', 'tiger cat', 'tabby', 'clumber']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,head cabbage,"['head cabbage', 'fig', 'artichoke', 'cauliflower', 'custard apple']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,puffer,"['puffer', 'brain coral', 'electric ray', 'coral reef', 'lionfish']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,corn,"['corn', 'ear', 'chainlink fence', 'fire screen', 'African crocodile']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,head cabbage,"['head cabbage', 'cauliflower', 'artichoke', 'hen-of-the-woods', 'nematode']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,night snake,"['night snake', 'ringneck snake', 'maze', 'sidewinder', 'horned viper']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,maze,"['maze', 'stone wall', 'alp', 'envelope', 'comic book']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'tile roof', 'maze', 'megalith', 'toilet tissue']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,clumber,"['clumber', 'bloodhound', 'Great Pyrenees', 'Indian elephant', 'ice bear']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,analog clock,"['analog clock', 'stopwatch', 'wall clock', 'digital watch', 'scale']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,paper towel,"['paper towel', 'comic book', 'cannon', 'half track', 'bonnet']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,rubber eraser,"['rubber eraser', 'pencil sharpener', 'chainlink fence', 'paper towel', 'comic book']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'coral fungus', 'cauliflower', 'sea anemone']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,hare,"['hare', 'comic book', 'wombat', 'ringlet', 'sulphur butterfly']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,nematode,"['nematode', 'chambered nautilus', 'knot', 'snail', 'isopod']"
