,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,groenendael,"['groenendael', 'flat-coated retriever', 'chain', 'clog', 'wool']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,bearskin,"['bearskin', 'wig', 'wool', 'bonnet', 'affenpinscher']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'breastplate', 'holster', 'bearskin', 'bulletproof vest']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,American coot,"['American coot', 'caldron', 'water ouzel', 'magpie', 'bonnet']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,velvet,"['velvet', 'abaya', 'knee pad', 'sweatshirt', 'cloak']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,Great Dane,"['Great Dane', 'flat-coated retriever', 'standard poodle', 'curly-coated retriever', 'three-toed sloth']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,giant schnauzer,"['giant schnauzer', 'Great Dane', 'flat-coated retriever', 'hammer', 'mink']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,mailbag,"['mailbag', 'water jug', 'holster', 'coffeepot', 'bulletproof vest']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Doberman,"['Doberman', 'curly-coated retriever', 'Great Dane', 'Saluki', 'Mexican hairless']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,bow tie,"['bow tie', 'sunglass', 'chain', 'clog', 'electric ray']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,black widow,"['black widow', 'black and gold garden spider', 'barn spider', 'garden spider', 'radio']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,chime,"['chime', 'spotlight', 'gasmask', 'pick', 'face powder']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,hammer,"['hammer', 'hammerhead', 'hook', 'killer whale', 'albatross']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,hook,"['hook', 'Great Dane', 'bow tie', 'nail', 'banded gecko']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,microphone,"['microphone', 'hammer', 'hook', 'nail', 'Great Dane']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,breastplate,"['breastplate', 'cuirass', 'mink', 'mortar', 'velvet']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,chime,"['chime', 'gasmask', 'mask', 'sweatshirt', 'bonnet']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,radio,"['radio', 'modem', 'binder', 'loudspeaker', 'projector']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,hammerhead,"['hammerhead', 'hook', 'hammer', 'albatross', 'bow tie']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'garden spider', 'black widow', 'wolf spider', 'black and gold garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,Great Dane,"['Great Dane', 'standard poodle', 'giant schnauzer', 'American black bear', 'nematode']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,acorn,"['acorn', 'matchstick', 'daisy', 'nail', 'screw']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,quill,"['quill', 'daisy', 'pineapple', 'vulture', 'Norwich terrier']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hatchet,"['hatchet', 'microphone', 'nail', 'guillotine', 'hammer']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,mink,"['mink', 'flat-coated retriever', 'Great Dane', 'giant schnauzer', 'curly-coated retriever']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,pick,"['pick', 'face powder', 'chime', 'gasmask', 'mask']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,hook,"['hook', 'chain', 'ringneck snake', 'neck brace', 'nematode']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hook,"['hook', 'hammer', 'bow tie', 'hatchet', 'spatula']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,hammerhead,"['hammerhead', 'mink', 'groenendael', 'American black bear', 'hook']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,can opener,"['can opener', 'hook', 'whistle', 'spatula', 'bow tie']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,albatross,"['albatross', 'flat-coated retriever', 'groenendael', 'kite', 'magpie']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,hammerhead,"['hammerhead', 'warplane', 'kite', 'muzzle', 'nail']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,hammerhead,"['hammerhead', 'hook', 'nail', 'airship', 'mink']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,banded gecko,"['banded gecko', 'scorpion', 'nematode', 'bow tie', 'rhinoceros beetle']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,standard poodle,"['standard poodle', 'curly-coated retriever', 'Great Dane', 'Doberman', 'mask']"
35,Sil_car_ILSVRC2012_val_00005456_s.jpg,holster,"['holster', 'knee pad', 'clog', 'wool', 'velvet']"
36,Sil_car_ILSVRC2012_val_00034824_s.jpg,bow tie,"['bow tie', 'hammer', 'spatula', 'wooden spoon', 'chain']"
37,Sil_banana_ILSVRC2012_val_00046575_s.jpg,bow tie,"['bow tie', 'corkscrew', 'sunglass', 'hook', 'holster']"
38,Sil_lemon_ILSVRC2012_val_00028823_s.jpg,chime,"['chime', 'gasmask', 'face powder', 'spotlight', 'pick']"
39,Sil_spider_ILSVRC2012_val_00026030_s.jpg,barn spider,"['barn spider', 'black widow', 'tarantula', 'wolf spider', 'spider monkey']"
40,Sil_cabbage_ILSVRC2012_val_00005749_s.jpg,mask,"['mask', 'gasmask', 'bonnet', 'crash helmet', 'sweatshirt']"
41,Sil_snake_ILSVRC2012_val_00014926_s.jpg,hook,"['hook', 'scabbard', 'rocking chair', 'microphone', 'muzzle']"
42,Sil_banana_ILSVRC2012_val_00038819_s.jpg,wig,"['wig', 'wool', 'groenendael', 'Bouvier des Flandres', 'mortar']"
43,Sil_crab_ILSVRC2012_val_00011922_s.jpg,banded gecko,"['banded gecko', 'wolf spider', 'scorpion', 'mantis', 'hammerhead']"
44,Sil_butterfly_ILSVRC2012_val_00013795_s.jpg,ringlet,"['ringlet', 'cockroach', 'harvestman', 'sweatshirt', 'cabbage butterfly']"
45,Sil_tiger_ILSVRC2012_val_00048186_s.jpg,Doberman,"['Doberman', 'Rottweiler', 'curly-coated retriever', 'Great Dane', 'Chesapeake Bay retriever']"
46,Sil_microwave_ILSVRC2012_val_00027917_s.jpg,binder,"['binder', 'mailbag', 'holster', 'modem', 'loudspeaker']"
47,Sil_apple_ILSVRC2012_val_00045087_s.jpg,chime,"['chime', 'gong', 'washbasin', 'frying pan', 'face powder']"
48,Sil_pineapple_ILSVRC2012_val_00029522_s.jpg,pineapple,"['pineapple', 'pedestal', 'rhinoceros beetle', 'umbrella', 'wig']"
49,Sil_butterfly_ILSVRC2012_val_00035074_s.jpg,American coot,"['American coot', 'airship', 'junco', 'magpie', 'bonnet']"
50,Sil_apple_ILSVRC2012_val_00012232_s.jpg,chime,"['chime', 'gasmask', 'mask', 'face powder', 'bonnet']"
51,Sil_helmet_ILSVRC2012_val_00013302_s.jpg,sweatshirt,"['sweatshirt', 'modem', 'knee pad', 'loudspeaker', 'mask']"
52,Sil_airplane_ILSVRC2012_val_00030531_s.jpg,hammerhead,"['hammerhead', 'warplane', 'airship', 'kite', 'nail']"
53,Sil_crocodilian_ILSVRC2012_val_00010826_s.jpg,nail,"['nail', 'warplane', 'kite', 'airship', 'hammerhead']"
54,Sil_shoe_ILSVRC2012_val_00033141_s.jpg,clog,"['clog', 'breastplate', 'ski mask', 'mask', 'knee pad']"
55,Sil_camel_ILSVRC2012_val_00013553_s.jpg,flat-coated retriever,"['flat-coated retriever', 'knee pad', 'holster', 'jersey', 'bow tie']"
56,Sil_lemon_ILSVRC2012_val_00038325_s.jpg,chime,"['chime', 'bonnet', 'face powder', 'mask', 'gasmask']"
57,Sil_chair_ILSVRC2012_val_00041720_s.jpg,rocking chair,"['rocking chair', 'dining table', 'grand piano', 'assault rifle', 'folding chair']"
58,Sil_acorn_ILSVRC2012_val_00012754_s.jpg,clog,"['clog', 'wool', 'knee pad', 'holster', 'chain']"
59,Sil_broccoli_ILSVRC2012_val_00013519_s.jpg,giant schnauzer,"['giant schnauzer', 'hammerhead', 'standard poodle', 'groenendael', 'mink']"
60,Sil_pineapple_ILSVRC2012_val_00024461_s.jpg,pineapple,"['pineapple', 'three-toed sloth', 'pedestal', 'cocker spaniel', 'llama']"
61,Sil_hammer_ILSVRC2012_val_00032002_s.jpg,nail,"['nail', 'hook', 'spatula', 'paintbrush', 'hatchet']"
62,Sil_shoe_ILSVRC2012_val_00034558_s.jpg,sunglass,"['sunglass', 'sandal', 'bow tie', 'sunglasses', 'mouse']"
63,Sil_helmet_ILSVRC2012_val_00047186_s.jpg,crash helmet,"['crash helmet', 'mask', 'bonnet', 'hook', 'knee pad']"
64,Sil_strawberry_ILSVRC2012_val_00031440_s.jpg,pick,"['pick', 'clog', 'mask', 'gasmask', 'holster']"
65,Sil_dog_ILSVRC2012_val_00010378_s.jpg,standard poodle,"['standard poodle', 'groenendael', 'chimpanzee', 'wild boar', 'wig']"
66,Sil_bellpepper_ILSVRC2012_val_00003536_s.jpg,bonnet,"['bonnet', 'velvet', 'wig', 'bearskin', 'mask']"
67,Sil_snail_ILSVRC2012_val_00018951_s.jpg,bonnet,"['bonnet', 'airship', 'crash helmet', 'bearskin', 'wig']"
68,Sil_airplane_ILSVRC2012_val_00033920_s.jpg,warplane,"['warplane', 'hammerhead', 'kite', 'airship', 'crane bird']"
69,Sil_tiger_ILSVRC2012_val_00015897_s.jpg,hammerhead,"['hammerhead', 'Doberman', 'Chesapeake Bay retriever', 'Rottweiler', 'Great Dane']"
70,Sil_mushroom_ILSVRC2012_val_00021713_s.jpg,hammer,"['hammer', 'hook', 'clog', 'holster', 'nail']"
71,Sil_chair_ILSVRC2012_val_00001953_s.jpg,rocking chair,"['rocking chair', 'folding chair', 'dining table', 'park bench', 'patio']"
72,Sil_cabbage_ILSVRC2012_val_00027632_s.jpg,wig,"['wig', 'wool', 'mask', 'sweatshirt', 'mailbag']"
73,Sil_cat_ILSVRC2012_val_00001341_s.jpg,bow tie,"['bow tie', 'holster', 'groenendael', 'Great Dane', 'clog']"
74,Sil_camel_ILSVRC2012_val_00011354_s.jpg,mink,"['mink', 'wool', 'holster', 'hammerhead', 'hammer']"
75,Sil_elephant_ILSVRC2012_val_00011247_s.jpg,Chesapeake Bay retriever,"['Chesapeake Bay retriever', 'flat-coated retriever', 'giant schnauzer', 'curly-coated retriever', 'Doberman']"
76,Sil_cat_ILSVRC2012_val_00013550_s.jpg,flat-coated retriever,"['flat-coated retriever', 'curly-coated retriever', 'Chesapeake Bay retriever', 'groenendael', 'giant schnauzer']"
77,Sil_mushroom_ILSVRC2012_val_00040625_s.jpg,hammer,"['hammer', 'corkscrew', 'hook', 'goblet', 'chime']"
78,Sil_guitar_ILSVRC2012_val_00019484_s.jpg,hammer,"['hammer', 'hook', 'sunglass', 'mortar', 'paintbrush']"
79,Sil_snake_ILSVRC2012_val_00027631_s.jpg,ringneck snake,"['ringneck snake', 'hook', 'whistle', 'chain', 'scorpion']"
80,Sil_lobster_ILSVRC2012_val_00028657_s.jpg,bow tie,"['bow tie', 'binoculars', 'muzzle', 'microphone', 'sunglass']"
81,Sil_flower_ILSVRC2012_val_00019320_s.jpg,daisy,"['daisy', 'pineapple', 'triceratops', 'tarantula', 'wolf spider']"
82,Sil_guitar_ILSVRC2012_val_00036762_s.jpg,microphone,"['microphone', 'electric guitar', 'mortar', 'hammer', 'pole']"
83,Sil_camel_ILSVRC2012_val_00015872_s.jpg,hook,"['hook', 'Great Dane', 'chain', 'Mexican hairless', 'corkscrew']"
84,Sil_car_ILSVRC2012_val_00010455_s.jpg,hammer,"['hammer', 'bow tie', 'holster', 'knee pad', 'spatula']"
85,Sil_dryer_ILSVRC2012_val_00046673_s.jpg,bow tie,"['bow tie', 'chain', 'Kerry blue terrier', 'assault rifle', 'knot']"
86,Sil_fish_ILSVRC2012_val_00032417_s.jpg,holster,"['holster', 'bow tie', 'sleeping bag', 'spatula', 'paddle']"
87,Sil_lemon_ILSVRC2012_val_00045149_s.jpg,chime,"['chime', 'gasmask', 'crash helmet', 'spotlight', 'face powder']"
88,Sil_squirrel_ILSVRC2012_val_00023383_s.jpg,giant schnauzer,"['giant schnauzer', 'wig', 'standard poodle', 'three-toed sloth', 'flat-coated retriever']"
89,Sil_hammer_ILSVRC2012_val_00015583_s.jpg,spatula,"['spatula', 'paintbrush', 'hatchet', 'nail', 'hammer']"
90,Sil_crocodilian_ILSVRC2012_val_00038287_s.jpg,albatross,"['albatross', 'nematode', 'nail', 'little blue heron', 'crane bird']"
91,Sil_crab_ILSVRC2012_val_00008705_s.jpg,wolf spider,"['wolf spider', 'barn spider', 'weevil', 'ground beetle', 'scorpion']"
92,Sil_hippopotamus_ILSVRC2012_val_00003302_s.jpg,bonnet,"['bonnet', 'wig', 'airship', 'mask', 'hook']"
93,Sil_turtle_ILSVRC2012_val_00047941_s.jpg,nematode,"['nematode', 'groenendael', 'bonnet', 'chain', 'wool']"
94,Sil_snake_ILSVRC2012_val_00006751_s.jpg,hook,"['hook', 'ringneck snake', 'vacuum', 'nematode', 'Indian cobra']"
95,Sil_shoe_ILSVRC2012_val_00020303_s.jpg,bow tie,"['bow tie', 'holster', 'hammerhead', 'whistle', 'hook']"
96,Sil_bee_ILSVRC2012_val_00017418_s.jpg,bow tie,"['bow tie', 'hammer', 'hook', 'hammerhead', 'killer whale']"
97,Sil_lemon_ILSVRC2012_val_00034286_s.jpg,clog,"['clog', 'chain', 'face powder', 'chime', 'puck']"
98,Sil_chair_ILSVRC2012_val_00012771_s.jpg,hatchet,"['hatchet', 'vacuum', 'folding chair', 'tripod', 'hand blower']"
99,Sil_snail_ILSVRC2012_val_00001959_s.jpg,hook,"['hook', 'spatula', 'hammer', 'paintbrush', 'whistle']"
100,Sil_bellpepper_ILSVRC2012_val_00048089_s.jpg,wool,"['wool', 'whistle', 'holster', 'hammer', 'clog']"
101,Sil_swine_ILSVRC2012_val_00007278_s.jpg,holster,"['holster', 'three-toed sloth', 'bulletproof vest', 'Great Dane', 'breastplate']"
102,Sil_dryer_ILSVRC2012_val_00044460_s.jpg,hammer,"['hammer', 'hook', 'albatross', 'holster', 'neck brace']"
103,Sil_bear_ILSVRC2012_val_00031906_s.jpg,Doberman,"['Doberman', 'Great Dane', 'Saluki', 'bow tie', 'albatross']"
104,Sil_dog_ILSVRC2012_val_00028881_s.jpg,flat-coated retriever,"['flat-coated retriever', 'curly-coated retriever', 'giant schnauzer', 'groenendael', 'Irish water spaniel']"
105,Sil_airplane_ILSVRC2012_val_00023781_s.jpg,warplane,"['warplane', 'hammerhead', 'hook', 'nail', 'muzzle']"
