,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'triceratops', 'ant', 'African chameleon', 'Kerry blue terrier']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,acorn,"['acorn', 'cauliflower', 'broccoli', 'Irish water spaniel', 'Kerry blue terrier']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'holster', 'hand blower', 'binoculars', 'buckle']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'hen-of-the-woods', 'banded gecko', 'fiddler crab', 'Mexican hairless']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,Sealyham terrier,"['Sealyham terrier', 'English springer', 'West Highland white terrier', 'wire-haired fox terrier', 'Dandie Dinmont']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'snowmobile', 'airliner', 'bobsled', 'wing']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,triceratops,"['triceratops', 'tripod', 'Great Dane', 'Boston bull', 'Mexican hairless']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,flat-coated retriever,"['flat-coated retriever', 'curly-coated retriever', 'Great Dane', 'giant schnauzer', 'standard poodle']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,garden spider,"['garden spider', 'barn spider', 'wolf spider', 'tarantula', 'necklace']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,mask,"['mask', 'barbell', 'magpie', 'crash helmet', 'ski mask']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'pomegranate', 'quilt', 'velvet', 'ocarina']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'wolf spider', 'triceratops', 'African chameleon']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'electric ray', 'loggerhead', 'Brabancon griffon']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,banded gecko,"['banded gecko', 'electric ray', 'coho', 'partridge', 'great white shark']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,Dandie Dinmont,"['Dandie Dinmont', 'proboscis monkey', 'Old English sheepdog', 'marmoset', 'macaque']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,night snake,"['night snake', 'necklace', 'vine snake', 'bolo tie', 'Indian cobra']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,maraca,"['maraca', 'hair slide', 'violin', 'scorpion', 'electric guitar']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,Mexican hairless,"['Mexican hairless', 'hippopotamus', 'triceratops', 'hog', 'Indian elephant']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,flatworm,"['flatworm', 'ladybug', 'chain', 'can opener', 'hair slide']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'banjo', 'pedestal', 'beacon']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,brain coral,"['brain coral', 'coral reef', 'stinkhorn', 'sea cucumber', 'ear']"
21,SilTex_microwave_ILSVRC2012_val_00037721_st.jpg,printer,"['printer', 'photocopier', 'cash machine', 'combination lock', 'safe']"
