,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,hair slide,"['hair slide', 'handkerchief', 'screw', 'window screen', 'envelope']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'chain mail', 'nematode', 'clumber', 'paper towel']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'window screen', 'paper towel', 'handkerchief', 'prayer rug']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,chain mail,"['chain mail', 'hair slide', 'envelope', 'broccoli', 'face powder']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'Band Aid', 'window screen', 'chain mail', 'digital clock']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'envelope', 'screw', 'paper towel', 'window screen']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,paper towel,"['paper towel', 'hair slide', 'strainer', 'handkerchief', 'envelope']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,handkerchief,"['handkerchief', 'paper towel', 'window screen', 'Sealyham terrier', 'hair slide']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'necklace', 'handkerchief', 'hair slide', 'chain']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'window screen', 'prayer rug', 'wool', 'Irish water spaniel']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,handkerchief,"['handkerchief', 'hair slide', 'paper towel', 'envelope', 'jersey']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,digital clock,"['digital clock', 'chain mail', 'nematode', 'Irish water spaniel', 'hair slide']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'prayer rug', 'Band Aid', 'mitten', 'wool']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,ant,"['ant', 'digital clock', 'handkerchief', 'window screen', 'fire screen']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nematode,"['nematode', 'screw', 'hair slide', 'airship', 'window screen']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,Irish wolfhound,"['Irish wolfhound', 'Scottish deerhound', 'hair slide', 'Irish water spaniel', 'envelope']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'hair slide', 'window screen', 'chain mail', 'screw']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,handkerchief,"['handkerchief', 'digital clock', 'ant', 'envelope', 'screw']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'briard', 'Kerry blue terrier', 'clumber', 'Scottish deerhound']"
