,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'earthstar', 'coral reef', 'gyromitra']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'coral fungus', 'chain', 'maze']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'wool', 'velvet', 'chain mail']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,coho,"['coho', 'coral reef', 'jigsaw puzzle', 'quilt', 'ice bear']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,Windsor tie,"['Windsor tie', 'velvet', 'prayer rug', 'quilt', 'shoe shop']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'screen', 'sunglasses', 'television', 'mortarboard']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'tobacco shop', 'sunglasses', 'sandal', 'restaurant']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,gyromitra,"['gyromitra', 'bell pepper', 'coral fungus', 'hen-of-the-woods', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'binoculars', ""carpenter's kit"", 'oil filter', 'soap dispenser']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'bee', 'earthstar', 'coral reef']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'custard apple', 'potpie', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,Windsor tie,"['Windsor tie', 'tray', 'electric guitar', 'acoustic guitar', 'consomme']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'earthstar', 'bee', 'corn', 'shower curtain']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'gyromitra', 'coral fungus', 'apiary']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'head cabbage', 'corn', 'guacamole', 'cauliflower']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,crash helmet,"['crash helmet', 'comic book', 'limousine', 'goldfish', 'sea slug']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,proboscis monkey,"['proboscis monkey', 'fox squirrel', 'indri', 'titi', 'earthstar']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,plastic bag,"['plastic bag', 'hen-of-the-woods', 'conch', 'shoe shop', 'wool']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'custard apple', 'artichoke', 'sea anemone']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,mashed potato,"['mashed potato', 'Granny Smith', 'meat loaf', 'cauliflower', 'potpie']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dungeness crab,"['Dungeness crab', 'whiptail', 'velvet', 'Indian cobra', 'hen-of-the-woods']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'plane']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'manhole cover', 'prayer rug', 'Windsor tie', 'tray']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'alp', 'volcano', 'cliff', 'Arctic fox']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'honeycomb', 'cliff', 'volcano']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'computer keyboard', 'screen', 'monitor', 'barbell']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'missile', 'projectile', 'wine bottle', 'motor scooter']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,gyromitra,"['gyromitra', 'Blenheim spaniel', 'hen-of-the-woods', 'Welsh springer spaniel', 'proboscis monkey']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,briard,"['briard', 'hen-of-the-woods', 'Afghan hound', 'cocker spaniel', 'Sussex spaniel']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cauliflower', 'head cabbage', 'potpie', 'bakery']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'bathtub', 'tub', 'hook', 'washbasin']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'coral fungus', 'coral reef', 'brain coral']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'honeycomb', 'earthstar', 'wool']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'velvet', 'gyromitra', 'wool']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,panpipe,"['panpipe', 'hatchet', 'jigsaw puzzle', 'maze', 'hammer']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,earthstar,"['earthstar', 'hen-of-the-woods', 'buckeye', 'head cabbage', 'cardoon']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,Cardigan,"['Cardigan', 'Siberian husky', 'Greater Swiss Mountain dog', 'EntleBucher', 'coral fungus']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'earthstar', 'trifle', 'gyromitra']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,Granny Smith,"['Granny Smith', 'bell pepper', 'hen-of-the-woods', 'coral fungus', 'velvet']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,velvet,"['velvet', 'wool', 'sarong', 'honeycomb', 'prayer rug']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,maze,"['maze', 'hamper', 'tobacco shop', 'velvet', 'restaurant']"
