,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'wall clock', 'table lamp', 'shield', 'hoopskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'knot', 'head cabbage', 'plastic bag', 'triceratops']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,toilet seat,"['toilet seat', 'bathtub', 'banana', 'nematode', 'neck brace']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'barn spider', 'wolf spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,head cabbage,"['head cabbage', 'gasmask', 'loupe', 'custard apple', 'breastplate']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,knot,"['knot', 'sleeping bag', 'volcano', 'alp', 'plastic bag']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'joystick', 'screw', 'spotlight', 'water bottle']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,Afghan hound,"['Afghan hound', 'groenendael', 'flat-coated retriever', 'black-and-tan coonhound', 'bloodhound']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hand blower,"['hand blower', 'power drill', 'spotlight', 'microphone', 'assault rifle']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,African crocodile,"['African crocodile', 'slug', 'American alligator', 'volcano', 'sea cucumber']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,fox squirrel,"['fox squirrel', 'wood rabbit', 'hare', 'Newfoundland', 'otter']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'whiskey jug', 'pitcher', 'espresso']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'scorpion', 'knot', 'crayfish', 'nematode']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'box turtle', 'mud turtle', 'loggerhead', 'leatherback turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,golf ball,"['golf ball', 'gong', 'chime', 'nail', 'analog clock']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,hand blower,"['hand blower', 'crutch', 'strainer', 'assault rifle', 'hook']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,knot,"['knot', 'nail', 'hatchet', 'mushroom', 'bolete']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,sweatshirt,"['sweatshirt', 'head cabbage', 'nematode', 'bathing cap', 'backpack']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'hair slide', 'handkerchief', 'pillow', 'tray']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,microwave,"['microwave', 'space heater', 'loudspeaker', 'radio', 'wallet']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Persian cat,"['Persian cat', 'sleeping bag', 'Afghan hound', 'Newfoundland', 'Tibetan terrier']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,desktop computer,"['desktop computer', 'microwave', 'wallet', 'binder', 'hard disc']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'folding chair', 'park bench', 'barber chair', 'loupe']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,lemon,"['lemon', 'orange', 'jellyfish', 'shield', 'electric ray']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'scorpion', 'bow']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Labrador retriever,"['Labrador retriever', 'flat-coated retriever', 'Chesapeake Bay retriever', 'Newfoundland', 'curly-coated retriever']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'Granny Smith', 'chime', 'orange', 'nail']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,plastic bag,"['plastic bag', 'letter opener', 'Egyptian cat', 'hatchet', 'brassiere']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,bolo tie,"['bolo tie', 'letter opener', 'vine snake', 'knot', 'nematode']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,sleeping bag,"['sleeping bag', 'wool', 'bonnet', 'electric ray', 'head cabbage']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,cloak,"['cloak', 'Scotch terrier', 'groenendael', 'abaya', 'bloodhound']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,head cabbage,"['head cabbage', 'shower cap', 'chiton', 'bonnet', 'shield']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,American alligator,"['American alligator', 'assault rifle', 'rifle', 'platypus', 'African crocodile']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'hatchet']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,crash helmet,"['crash helmet', 'bathing cap', 'mouse', 'paper towel', 'cuirass']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'bulletproof vest']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,chain saw,"['chain saw', 'ear', 'nematode', 'corn', 'puck']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,coffee mug,"['coffee mug', 'pitcher', 'cup', 'mailbag', 'backpack']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,banana,"['banana', 'chambered nautilus', 'nematode', 'paper towel', 'candle']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,bonnet,"['bonnet', 'hoopskirt', 'custard apple', 'electric ray', 'agaric']"
