,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'earthstar', 'cauliflower', 'Great Pyrenees']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'dough', 'prayer rug', 'coral fungus']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'sea lion', 'apiary', 'coil']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'plastic bag', 'mortarboard', 'hen-of-the-woods', 'English foxhound']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,electric guitar,"['electric guitar', 'cockroach', 'honeycomb', 'swimming trunks', 'theater curtain']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,computer keyboard,"['computer keyboard', 'typewriter keyboard', 'space bar', 'mortarboard', 'laptop']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,bulletproof vest,"['bulletproof vest', 'assault rifle', 'shoe shop', 'restaurant', 'honeycomb']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'conch', 'candle', 'gyromitra', 'hen-of-the-woods']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'prison', 'oil filter', 'pole', 'honeycomb']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'earthstar', 'bee', 'shoe shop']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jackfruit', 'head cabbage', 'buckeye', 'gyromitra']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,electric guitar,"['electric guitar', 'buckle', 'honeycomb', 'corkscrew', 'butternut squash']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'trifle', 'daisy', 'lemon', 'earthstar']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'honeycomb', 'coral fungus', 'isopod']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'guacamole', 'head cabbage', 'mashed potato', 'corn']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,crash helmet,"['crash helmet', 'goldfish', 'jigsaw puzzle', 'shoe shop', 'comic book']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,proboscis monkey,"['proboscis monkey', 'squirrel monkey', 'fox squirrel', 'titi', 'langur']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,conch,"['conch', 'hen-of-the-woods', 'plastic bag', 'wool', 'goose']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'custard apple', 'cauliflower', 'artichoke', 'Granny Smith']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cauliflower', 'mashed potato', 'Granny Smith', 'artichoke']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dungeness crab,"['Dungeness crab', 'rock python', 'boa constrictor', 'bolete', 'hen-of-the-woods']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'assault rifle', 'revolver', 'tobacco shop', 'plane']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'ladle', 'handkerchief', 'prayer rug', 'feather boa']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,valley,"['valley', 'Chesapeake Bay retriever', 'Pembroke', 'Lakeland terrier', 'Irish wolfhound']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'Chesapeake Bay retriever', 'kuvasz', 'Norwegian elkhound']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,mortarboard,"['mortarboard', 'dumbbell', 'computer keyboard', 'prison', 'screwdriver']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,missile,"['missile', 'wine bottle', 'umbrella', 'projectile', 'shoe shop']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,gyromitra,"['gyromitra', 'Blenheim spaniel', 'Old English sheepdog', 'wire-haired fox terrier', 'conch']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'cocker spaniel', 'earthstar', 'briard', 'Afghan hound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'earthstar', 'cauliflower', 'plate']"
