,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,nematode,"['nematode', 'envelope', 'screw', 'whistle', 'hair slide']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,nematode,"['nematode', 'whistle', 'hair slide', 'envelope', 'Band Aid']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,chain mail,"['chain mail', 'nematode', 'handkerchief', 'Band Aid', 'envelope']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,face powder,"['face powder', 'Band Aid', 'envelope', 'chain mail', 'doormat']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,nematode,"['nematode', 'whistle', 'screw', 'chain mail', 'envelope']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,envelope,"['envelope', 'nematode', 'Band Aid', 'airship', 'whistle']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,airship,"['airship', 'hair slide', 'envelope', 'nematode', 'balloon']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,nematode,"['nematode', 'envelope', 'screw', 'quill', 'nail']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,nematode,"['nematode', 'whistle', 'necklace', 'chain', 'chain mail']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,chain mail,"['chain mail', 'screw', 'envelope', 'whistle', 'airship']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,envelope,"['envelope', 'hair slide', 'nematode', 'menu', 'web site']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,menu,"['menu', 'envelope', 'hair slide', 'nematode', 'airship']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,chain mail,"['chain mail', 'Band Aid', 'wool', 'doormat', 'envelope']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,envelope,"['envelope', 'whistle', 'screw', 'hair slide', 'nematode']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,nematode,"['nematode', 'screw', 'ballpoint', 'whistle', 'nail']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,envelope,"['envelope', 'whistle', 'nematode', 'hair slide', 'screw']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,nematode,"['nematode', 'screw', 'whistle', 'nail', 'envelope']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'menu', 'web site', 'whistle', 'screw']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,nematode,"['nematode', 'envelope', 'whistle', 'airship', 'menu']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,nematode,"['nematode', 'envelope', 'whistle', 'airship', 'strainer']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,screw,"['screw', 'envelope', 'whistle', 'aircraft carrier', 'nematode']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,envelope,"['envelope', 'doormat', 'whistle', 'nematode', 'screw']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,nematode,"['nematode', 'envelope', 'hair slide', 'whistle', 'screw']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,nematode,"['nematode', 'whistle', 'envelope', 'Band Aid', 'hair slide']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'whistle', 'chain', 'lipstick', 'horned viper']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,nematode,"['nematode', 'envelope', 'whistle', 'face powder', 'hair slide']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'nematode', 'screw', 'whistle', 'web site']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,envelope,"['envelope', 'face powder', 'nematode', 'paper towel', 'Band Aid']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,nematode,"['nematode', 'envelope', 'whistle', 'lipstick', 'screw']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,airship,"['airship', 'nematode', 'envelope', 'Kerry blue terrier', 'hair slide']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,face powder,"['face powder', 'microphone', 'strainer', 'paper towel', 'lipstick']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,envelope,"['envelope', 'aircraft carrier', 'ant', 'airship', 'nematode']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,airship,"['airship', 'envelope', 'menu', 'screw', 'bell cote']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,face powder,"['face powder', 'Band Aid', 'chain mail', 'doormat', 'envelope']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,envelope,"['envelope', 'hair slide', 'face powder', 'Band Aid', 'whistle']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,face powder,"['face powder', 'paper towel', 'microphone', 'strainer', 'nail']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,nematode,"['nematode', 'envelope', 'menu', 'hair slide', 'web site']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,Band Aid,"['Band Aid', 'envelope', 'hair slide', 'whistle', 'strainer']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'envelope', 'corkscrew', 'oboe', 'whistle']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,nematode,"['nematode', 'whistle', 'envelope', 'hair slide', 'screw']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,envelope,"['envelope', 'Band Aid', 'parachute', 'handkerchief', 'nematode']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,screw,"['screw', 'whistle', 'nematode', 'airship', 'hair slide']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,nematode,"['nematode', 'airship', 'screw', 'hair slide', 'whistle']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,Band Aid,"['Band Aid', 'hair slide', 'envelope', 'komondor', 'whistle']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,envelope,"['envelope', 'nematode', 'hair slide', 'handkerchief', 'whistle']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,parachute,"['parachute', 'envelope', 'Band Aid', 'nematode', 'handkerchief']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,nematode,"['nematode', 'envelope', 'whistle', 'handkerchief', 'hair slide']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'nematode', 'whistle', 'envelope', 'screw']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,envelope,"['envelope', 'nematode', 'airship', 'whistle', 'syringe']"
