,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'coral reef', 'earthstar', 'Samoyed']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'corkscrew', 'hammer', 'nail', 'hen-of-the-woods']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,honeycomb,"['honeycomb', 'wool', 'poncho', 'stole', 'hen-of-the-woods']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'ice bear', 'coral reef', 'sea lion', 'coral fungus']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,velvet,"['velvet', 'electric guitar', 'Windsor tie', 'overskirt', 'wool']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,monitor,"['monitor', 'screen', 'computer keyboard', 'space bar', 'maze']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,cassette,"['cassette', 'restaurant', 'crutch', 'tobacco shop', 'shoe shop']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,gyromitra,"['gyromitra', 'coral fungus', 'coral reef', 'hen-of-the-woods', 'sea slug']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,espresso maker,"['espresso maker', 'binoculars', 'oil filter', 'dumbbell', 'lighter']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'bee', 'jigsaw puzzle', 'pineapple']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'jackfruit', 'buckeye', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,butternut squash,"['butternut squash', 'acoustic guitar', 'electric guitar', 'sea slug', 'buckle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'coral reef', 'hen-of-the-woods', 'bee', 'sea slug']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'stinkhorn', 'wool']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'coral reef', 'head cabbage', 'flatworm', 'rock beauty']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,breastplate,"['breastplate', 'sea slug', 'cuirass', 'jellyfish', 'comic book']"
