,image_path,top1_class,top5_class
0,Ori_mug_ILSVRC2012_val_00025893_o.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'soup bowl', 'teapot']"
1,Ori_clock_ILSVRC2012_val_00017693_o.jpg,analog clock,"['analog clock', 'wall clock', 'digital clock', 'barometer', 'bell cote']"
2,Ori_hippopotamus_ILSVRC2012_val_00045847_o.jpg,hippopotamus,"['hippopotamus', 'dugong', 'mongoose', 'Indian elephant', 'beaver']"
3,Ori_bear_ILSVRC2012_val_00020441_o.jpg,ice bear,"['ice bear', 'brown bear', 'American black bear', 'sloth bear', 'Arctic fox']"
4,Ori_flower_ILSVRC2012_val_00022139_o.jpg,daisy,"['daisy', 'pot', 'snail', 'vase', 'bee']"
5,Ori_mushroom_ILSVRC2012_val_00009394_o.jpg,agaric,"['agaric', 'mushroom', 'bolete', 'stinkhorn', 'earthstar']"
6,Ori_horse_ILSVRC2012_val_00008317_o.jpg,sorrel,"['sorrel', 'muzzle', 'horse cart', 'Rhodesian ridgeback', 'tabby']"
7,Ori_mushroom_ILSVRC2012_val_00040625_o.jpg,agaric,"['agaric', 'mushroom', 'stinkhorn', 'bolete', 'earthstar']"
8,Ori_chair_ILSVRC2012_val_00044181_o.jpg,folding chair,"['folding chair', 'rocking chair', 'dining table', 'tripod', 'bassinet']"
9,Ori_lobster_ILSVRC2012_val_00002502_o.jpg,American lobster,"['American lobster', 'spiny lobster', 'crayfish', 'plate', 'rock crab']"
10,Ori_bee_ILSVRC2012_val_00045227_o.jpg,bee,"['bee', 'cicada', 'fly', 'long-horned beetle', 'honeycomb']"
11,Ori_butterfly_ILSVRC2012_val_00025307_o.jpg,lycaenid,"['lycaenid', 'ringlet', 'cabbage butterfly', 'sulphur butterfly', 'admiral']"
12,Ori_bee_ILSVRC2012_val_00002566_o.jpg,fly,"['fly', 'bee', 'lacewing', 'honeycomb', 'cicada']"
13,Ori_chair_ILSVRC2012_val_00041720_o.jpg,barber chair,"['barber chair', 'throne', 'rocking chair', 'velvet', 'barbershop']"
