,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'ptarmigan', 'Samoyed', 'Maltese dog']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'coral fungus', 'chain', 'goose']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,poncho,"['poncho', 'stole', 'prayer rug', 'doormat', 'hen-of-the-woods']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,goose,"['goose', 'jigsaw puzzle', 'ptarmigan', 'prayer rug', 'crane bird']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'violin', 'banjo', 'cello']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,honeycomb,"['honeycomb', 'window screen', 'screen', 'television', 'monitor']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'mortarboard', 'Loafer', 'sandal', 'prayer rug']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', 'coral fungus', 'hen-of-the-woods', 'consomme', 'candle']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,honeycomb,"['honeycomb', 'medicine chest', 'monitor', 'lampshade', 'espresso maker']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,rock beauty,"['rock beauty', 'honeycomb', 'goldfinch', 'coral reef', 'bee']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,jackfruit,"['jackfruit', 'honeycomb', 'hen-of-the-woods', 'pineapple', 'head cabbage']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'electric guitar', 'acoustic guitar', 'honeycomb', 'buckle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'bee', 'vase', 'ladybug', 'pot']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral fungus', 'gyromitra', 'apiary']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'meat loaf', 'mashed potato']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,chocolate sauce,"['chocolate sauce', 'crash helmet', 'honeycomb', 'hen-of-the-woods', 'beer bottle']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'fox squirrel', 'bittern', 'limpkin']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,hen,"['hen', 'conch', 'hen-of-the-woods', 'plastic bag', 'cock']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'broccoli', 'coral reef', 'hen-of-the-woods']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,cauliflower,"['cauliflower', 'jigsaw puzzle', 'broccoli', 'hen-of-the-woods', 'mashed potato']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,Dungeness crab,"['Dungeness crab', 'jigsaw puzzle', 'agaric', 'mushroom', 'king crab']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,revolver,"['revolver', 'rifle', 'jigsaw puzzle', 'assault rifle', 'dumbbell']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'honeycomb', 'oil filter', 'prayer rug', 'doormat']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'doormat', 'valley', 'volcano']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'honeycomb', 'fiddler crab', 'coral fungus']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'missile', 'projectile', 'tank', 'jigsaw puzzle']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,warplane,"['warplane', 'aircraft carrier', 'missile', 'projectile', 'wing']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,proboscis monkey,"['proboscis monkey', 'hen-of-the-woods', 'gyromitra', 'hen', 'langur']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,ram,"['ram', 'hen-of-the-woods', 'llama', 'komondor', 'Afghan hound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'hen-of-the-woods', 'mashed potato', 'potpie']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'washbasin', 'soap dispenser', 'medicine chest']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,Samoyed,"['Samoyed', 'Great Pyrenees', 'hen-of-the-woods', 'kuvasz', 'West Highland white terrier']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'tiger', 'tiger cat', 'wool', 'gyromitra']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'hen-of-the-woods', 'velvet', 'shower curtain']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'matchstick', 'lumbermill', 'maze', 'panpipe']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'head cabbage', 'honeycomb', 'wok', 'pineapple']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,malamute,"['malamute', 'Border collie', 'Eskimo dog', 'Old English sheepdog', 'collie']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'honeycomb', 'mushroom', 'gyromitra']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,bell pepper,"['bell pepper', 'Granny Smith', 'coral reef', 'broccoli', 'coral fungus']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'sarong', 'stole', 'coral fungus']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'prayer rug', 'throne', 'tile roof', 'maze']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,honeycomb,"['honeycomb', 'shower curtain', 'window screen', 'tray', 'photocopier']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'broccoli', 'artichoke', 'cauliflower', 'cucumber']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,photocopier,"['photocopier', 'printer', 'screen', 'file', 'desk']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'nail', 'solar dish', 'maze', 'seashore']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,quilt,"['quilt', 'stingray', 'bulletproof vest', 'shower curtain', 'hammerhead']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'puffer', 'bee', 'isopod']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'jigsaw puzzle', 'buckeye', 'acorn', 'pineapple']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'Granny Smith', 'candle', 'coral reef', 'matchstick']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'earthstar', 'honeycomb', 'jigsaw puzzle']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'gyromitra', 'honeycomb', 'coral fungus']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'mushroom', 'hot pot', 'Dutch oven']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'buckle', 'laptop', 'can opener']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,stingray,"['stingray', 'warplane', 'jigsaw puzzle', 'electric ray', 'hammerhead']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,hen,"['hen', 'hen-of-the-woods', 'jigsaw puzzle', 'partridge', 'cock']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,gyromitra,"['gyromitra', 'hen-of-the-woods', 'conch', 'honeycomb', 'redbone']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'bulletproof vest', 'chain mail', 'doormat', 'holster']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'gyromitra', 'gazelle', 'wool']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,Granny Smith,"['Granny Smith', 'custard apple', 'acorn', 'fig', 'coral reef']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,grille,"['grille', 'minivan', 'sports car', 'goose', 'motor scooter']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,flatworm,"['flatworm', 'chain mail', 'puffer', 'jigsaw puzzle', 'rock beauty']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'prayer rug', 'window screen', 'doormat']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,bighorn,"['bighorn', 'fiddler crab', 'ibex', 'Arctic fox', 'head cabbage']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'jigsaw puzzle', 'doormat', 'tray']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,sombrero,"['sombrero', 'hen-of-the-woods', 'mushroom', 'maze', 'coral fungus']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'goose', 'albatross', 'conch', 'honeycomb']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,cauliflower,"['cauliflower', 'hen-of-the-woods', 'coral fungus', 'head cabbage', 'mashed potato']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,doormat,"['doormat', 'honeycomb', 'wool', 'stone wall', 'oystercatcher']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,head cabbage,"['head cabbage', 'broccoli', 'pineapple', 'jackfruit', 'jigsaw puzzle']"
69,Tex_frog_ILSVRC2012_val_00033769_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'honeycomb', 'jigsaw puzzle', 'sea slug']"
70,Tex_cabbage_ILSVRC2012_val_00007752_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'hen-of-the-woods', 'artichoke', 'broccoli']"
71,Tex_airplane_ILSVRC2012_val_00030531_t.jpg,warplane,"['warplane', 'projectile', 'missile', 'aircraft carrier', 'jigsaw puzzle']"
72,Tex_rabbit_ILSVRC2012_val_00021667_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'stole', 'brain coral', 'wool']"
73,Tex_microwave_ILSVRC2012_val_00027917_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'dumbbell', 'honeycomb', 'laptop', 'fire screen']"
74,Tex_car_ILSVRC2012_val_00034824_t.jpg,cab,"['cab', 'racer', 'school bus', 'sports car', 'car wheel']"
75,Tex_pineapple_ILSVRC2012_val_00029522_t.jpg,bee,"['bee', 'hen-of-the-woods', 'prayer rug', 'doormat', 'snail']"
76,Tex_camel_ILSVRC2012_val_00013553_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'puffer', 'coral fungus', 'sandbar']"
77,Tex_snake_ILSVRC2012_val_00027631_t.jpg,doormat,"['doormat', 'wool', 'velvet', 'prayer rug', 'hen-of-the-woods']"
78,Tex_dryer_ILSVRC2012_val_00027635_t.jpg,purse,"['purse', 'velvet', 'doormat', 'mailbag', 'oil filter']"
79,Tex_squirrel_ILSVRC2012_val_00035501_t.jpg,honeycomb,"['honeycomb', 'apiary', 'jigsaw puzzle', 'doormat', 'coral reef']"
80,Tex_elephant_ILSVRC2012_val_00011247_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'honeycomb', 'gyromitra', 'head cabbage']"
81,Tex_mushroom_ILSVRC2012_val_00009394_t.jpg,agaric,"['agaric', 'mushroom', 'pomegranate', 'bolete', 'coral fungus']"
82,Tex_butterfly_ILSVRC2012_val_00013795_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'sulphur butterfly', 'jackfruit', 'honeycomb', 'ant']"
83,Tex_flower_ILSVRC2012_val_00048934_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'jackfruit', 'prayer rug', 'rapeseed', 'bee']"
84,Tex_cabbage_ILSVRC2012_val_00019287_t.jpg,custard apple,"['custard apple', 'impala', 'acorn', 'langur', 'gazelle']"
85,Tex_shoe_ILSVRC2012_val_00020303_t.jpg,bulletproof vest,"['bulletproof vest', 'jigsaw puzzle', 'military uniform', 'cliff', 'warplane']"
86,Tex_bird_ILSVRC2012_val_00030545_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'red-backed sandpiper', 'ruddy turnstone', 'ptarmigan', 'dowitcher']"
87,Tex_mug_ILSVRC2012_val_00020276_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'maze', 'vase', 'coral fungus']"
88,Tex_crab_ILSVRC2012_val_00004462_t.jpg,dishrag,"['dishrag', 'stole', 'wool', 'hen-of-the-woods', 'maze']"
89,Tex_bear_ILSVRC2012_val_00041813_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'head cabbage', 'coral reef', 'coral fungus']"
90,Tex_strawberry_ILSVRC2012_val_00031440_t.jpg,strawberry,"['strawberry', 'strainer', 'wooden spoon', 'trifle', 'ladle']"
91,Tex_flower_ILSVRC2012_val_00019320_t.jpg,daisy,"['daisy', 'paper towel', 'vase', 'toilet tissue', 'pillow']"
92,Tex_strawberry_ILSVRC2012_val_00048023_t.jpg,guacamole,"['guacamole', 'cucumber', 'burrito', 'corn', 'mashed potato']"
93,Tex_acorn_ILSVRC2012_val_00031536_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'cliff', 'valley', 'conch']"
94,Tex_fish_ILSVRC2012_val_00021994_t.jpg,anemone fish,"['anemone fish', 'sea anemone', 'coral reef', 'jigsaw puzzle', 'rock beauty']"
95,Tex_frog_ILSVRC2012_val_00014735_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'honeycomb', 'coral fungus', 'mushroom']"
96,Tex_bellpepper_ILSVRC2012_val_00028090_t.jpg,broccoli,"['broccoli', 'head cabbage', 'bell pepper', 'cauliflower', 'cucumber']"
97,Tex_gun_ILSVRC2012_val_00003457_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'pinwheel', 'prayer rug', 'doormat', 'Christmas stocking']"
98,Tex_rabbit_ILSVRC2012_val_00006108_t.jpg,plastic bag,"['plastic bag', 'hen-of-the-woods', 'paper towel', 'honeycomb', 'doormat']"
99,Tex_crab_ILSVRC2012_val_00008705_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'mushroom', 'bolete', 'conch']"
100,Tex_horse_ILSVRC2012_val_00032126_t.jpg,coral reef,"['coral reef', 'hen-of-the-woods', 'Irish setter', 'goldfish', 'puffer']"
101,Tex_guitar_ILSVRC2012_val_00021556_t.jpg,abaya,"['abaya', 'window screen', 'jigsaw puzzle', 'fire screen', 'ski mask']"
102,Tex_monkey_ILSVRC2012_val_00025615_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'plastic bag', 'conch', 'goldfish', 'partridge']"
103,Tex_bird_ILSVRC2012_val_00028363_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'conch', 'ruddy turnstone', 'honeycomb', 'stole']"
104,Tex_squirrel_ILSVRC2012_val_00024584_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'partridge', 'coral fungus', 'ruffed grouse']"
105,Tex_banana_ILSVRC2012_val_00021860_t.jpg,banana,"['banana', 'coral fungus', 'lemon', 'orange', 'pineapple']"
106,Tex_crocodilian_ILSVRC2012_val_00038287_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'coral reef', 'chain mail', 'honeycomb']"
107,Tex_turtle_ILSVRC2012_val_00049782_t.jpg,honeycomb,"['honeycomb', 'apiary', 'doormat', 'terrapin', 'bee']"
