,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'terrapin', 'mud turtle', 'leatherback turtle', 'loggerhead']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'sloth bear', 'American black bear', 'ice bear', 'dhole']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'banana', 'strawberry', 'jackfruit', 'grocery store']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,American lobster,"['American lobster', 'king crab', 'crayfish', 'plate', 'spiny lobster']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brown bear,"['brown bear', 'American black bear', 'Arabian camel', 'sloth bear', 'honeycomb']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'whiskey jug', 'cup', 'pitcher', 'soup bowl']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,barn spider,"['barn spider', 'garden spider', 'wolf spider', 'harvestman', 'isopod']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'llama', 'muzzle', 'ox', 'plow']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'grocery store', 'lemon', 'titi', 'orange']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'dugong', 'Mexican hairless', 'Indian elephant', 'water buffalo']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'wild boar', 'butcher shop', 'ox', 'titi']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'ringlet', 'lycaenid', 'monarch', 'sulphur butterfly']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,hare,"['hare', 'wood rabbit', 'mink', 'Angora', 'gazelle']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,chainlink fence,"['chainlink fence', 'chain mail', 'doormat', 'chain', 'worm fence']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'iPod', 'orange', 'lemon', 'fig']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,hammerhead,"['hammerhead', 'tiger shark', 'great white shark', 'barracouta', 'warplane']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'coral fungus', 'zucchini']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,hand blower,"['hand blower', 'electric fan', 'hair spray', 'power drill', 'barbershop']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,wall clock,"['wall clock', 'analog clock', 'stopwatch', 'barometer', 'digital clock']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,hare,"['hare', 'wood rabbit', 'coyote', 'mink', 'Angora']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'earthstar', 'coral fungus', 'agaric']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'tusker', 'African elephant', 'water buffalo', 'langur']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'wild boar', 'butcher shop', 'ox', 'Mexican hairless']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,Samoyed,"['Samoyed', 'kuvasz', 'Great Pyrenees', 'chow', 'malamute']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,brown bear,"['brown bear', 'ice bear', 'sloth bear', 'American black bear', 'ox']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'plow', 'muzzle', 'butcher shop', 'llama']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,American alligator,"['American alligator', 'African crocodile', 'alligator lizard', 'banded gecko', 'whiptail']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'iPod', 'lemon', 'orange', 'fig']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'golden retriever', 'kuvasz', 'kelpie', 'curly-coated retriever']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,black and gold garden spider,"['black and gold garden spider', 'garden spider', 'barn spider', 'spider web', 'honeycomb']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,ear,"['ear', 'corn', 'thresher', 'French loaf', 'mashed potato']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,American lobster,"['American lobster', 'spiny lobster', 'crayfish', 'king crab', 'plate']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,sandal,"['sandal', 'shoe shop', 'clog', 'soccer ball', 'sunscreen']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,football helmet,"['football helmet', 'crash helmet', 'mask', 'oxygen mask', 'pickelhaube']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,tree frog,"['tree frog', 'tailed frog', 'bullfrog', 'African chameleon', 'banded gecko']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,sports car,"['sports car', 'convertible', 'amphibian', 'car wheel', 'limousine']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,fox squirrel,"['fox squirrel', 'mongoose', 'grey fox', 'marmot', 'ear']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,revolver,"['revolver', 'holster', 'rifle', 'cowboy hat', 'assault rifle']"
38,Fil_horse_ILSVRC2012_val_00011600_f.jpg,sorrel,"['sorrel', 'muzzle', 'horse cart', 'ox', 'English foxhound']"
39,Fil_chair_ILSVRC2012_val_00004120_f.jpg,folding chair,"['folding chair', 'rocking chair', 'cellular telephone', 'laptop', 'dining table']"
40,Fil_helmet_ILSVRC2012_val_00047186_f.jpg,crash helmet,"['crash helmet', 'ski mask', 'bonnet', 'pickelhaube', 'mask']"
41,Fil_clock_ILSVRC2012_val_00035392_f.jpg,analog clock,"['analog clock', 'wall clock', 'stopwatch', 'digital clock', 'digital watch']"
42,Fil_airplane_ILSVRC2012_val_00049097_f.jpg,warplane,"['warplane', 'wing', 'airliner', 'school bus', 'aircraft carrier']"
43,Fil_bee_ILSVRC2012_val_00042015_f.jpg,bee,"['bee', 'honeycomb', 'fly', 'hen-of-the-woods', 'ant']"
44,Fil_car_ILSVRC2012_val_00037128_f.jpg,jeep,"['jeep', 'tow truck', 'pickup', 'beach wagon', 'amphibian']"
45,Fil_banana_ILSVRC2012_val_00046575_f.jpg,banana,"['banana', 'grocery store', 'orange', 'spaghetti squash', 'lemon']"
46,Fil_snail_ILSVRC2012_val_00001959_f.jpg,snail,"['snail', 'conch', 'slug', 'coil', 'harvestman']"
47,Fil_crab_ILSVRC2012_val_00034670_f.jpg,fiddler crab,"['fiddler crab', 'king crab', 'isopod', 'Dungeness crab', 'rock crab']"
48,Fil_acorn_ILSVRC2012_val_00031536_f.jpg,acorn,"['acorn', 'buckeye', 'snail', 'conch', 'fox squirrel']"
49,Fil_monkey_ILSVRC2012_val_00003631_f.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'langur', 'macaque', 'titi']"
50,Fil_monkey_ILSVRC2012_val_00027323_f.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'langur', 'guenon', 'macaque']"
51,Fil_guitar_ILSVRC2012_val_00036762_f.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'toyshop', 'violin', 'grocery store']"
