,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,comic book,"['comic book', 'ground beetle', 'pedestal', 'hoopskirt', 'overskirt']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,sleeping bag,"['sleeping bag', 'rock crab', 'knee pad', 'abaya', 'trench coat']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,stretcher,"['stretcher', 'yawl', 'schooner', 'trimaran', 'mountain tent']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'Dungeness crab', 'barn spider']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,fire screen,"['fire screen', 'bib', 'drum', 'face powder', 'tray']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,sleeping bag,"['sleeping bag', 'African crocodile', 'American alligator', 'obelisk', 'parachute']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,parachute,"['parachute', 'sleeping bag', 'balloon', 'backpack', 'ski mask']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,comic book,"['comic book', 'triceratops', 'book jacket', 'ibex', 'Mexican hairless']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,holster,"['holster', 'hatchet', 'scabbard', 'sandal', 'Loafer']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,American alligator,"['American alligator', 'African crocodile', 'sea cucumber', 'volcano', 'sleeping bag']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,flatworm,"['flatworm', 'hen-of-the-woods', 'volcano', 'stole', 'gyromitra']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'whiskey jug', 'water jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'stretcher', 'American lobster', 'sandal', 'knee pad']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'mud turtle', 'leatherback turtle', 'loggerhead', 'box turtle']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,gong,"['gong', 'fire screen', 'Petri dish', 'shield', 'tray']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,holster,"['holster', 'power drill', 'totem pole', 'pedestal', 'hand blower']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,flatworm,"['flatworm', 'hatchet', 'gyromitra', 'Indian cobra', 'mushroom']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,comic book,"['comic book', 'fire screen', 'book jacket', 'jigsaw puzzle', 'handkerchief']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'earthstar', 'hair slide', 'lycaenid', 'pot']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,wallet,"['wallet', 'prayer rug', 'brass', 'packet', 'doormat']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,flatworm,"['flatworm', 'breastplate', 'Christmas stocking', 'sea slug', 'cuirass']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,obelisk,"['obelisk', 'book jacket', 'prayer rug', 'wallet', 'packet']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,rocking chair,"['rocking chair', 'folding chair', 'guillotine', 'throne', 'park bench']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,shield,"['shield', 'sundial', 'manhole cover', 'puck', 'gong']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'scorpion', 'rock crab']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Labrador retriever,"['Labrador retriever', 'flat-coated retriever', 'curly-coated retriever', 'Sussex spaniel', 'golden retriever']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,gong,"['gong', 'chime', 'sundial', 'drum', 'electric ray']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,letter opener,"['letter opener', 'hatchet', 'mink', 'electric ray', 'shovel']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,nematode,"['nematode', 'albatross', 'knot', 'flatworm', 'slug']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,pick,"['pick', 'manhole cover', 'doormat', 'bib', 'toilet seat']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,flatworm,"['flatworm', 'comic book', 'Christmas stocking', 'book jacket', 'pedestal']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,electric ray,"['electric ray', 'bathing cap', 'pick', 'jigsaw puzzle', 'toilet seat']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,American alligator,"['American alligator', 'African crocodile', 'totem pole', 'pole', 'letter opener']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'scabbard']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,bathing cap,"['bathing cap', 'tray', 'bib', 'wallet', 'mailbag']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'scabbard']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,hair slide,"['hair slide', 'chain saw', 'buckle', 'sea cucumber', 'scabbard']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,mailbag,"['mailbag', 'coffee mug', 'purse', 'backpack', 'whiskey jug']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,mountain tent,"['mountain tent', 'nematode', 'volcano', 'parachute', 'electric ray']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,pedestal,"['pedestal', 'mushroom', 'bolo tie', 'hair slide', 'agaric']"
40,Lin_rabbit_ILSVRC2012_val_00044412_l.jpg,hare,"['hare', 'wood rabbit', 'electric ray', 'terrapin', 'triceratops']"
41,Lin_snail_ILSVRC2012_val_00001959_l.jpg,snail,"['snail', 'slug', 'conch', 'hair slide', 'coil']"
42,Lin_banana_ILSVRC2012_val_00021860_l.jpg,paddle,"['paddle', 'sleeping bag', 'airship', 'banana', 'stretcher']"
43,Lin_frog_ILSVRC2012_val_00010287_l.jpg,tailed frog,"['tailed frog', 'American alligator', 'common newt', 'bullfrog', 'spotted salamander']"
44,Lin_monkey_ILSVRC2012_val_00030191_l.jpg,triceratops,"['triceratops', 'comic book', 'curly-coated retriever', 'mink', 'flat-coated retriever']"
45,Lin_hippopotamus_ILSVRC2012_val_00032449_l.jpg,triceratops,"['triceratops', 'comic book', 'book jacket', 'bulletproof vest', 'abaya']"
46,Lin_turtle_ILSVRC2012_val_00024666_l.jpg,terrapin,"['terrapin', 'electric ray', 'mud turtle', 'platypus', 'flatworm']"
47,Lin_swine_ILSVRC2012_val_00011892_l.jpg,abaya,"['abaya', 'jersey', 'brassiere', 'plastic bag', 'volcano']"
48,Lin_acorn_ILSVRC2012_val_00013791_l.jpg,broccoli,"['broccoli', 'chain mail', 'ski mask', 'bonnet', 'matchstick']"
49,Lin_airplane_ILSVRC2012_val_00011168_l.jpg,chain saw,"['chain saw', 'airliner', 'warplane', 'wing', 'airship']"
50,Lin_crab_ILSVRC2012_val_00004462_l.jpg,scorpion,"['scorpion', 'rock crab', 'king crab', 'fiddler crab', 'tick']"
51,Lin_lemon_ILSVRC2012_val_00034286_l.jpg,electric ray,"['electric ray', 'stingray', 'flatworm', 'brassiere', 'strainer']"
52,Lin_car_ILSVRC2012_val_00034824_l.jpg,totem pole,"['totem pole', 'hair slide', 'flatworm', 'buckle', 'umbrella']"
53,Lin_snake_ILSVRC2012_val_00027631_l.jpg,king snake,"['king snake', 'night snake', 'sea snake', 'diamondback', 'sidewinder']"
54,Lin_squirrel_ILSVRC2012_val_00048792_l.jpg,flatworm,"['flatworm', 'fox squirrel', 'platypus', 'mink', 'volcano']"
55,Lin_crab_ILSVRC2012_val_00008705_l.jpg,rock crab,"['rock crab', 'tick', 'fiddler crab', 'scorpion', 'Dungeness crab']"
56,Lin_bear_ILSVRC2012_val_00041813_l.jpg,comic book,"['comic book', 'pedestal', 'trench coat', 'book jacket', 'triceratops']"
57,Lin_fish_ILSVRC2012_val_00014195_l.jpg,sleeping bag,"['sleeping bag', 'velvet', 'mailbag', 'sarong', 'bonnet']"
58,Lin_turtle_ILSVRC2012_val_00049782_l.jpg,buckle,"['buckle', 'umbrella', 'bonnet', 'mask', 'sleeping bag']"
59,Lin_crocodilian_ILSVRC2012_val_00038287_l.jpg,American alligator,"['American alligator', 'African crocodile', 'kite', 'otter', 'banded gecko']"
60,Lin_bellpepper_ILSVRC2012_val_00003536_l.jpg,pick,"['pick', 'electric ray', 'hoopskirt', 'ski mask', 'bonnet']"
61,Lin_clock_ILSVRC2012_val_00035461_l.jpg,manhole cover,"['manhole cover', 'sundial', 'wall clock', 'shield', 'puck']"
62,Lin_gun_ILSVRC2012_val_00012180_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'scabbard']"
63,Lin_bird_ILSVRC2012_val_00030545_l.jpg,dowitcher,"['dowitcher', 'red-backed sandpiper', 'redshank', 'ruddy turnstone', 'oystercatcher']"
64,Lin_dog_ILSVRC2012_val_00030058_l.jpg,comic book,"['comic book', 'hoopskirt', 'jersey', 'overskirt', 'book jacket']"
65,Lin_dryer_ILSVRC2012_val_00046673_l.jpg,pedestal,"['pedestal', 'breastplate', 'cuirass', 'comic book', 'chain saw']"
66,Lin_snake_ILSVRC2012_val_00024301_l.jpg,nematode,"['nematode', 'hook', 'sea snake', 'night snake', 'thunder snake']"
67,Lin_cat_ILSVRC2012_val_00038913_l.jpg,sarong,"['sarong', 'apron', 'cuirass', 'breastplate', 'brassiere']"
68,Lin_fish_ILSVRC2012_val_00021343_l.jpg,kite,"['kite', 'flatworm', 'barracouta', 'coho', 'grey whale']"
69,Lin_butterfly_ILSVRC2012_val_00013795_l.jpg,lycaenid,"['lycaenid', 'sulphur butterfly', 'ringlet', 'cabbage butterfly', 'electric ray']"
70,Lin_helmet_ILSVRC2012_val_00049691_l.jpg,pick,"['pick', 'bathing cap', 'shield', 'toilet seat', 'bib']"
71,Lin_microwave_ILSVRC2012_val_00042691_l.jpg,rule,"['rule', 'obelisk', 'freight car', 'wallet', 'scabbard']"
72,Lin_camel_ILSVRC2012_val_00011354_l.jpg,platypus,"['platypus', 'volcano', 'pedestal', 'electric ray', 'Arabian camel']"
73,Lin_dog_ILSVRC2012_val_00046583_l.jpg,pedestal,"['pedestal', 'comic book', 'Egyptian cat', 'book jacket', 'Mexican hairless']"
74,Lin_butterfly_ILSVRC2012_val_00015608_l.jpg,lycaenid,"['lycaenid', 'ringlet', 'cabbage butterfly', 'admiral', 'sulphur butterfly']"
75,Lin_acorn_ILSVRC2012_val_00045517_l.jpg,flatworm,"['flatworm', 'sea cucumber', 'matchstick', 'broccoli', 'shield']"
76,Lin_banana_ILSVRC2012_val_00049606_l.jpg,nematode,"['nematode', 'flatworm', 'banana', 'sea cucumber', 'parachute']"
