,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,shower curtain,"['shower curtain', 'spider web', 'velvet', 'maze', 'coil']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,shower curtain,"['shower curtain', 'spider web', 'velvet', 'stole', 'prayer rug']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'sarong', 'prayer rug', 'stole']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'quilt', 'prayer rug', 'sarong']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'coil', 'spider web', 'maze']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,velvet,"['velvet', 'prayer rug', 'shower curtain', 'honeycomb', 'stole']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,shower curtain,"['shower curtain', 'spider web', 'nematode', 'book jacket', 'chainlink fence']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'book jacket', 'comic book', 'jersey', 'wall clock']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,hornbill,"['hornbill', 'bald eagle', 'magpie', 'kite', 'goose']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,spider web,"['spider web', 'nematode', 'toucan', 'bald eagle', 'hornbill']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,spider web,"['spider web', 'bubble', 'shower curtain', 'velvet', 'coil']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,bubble,"['bubble', 'spider web', 'shower curtain', 'honeycomb', 'velvet']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,spider web,"['spider web', 'nematode', 'barn spider', 'indri', 'bubble']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'stole', 'prayer rug', 'sarong']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'sarong', 'quilt', 'pillow']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,shower curtain,"['shower curtain', 'chain', 'tile roof', 'prayer rug', 'maze']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,shower curtain,"['shower curtain', 'toucan', 'envelope', 'spider web', 'comic book']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,comic book,"['comic book', 'envelope', 'book jacket', 'jigsaw puzzle', 'shower curtain']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,shower curtain,"['shower curtain', 'comic book', 'envelope', 'book jacket', 'pillow']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,shower curtain,"['shower curtain', 'spider web', 'prayer rug', 'coil', 'toucan']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,shower curtain,"['shower curtain', 'velvet', 'sarong', 'prayer rug', 'pillow']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,envelope,"['envelope', 'hornbill', 'magpie', 'shower curtain', 'bald eagle']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'nematode', 'shower curtain', 'bald eagle', 'toucan']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,honeycomb,"['honeycomb', 'spider web', 'tile roof', 'maze', 'bubble']"
