,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'meat loaf', 'mashed potato']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,stinkhorn,"['stinkhorn', 'Granny Smith', 'ant', 'custard apple', 'artichoke']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,power drill,"['power drill', 'hook', 'bow', 'joystick', 'spotlight']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,triceratops,"['triceratops', 'frilled lizard', 'banded gecko', 'hen-of-the-woods', 'isopod']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,Siamese cat,"['Siamese cat', 'Sealyham terrier', 'clumber', 'kuvasz', 'Boston bull']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'space shuttle', 'projectile', 'missile']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,cuirass,"['cuirass', 'breastplate', 'shield', 'chain mail', 'pinwheel']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Sussex spaniel', 'cocker spaniel', 'affenpinscher', 'Gordon setter']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'spider web', 'harvestman']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,black grouse,"['black grouse', 'prairie chicken', 'albatross', 'American coot', 'goose']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'trifle', 'chocolate sauce', 'tray', 'pomegranate']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,tailed frog,"['tailed frog', 'hen-of-the-woods', 'bullfrog', 'artichoke', 'African chameleon']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,conch,"['conch', 'chiton', 'hen-of-the-woods', 'potpie', 'ear']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,sturgeon,"['sturgeon', 'projectile', 'warplane', 'missile', 'barracouta']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,proboscis monkey,"['proboscis monkey', 'borzoi', 'cocker spaniel', 'wire-haired fox terrier', 'Welsh springer spaniel']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,sea snake,"['sea snake', 'sidewinder', 'nematode', 'night snake', 'horned viper']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,hair slide,"['hair slide', 'acoustic guitar', 'cello', 'combination lock', 'banjo']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,hippopotamus,"['hippopotamus', 'triceratops', 'Indian elephant', 'dugong', 'Mexican hairless']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,stretcher,"['stretcher', 'parachute', 'terrapin', 'warplane', 'crash helmet']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'banjo', 'acoustic guitar', 'cello', 'violin']"
20,SilTex_corn_ILSVRC2012_val_00019250_st.jpg,ear,"['ear', 'corn', 'stinkhorn', 'sea slug', 'knot']"
