,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,pineapple,"['pineapple', 'isopod', 'ground beetle', 'centipede', 'scorpion']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,binoculars,"['binoculars', 'gyromitra', 'curly-coated retriever', 'mitten', 'Bouvier des Flandres']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,quill,"['quill', 'canoe', 'grey whale', 'killer whale', 'affenpinscher']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'scorpion', 'rock crab', 'barn spider', 'king crab']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,fig,"['fig', 'acorn squash', 'mortar', 'electric ray', 'chiton']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,volcano,"['volcano', 'American alligator', 'leatherback turtle', 'African crocodile', 'alp']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,snail,"['snail', 'isopod', 'slug', 'conch', 'chiton']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,sorrel,"['sorrel', 'flat-coated retriever', 'Afghan hound', 'groenendael', 'Scottish deerhound']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,hammer,"['hammer', 'nail', 'hand blower', 'power drill', 'hatchet']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sea cucumber,"['sea cucumber', 'slug', 'African crocodile', 'American alligator', 'nematode']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,chimpanzee,"['chimpanzee', 'siamang', 'gorilla', 'fox squirrel', 'orangutan']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,cup,"['cup', 'coffee mug', 'caldron', 'pitcher', 'whiskey jug']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,dragonfly,"['dragonfly', 'ground beetle', 'damselfly', 'long-horned beetle', 'scorpion']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,terrapin,"['terrapin', 'loggerhead', 'mud turtle', 'box turtle', 'custard apple']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,fig,"['fig', 'puck', 'gong', 'tick', 'electric ray']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,nail,"['nail', 'hammer', 'letter opener', 'hook', 'bolo tie']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,gyromitra,"['gyromitra', 'knot', 'fur coat', 'mushroom', 'stole']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,cauliflower,"['cauliflower', 'gyromitra', 'custard apple', 'brain coral', 'acorn squash']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,daisy,"['daisy', 'hair slide', 'sea anemone', 'vase', 'tabby']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,binder,"['binder', 'freight car', 'wallet', 'mailbag', 'oscilloscope']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,Newfoundland,"['Newfoundland', 'briard', 'Bouvier des Flandres', 'Lhasa', 'Tibetan terrier']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,microwave,"['microwave', 'rotisserie', 'refrigerator', 'desktop computer', 'toaster']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,fire screen,"['fire screen', 'upright', 'studio couch', 'park bench', 'grand piano']"
23,Lin_lemon_ILSVRC2012_val_00028823_l.jpg,orange,"['orange', 'lemon', 'fig', 'custard apple', 'chambered nautilus']"
24,Lin_lobster_ILSVRC2012_val_00047059_l.jpg,American lobster,"['American lobster', 'crayfish', 'spiny lobster', 'scorpion', 'ground beetle']"
25,Lin_dog_ILSVRC2012_val_00012566_l.jpg,Labrador retriever,"['Labrador retriever', 'flat-coated retriever', 'curly-coated retriever', 'Chesapeake Bay retriever', 'Leonberg']"
26,Lin_apple_ILSVRC2012_val_00045087_l.jpg,Granny Smith,"['Granny Smith', 'gong', 'sundial', 'caldron', 'fig']"
27,Lin_squirrel_ILSVRC2012_val_00035501_l.jpg,mink,"['mink', 'weasel', 'beaver', 'Egyptian cat', 'letter opener']"
28,Lin_snake_ILSVRC2012_val_00014926_l.jpg,nematode,"['nematode', 'vine snake', 'knot', 'hook', 'Indian cobra']"
29,Lin_strawberry_ILSVRC2012_val_00031440_l.jpg,brain coral,"['brain coral', 'wool', 'pick', 'coil', 'fig']"
30,Lin_horse_ILSVRC2012_val_00032126_l.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'groenendael', 'briard', 'Scotch terrier', 'Newfoundland']"
31,Lin_strawberry_ILSVRC2012_val_00048023_l.jpg,head cabbage,"['head cabbage', 'cauliflower', 'brain coral', 'custard apple', 'gyromitra']"
32,Lin_crocodilian_ILSVRC2012_val_00010826_l.jpg,skunk,"['skunk', 'mink', 'sea cucumber', 'American alligator', 'weasel']"
33,Lin_gun_ILSVRC2012_val_00002840_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'violin']"
34,Lin_helmet_ILSVRC2012_val_00013302_l.jpg,bathing cap,"['bathing cap', 'crash helmet', 'ski mask', 'pickelhaube', 'wool']"
35,Lin_gun_ILSVRC2012_val_00018910_l.jpg,revolver,"['revolver', 'rifle', 'assault rifle', 'holster', 'langur']"
36,Lin_corn_ILSVRC2012_val_00010495_l.jpg,corn,"['corn', 'sea cucumber', 'ear', 'African crocodile', 'nematode']"
37,Lin_mug_ILSVRC2012_val_00027194_l.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'whiskey jug', 'coffeepot']"
38,Lin_banana_ILSVRC2012_val_00038819_l.jpg,electric ray,"['electric ray', 'nematode', 'jellyfish', 'tick', 'chambered nautilus']"
39,Lin_mushroom_ILSVRC2012_val_00009394_l.jpg,mushroom,"['mushroom', 'hen-of-the-woods', 'knot', 'gyromitra', 'stinkhorn']"
40,Lin_rabbit_ILSVRC2012_val_00044412_l.jpg,hare,"['hare', 'wood rabbit', 'Angora', 'Scotch terrier', 'Egyptian cat']"
41,Lin_snail_ILSVRC2012_val_00001959_l.jpg,snail,"['snail', 'slug', 'chambered nautilus', 'coil', 'ladle']"
42,Lin_banana_ILSVRC2012_val_00021860_l.jpg,sleeping bag,"['sleeping bag', 'Windsor tie', 'stretcher', 'punching bag', 'pencil box']"
43,Lin_frog_ILSVRC2012_val_00010287_l.jpg,tailed frog,"['tailed frog', 'gyromitra', 'bullfrog', 'tree frog', 'beaver']"
44,Lin_monkey_ILSVRC2012_val_00030191_l.jpg,Newfoundland,"['Newfoundland', 'groenendael', 'mink', 'beaver', 'Bouvier des Flandres']"
45,Lin_hippopotamus_ILSVRC2012_val_00032449_l.jpg,triceratops,"['triceratops', 'African elephant', 'Indian elephant', 'tusker', 'Bouvier des Flandres']"
46,Lin_turtle_ILSVRC2012_val_00024666_l.jpg,terrapin,"['terrapin', 'mud turtle', 'box turtle', 'leatherback turtle', 'loggerhead']"
47,Lin_swine_ILSVRC2012_val_00011892_l.jpg,Scotch terrier,"['Scotch terrier', 'Bouvier des Flandres', 'briard', 'Norwegian elkhound', 'Great Dane']"
48,Lin_acorn_ILSVRC2012_val_00013791_l.jpg,ski mask,"['ski mask', 'nematode', 'isopod', 'cockroach', 'slug']"
49,Lin_airplane_ILSVRC2012_val_00011168_l.jpg,warplane,"['warplane', 'airship', 'chain saw', 'airliner', 'projectile']"
50,Lin_crab_ILSVRC2012_val_00004462_l.jpg,barn spider,"['barn spider', 'scorpion', 'tick', 'ant', 'fiddler crab']"
51,Lin_lemon_ILSVRC2012_val_00034286_l.jpg,electric ray,"['electric ray', 'chiton', 'nematode', 'sea cucumber', 'flatworm']"
52,Lin_car_ILSVRC2012_val_00034824_l.jpg,half track,"['half track', 'tank', 'tow truck', 'leatherback turtle', 'hair slide']"
53,Lin_snake_ILSVRC2012_val_00027631_l.jpg,sea snake,"['sea snake', 'night snake', 'king snake', 'sidewinder', 'horned viper']"
54,Lin_squirrel_ILSVRC2012_val_00048792_l.jpg,fox squirrel,"['fox squirrel', 'Bouvier des Flandres', 'snow leopard', 'mink', 'beaver']"
55,Lin_crab_ILSVRC2012_val_00008705_l.jpg,tick,"['tick', 'scorpion', 'weevil', 'rock crab', 'ground beetle']"
56,Lin_bear_ILSVRC2012_val_00041813_l.jpg,Norwegian elkhound,"['Norwegian elkhound', 'curly-coated retriever', 'pug', 'flat-coated retriever', 'snow leopard']"
57,Lin_fish_ILSVRC2012_val_00014195_l.jpg,brain coral,"['brain coral', 'electric ray', 'stingray', 'trilobite', 'coral reef']"
58,Lin_turtle_ILSVRC2012_val_00049782_l.jpg,wool,"['wool', 'head cabbage', 'cauliflower', 'ski mask', 'shower cap']"
59,Lin_crocodilian_ILSVRC2012_val_00038287_l.jpg,nematode,"['nematode', 'mink', 'common newt', 'curly-coated retriever', 'platypus']"
60,Lin_bellpepper_ILSVRC2012_val_00003536_l.jpg,gyromitra,"['gyromitra', 'volcano', 'cliff', 'trilobite', 'chiton']"
61,Lin_clock_ILSVRC2012_val_00035461_l.jpg,manhole cover,"['manhole cover', 'analog clock', 'maze', 'puck', 'shield']"
62,Lin_gun_ILSVRC2012_val_00012180_l.jpg,revolver,"['revolver', 'assault rifle', 'rifle', 'holster', 'minivan']"
63,Lin_bird_ILSVRC2012_val_00030545_l.jpg,dowitcher,"['dowitcher', 'red-backed sandpiper', 'redshank', 'ruddy turnstone', 'prairie chicken']"
64,Lin_dog_ILSVRC2012_val_00030058_l.jpg,chow,"['chow', 'Newfoundland', 'Bouvier des Flandres', 'groenendael', 'Samoyed']"
65,Lin_dryer_ILSVRC2012_val_00046673_l.jpg,binoculars,"['binoculars', 'whistle', 'knot', 'joystick', 'loupe']"
66,Lin_snake_ILSVRC2012_val_00024301_l.jpg,nematode,"['nematode', 'hook', 'thunder snake', 'night snake', 'garter snake']"
67,Lin_cat_ILSVRC2012_val_00038913_l.jpg,lynx,"['lynx', 'Egyptian cat', 'tiger cat', 'standard schnauzer', 'giant schnauzer']"
68,Lin_fish_ILSVRC2012_val_00021343_l.jpg,platypus,"['platypus', 'electric ray', 'eel', 'mink', 'slug']"
69,Lin_butterfly_ILSVRC2012_val_00013795_l.jpg,lycaenid,"['lycaenid', 'ringlet', 'sulphur butterfly', 'cabbage butterfly', 'monarch']"
70,Lin_helmet_ILSVRC2012_val_00049691_l.jpg,isopod,"['isopod', 'tick', 'electric ray', 'dugong', 'jellyfish']"
71,Lin_microwave_ILSVRC2012_val_00042691_l.jpg,freight car,"['freight car', 'harmonica', 'digital clock', 'cassette player', 'slide rule']"
72,Lin_camel_ILSVRC2012_val_00011354_l.jpg,Arabian camel,"['Arabian camel', 'siamang', 'cocker spaniel', 'flat-coated retriever', 'Great Dane']"
73,Lin_dog_ILSVRC2012_val_00046583_l.jpg,Mexican hairless,"['Mexican hairless', 'Great Dane', 'Labrador retriever', 'Scottish deerhound', 'groenendael']"
74,Lin_butterfly_ILSVRC2012_val_00015608_l.jpg,ringlet,"['ringlet', 'lycaenid', 'sulphur butterfly', 'lacewing', 'cabbage butterfly']"
75,Lin_acorn_ILSVRC2012_val_00045517_l.jpg,Bouvier des Flandres,"['Bouvier des Flandres', 'beaver', 'mink', 'Newfoundland', 'briard']"
76,Lin_banana_ILSVRC2012_val_00049606_l.jpg,slug,"['slug', 'nematode', 'sea cucumber', 'flatworm', 'banana']"
77,Lin_bird_ILSVRC2012_val_00004344_l.jpg,water ouzel,"['water ouzel', 'bulbul', 'jay', 'brambling', 'junco']"
78,Lin_bellpepper_ILSVRC2012_val_00048089_l.jpg,bell pepper,"['bell pepper', 'beaver', 'Great Dane', 'bloodhound', 'electric ray']"
79,Lin_spider_ILSVRC2012_val_00029756_l.jpg,barn spider,"['barn spider', 'tick', 'garden spider', 'ground beetle', 'black and gold garden spider']"
80,Lin_bee_ILSVRC2012_val_00002566_l.jpg,stole,"['stole', 'dragonfly', 'knot', 'leatherback turtle', 'fly']"
81,Lin_fish_ILSVRC2012_val_00032417_l.jpg,volcano,"['volcano', 'sleeping bag', 'nematode', 'cliff', 'mink']"
82,Lin_guitar_ILSVRC2012_val_00029538_l.jpg,electric ray,"['electric ray', 'bell pepper', 'stingray', 'acorn squash', 'pickelhaube']"
83,Lin_flower_ILSVRC2012_val_00039137_l.jpg,daisy,"['daisy', 'sea anemone', 'ant', 'vase', 'pot']"
