,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,stone wall,"['stone wall', 'chainlink fence', 'trilobite', 'maze', 'coil']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,quilt,"['quilt', 'paper towel', 'stone wall', 'chainlink fence', 'maze']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,dalmatian,"['dalmatian', 'great grey owl', 'shower curtain', 'quilt', 'paper towel']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,maze,"['maze', 'volcano', 'American alligator', 'valley', 'jigsaw puzzle']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,stone wall,"['stone wall', 'peacock', 'American alligator', 'comic book', 'maze']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,chain mail,"['chain mail', 'maze', 'honeycomb', 'doormat', 'prayer rug']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,maze,"['maze', 'comic book', 'stone wall', 'shower curtain', 'menu']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'comic book', 'analog clock', 'punching bag', 'toilet seat']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,maze,"['maze', 'quilt', 'paper towel', 'velvet', 'prayer rug']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,comic book,"['comic book', 'coil', 'maze', 'envelope', 'partridge']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,electric ray,"['electric ray', 'stingray', 'brain coral', 'puffer', 'trilobite']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,honeycomb,"['honeycomb', 'maze', 'corn', 'doormat', 'ear']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,hen-of-the-woods,"['hen-of-the-woods', 'earthstar', 'head cabbage', 'comic book', 'chiton']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,stone wall,"['stone wall', 'paper towel', 'velvet', 'quilt', 'American alligator']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,velvet,"['velvet', 'maze', 'wool', 'quilt', 'sarong']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'maze', 'breakwater', 'tile roof', 'megalith']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,quilt,"['quilt', 'maze', 'comic book', 'komondor', 'volcano']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,stopwatch,"['stopwatch', 'combination lock', 'jigsaw puzzle', 'analog clock', 'rule']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,jigsaw puzzle,"['jigsaw puzzle', 'shower curtain', 'comic book', 'maze', 'prayer rug']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,comic book,"['comic book', 'maze', 'jigsaw puzzle', 'stone wall', 'paper towel']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,maze,"['maze', 'brain coral', 'stone wall', 'coral reef', 'coral fungus']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,alp,"['alp', 'comic book', 'maze', 'nematode', 'jigsaw puzzle']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,stone wall,"['stone wall', 'comic book', 'maze', 'coil', 'jigsaw puzzle']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,balance beam,"['balance beam', 'fountain', 'park bench', 'maillot tank suit', 'bikini']"
24,LinFil_hammer_ILSVRC2012_val_00032002_lf.jpg,doormat,"['doormat', 'chain mail', 'water bottle', 'maze', 'honeycomb']"
