,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'coral reef', 'jigsaw puzzle', 'Angora']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain', 'chain mail', 'maze', 'manhole cover']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,wool,"['wool', 'doormat', 'hen-of-the-woods', 'velvet', 'grocery store']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'solar dish', 'goose', 'red-backed sandpiper']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,velvet,"['velvet', 'theater curtain', 'shower curtain', 'prayer rug', 'electric guitar']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'library', 'nail', 'shoe shop']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'jigsaw puzzle', 'tobacco shop', 'sandal', 'honeycomb']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,bell pepper,"['bell pepper', ""jack-o'-lantern"", 'candle', 'grocery store', 'butternut squash']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,coil,"['coil', 'turnstile', 'maze', 'binder', 'shower curtain']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'bee', 'hen-of-the-woods', 'chain mail']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'jackfruit', 'pineapple', 'wool']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'chain mail', 'chain', 'coil']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'jigsaw puzzle', 'hen-of-the-woods', 'diaper', 'sea anemone']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'apiary', 'chain mail', 'jigsaw puzzle']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'coral reef', 'head cabbage', 'cauliflower', 'hen-of-the-woods']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'goldfish', 'hen-of-the-woods', 'honeycomb', 'coral reef']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'hen-of-the-woods', 'coral reef', 'honeycomb', 'maze']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,toyshop,"['toyshop', 'jigsaw puzzle', 'hen-of-the-woods', 'chain mail', 'wool']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'brain coral', 'custard apple', 'coral reef', 'cauliflower']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'zucchini', 'hen-of-the-woods', 'potpie', 'maze']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,velvet,"['velvet', 'hen-of-the-woods', 'wool', 'prayer rug', 'pizza']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'organ', 'shoe shop', 'chime', 'tobacco shop']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'wool', 'prayer rug', 'poncho', 'space heater']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'chain mail', 'honeycomb', 'dishrag']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,wool,"['wool', 'hen-of-the-woods', 'stone wall', 'velvet', 'cliff']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'chain mail', 'hen-of-the-woods', 'coral reef']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,goose,"['goose', 'shoe shop', 'jigsaw puzzle', 'red-breasted merganser', 'drake']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'partridge', 'coral reef', 'gyromitra']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,wool,"['wool', 'hen-of-the-woods', 'komondor', 'velvet', 'otterhound']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'apiary', 'earthstar', 'bee']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'computer keyboard', 'space bar', 'shower curtain', 'maze']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'kuvasz', 'jigsaw puzzle', 'wool', 'Sealyham terrier']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'honeycomb', 'wool', 'velvet']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'hen-of-the-woods', 'tiger cat', 'jigsaw puzzle', 'partridge']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,maze,"['maze', 'doormat', 'matchstick', 'drumstick', 'hammer']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'maze', 'broccoli', 'greenhouse']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'wool', 'coral reef', 'coral fungus']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'jigsaw puzzle', 'coral fungus', 'mushroom']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,bell pepper,"['bell pepper', 'coral reef', 'head cabbage', 'maze', 'Granny Smith']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'jigsaw puzzle', 'wool', 'prayer rug']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'velvet', 'maze', 'prayer rug', 'tobacco shop']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,computer keyboard,"['computer keyboard', 'space bar', 'shower curtain', 'switch', 'typewriter keyboard']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'coral reef', 'broccoli', 'cauliflower', 'jigsaw puzzle']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,medicine chest,"['medicine chest', 'switch', 'file', 'oscilloscope', 'maze']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'manhole cover', 'nail', 'prayer rug']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,shoe shop,"['shoe shop', 'sandal', 'velvet', 'clog', 'wool']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'apiary', 'bee', 'hen-of-the-woods', 'chain mail']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'Granny Smith', 'coral reef', 'maze', 'buckeye']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'velvet', 'coral reef', 'shower curtain', 'maze']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'earthstar', 'pineapple', 'coral reef']"
