,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,face powder,"['face powder', 'jersey', 'paper towel', 'strainer', 'envelope']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,jersey,"['jersey', 'strainer', 'hair slide', 'Kerry blue terrier', 'window screen']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,starfish,"['starfish', 'nematode', 'strainer', 'hand blower', 'handkerchief']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,strainer,"['strainer', 'safety pin', 'loupe', 'cleaver', 'whistle']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'ant', 'handkerchief', 'matchstick', 'nail']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,envelope,"['envelope', 'hair slide', 'jersey', 'chain', 'handkerchief']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,strainer,"['strainer', 'hand blower', 'jersey', 'chain mail', 'face powder']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'handkerchief', 'briard', 'skunk', 'Scotch terrier']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'window screen', 'briard', 'Bouvier des Flandres', 'chain mail']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,jersey,"['jersey', 'handkerchief', 'nematode', 'ant', 'tripod']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,chain mail,"['chain mail', 'face powder', 'doormat', 'jersey', 'strainer']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,nematode,"['nematode', 'screw', 'starfish', 'envelope', 'handkerchief']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'envelope', 'handkerchief', 'nematode', 'tick']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,nematode,"['nematode', 'hair slide', 'lipstick', 'envelope', 'handkerchief']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,window screen,"['window screen', 'airship', 'face powder', 'nematode', 'balloon']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,handkerchief,"['handkerchief', 'envelope', 'ant', 'lipstick', 'nematode']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nematode,"['nematode', 'oboe', 'nail', 'bassoon', 'hatchet']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'ant', 'nematode', 'handkerchief', 'envelope']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'plunger', 'hand blower', 'screw', 'spotlight']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,airship,"['airship', 'nematode', 'balloon', 'obelisk', 'envelope']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,nail,"['nail', 'lampshade', 'fountain', 'screw', 'tripod']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,nematode,"['nematode', 'airship', 'strainer', 'digital clock', 'assault rifle']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,face powder,"['face powder', 'window screen', 'strainer', 'nematode', 'safety pin']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,window screen,"['window screen', 'hen-of-the-woods', 'handkerchief', 'face powder', 'envelope']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,nematode,"['nematode', 'handkerchief', 'hair slide', 'lipstick', 'bib']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,briard,"['briard', 'Kerry blue terrier', 'Bouvier des Flandres', 'soft-coated wheaten terrier', 'affenpinscher']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,window screen,"['window screen', 'handkerchief', 'envelope', 'skunk', 'Angora']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,nematode,"['nematode', 'starfish', 'assault rifle', 'window screen', 'digital clock']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,starfish,"['starfish', 'nematode', 'strainer', 'nail', 'airship']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'Kerry blue terrier', 'Sussex spaniel', 'window screen', 'briard']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,hourglass,"['hourglass', 'hand blower', 'face powder', 'pick', 'window screen']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,nematode,"['nematode', 'strainer', 'hand blower', 'nail', 'bassoon']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,barn spider,"['barn spider', 'handkerchief', 'hair slide', 'envelope', 'spotlight']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,nematode,"['nematode', 'hand blower', 'handkerchief', 'strainer', 'face powder']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,handkerchief,"['handkerchief', 'envelope', 'window screen', 'hair slide', 'lipstick']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,airship,"['airship', 'screw', 'aircraft carrier', 'drilling platform', 'nematode']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,face powder,"['face powder', 'microphone', 'jersey', 'paper towel', 'doormat']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,nematode,"['nematode', 'lipstick', 'handkerchief', 'envelope', 'cleaver']"
38,Cro5dva_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,face powder,"['face powder', 'hand blower', 'nematode', 'lipstick', 'strainer']"
39,Cro5dva_v07_chair_ILSVRC2012_val_00041720_cd.jpg,assault rifle,"['assault rifle', 'Samoyed', 'Christmas stocking', 'bulletproof vest', 'spotlight']"
40,Cro5dva_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'handkerchief', 'bib', 'envelope', 'lipstick']"
41,Cro5dva_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,hand blower,"['hand blower', 'handkerchief', 'jersey', 'Kerry blue terrier', 'window screen']"
42,Cro5dva_v07_camel_ILSVRC2012_val_00006200_cd.jpg,nematode,"['nematode', 'lipstick', 'airship', 'envelope', 'spotlight']"
43,Cro5dva_v07_camel_ILSVRC2012_val_00003409_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'Irish water spaniel', 'briard', 'Scottish deerhound']"
44,Cro5dva_v07_dog_ILSVRC2012_val_00030058_cd.jpg,chain mail,"['chain mail', 'Irish water spaniel', 'window screen', 'bearskin', 'Kerry blue terrier']"
45,Cro5dva_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,strainer,"['strainer', 'window screen', 'whistle', 'hair slide', 'handkerchief']"
46,Cro5dva_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,nematode,"['nematode', 'matchstick', 'face powder', 'spotlight', 'hand blower']"
