,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,dugong,"['dugong', 'mink', 'nematode', 'wig', 'grey whale']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,assault rifle,"['assault rifle', 'loupe', 'joystick', 'bulletproof vest', 'cloak']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'ski mask', 'pick', 'bulletproof vest', 'spatula']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,black grouse,"['black grouse', 'partridge', 'hen', 'American coot', 'cock']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,giant schnauzer,"['giant schnauzer', 'knee pad', 'cloak', 'abaya', 'wool']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,standard poodle,"['standard poodle', 'American black bear', 'Newfoundland', 'sloth bear', 'brown bear']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,kelpie,"['kelpie', 'dugong', 'Labrador retriever', 'schipperke', 'Irish water spaniel']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,water jug,"['water jug', 'coffee mug', 'pitcher', 'beaker', 'measuring cup']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,kelpie,"['kelpie', 'schipperke', 'groenendael', 'Boston bull', 'dingo']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,dugong,"['dugong', 'nematode', 'weasel', 'Labrador retriever', 'Boston bull']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'black widow', 'tick', 'wolf spider', 'black and gold garden spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,loupe,"['loupe', 'mouse', 'pick', 'chambered nautilus', 'knee pad']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,dugong,"['dugong', 'otter', 'weasel', 'sea lion', 'mink']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,unicycle,"['unicycle', 'tailed frog', 'tree frog', 'volleyball', 'cloak']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,plunger,"['plunger', 'shovel', 'Egyptian cat', 'cleaver', 'letter opener']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,black stork,"['black stork', 'American black bear', 'tailed frog', 'white stork', 'kite']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,sea urchin,"['sea urchin', 'mouse', 'lemon', 'frying pan', 'academic gown']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,cleaver,"['cleaver', 'spatula', 'microwave', 'envelope', 'binder']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,dugong,"['dugong', 'cleaver', 'grey whale', 'nematode', 'sea lion']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'wolf spider', 'harvestman', 'garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,giant schnauzer,"['giant schnauzer', 'American black bear', 'standard schnauzer', 'Bouvier des Flandres', 'sloth bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,daisy,"['daisy', 'earthstar', 'coral fungus', 'pot', 'nail']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,black stork,"['black stork', 'sea urchin', 'sea anemone', 'vulture', 'common iguana']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'hook', 'nail', 'hatchet', 'power drill']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Labrador retriever,"['Labrador retriever', 'otter', 'weasel', 'mink', 'schipperke']"
