,image_path,top1_class,top5_class
0,Cro_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'doormat', 'strainer', 'matchstick']"
1,Cro_v07_bear_ILSVRC2012_val_00031906_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'strainer', 'window screen', 'doormat']"
2,Cro_v07_bird_ILSVRC2012_val_00030545_cd.jpg,strainer,"['strainer', 'hair slide', 'window screen', 'doormat', 'chain mail']"
3,Cro_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'strainer', 'honeycomb', 'chain', 'window screen']"
4,Cro_v07_snake_ILSVRC2012_val_00006751_cd.jpg,coil,"['coil', 'nail', 'screw', 'maze', 'hair slide']"
5,Cro_v07_snake_ILSVRC2012_val_00013400_cd.jpg,coil,"['coil', 'honeycomb', 'chain mail', 'hair slide', 'strainer']"
6,Cro_v07_car_ILSVRC2012_val_00005456_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'doormat', 'strainer', 'fire screen']"
7,Cro_v07_swine_ILSVRC2012_val_00031491_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'doormat', 'chain mail', 'sea cucumber']"
8,Cro_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'window screen', 'dishrag', 'doormat']"
9,Cro_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,starfish,"['starfish', 'hair slide', 'banded gecko', 'Kerry blue terrier', 'window screen']"
10,Cro_v07_bear_ILSVRC2012_val_00038263_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'doormat', 'dishrag']"
11,Cro_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,warplane,"['warplane', 'aircraft carrier', 'hair slide', 'American alligator', 'nail']"
12,Cro_v07_spider_ILSVRC2012_val_00026030_cd.jpg,starfish,"['starfish', 'maze', 'handkerchief', 'fire screen', 'jigsaw puzzle']"
13,Cro_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'banded gecko', 'honeycomb', 'handkerchief', 'Kerry blue terrier']"
14,Cro_v07_flower_ILSVRC2012_val_00022139_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'doormat', 'strainer', 'chain mail']"
15,Cro_v07_crab_ILSVRC2012_val_00011922_cd.jpg,hair slide,"['hair slide', 'starfish', 'handkerchief', 'fire screen', 'sea cucumber']"
16,Cro_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hair slide,"['hair slide', 'nail', 'letter opener', 'strainer', 'sea cucumber']"
17,Cro_v07_spider_ILSVRC2012_val_00039661_cd.jpg,starfish,"['starfish', 'jigsaw puzzle', 'sea urchin', 'binoculars', 'tripod']"
18,Cro_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'sea cucumber', 'leatherback turtle', 'Kerry blue terrier', 'hand blower']"
19,Cro_v07_flower_ILSVRC2012_val_00048934_cd.jpg,crossword puzzle,"['crossword puzzle', 'window screen', 'honeycomb', 'doormat', 'jigsaw puzzle']"
20,Cro_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,rule,"['rule', 'nail', 'hair slide', 'nematode', 'paper towel']"
21,Cro_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,American alligator,"['American alligator', 'African crocodile', 'honeycomb', 'window screen', 'banded gecko']"
22,Cro_v07_flower_ILSVRC2012_val_00039137_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'doormat', 'window screen']"
23,Cro_v07_camel_ILSVRC2012_val_00011354_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'strainer', 'hair slide', 'doormat']"
24,Cro_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'sea cucumber', 'Kerry blue terrier', 'window screen', 'handkerchief']"
25,Cro_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'hair slide', 'window screen', 'honeycomb', 'chain mail']"
26,Cro_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'chain', 'sea cucumber', 'strainer']"
27,Cro_v07_gun_ILSVRC2012_val_00018910_cd.jpg,hair slide,"['hair slide', 'fire screen', 'American alligator', 'handkerchief', 'oboe']"
28,Cro_v07_fish_ILSVRC2012_val_00032417_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'fire screen', 'hair slide']"
29,Cro_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,window screen,"['window screen', 'honeycomb', 'strainer', 'doormat', 'handkerchief']"
30,Cro_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'doormat', 'apiary', 'fire screen']"
31,Cro_v07_snail_ILSVRC2012_val_00001959_cd.jpg,matchstick,"['matchstick', 'hair slide', 'sea urchin', 'strainer', 'ant']"
32,Cro_v07_chair_ILSVRC2012_val_00004120_cd.jpg,handkerchief,"['handkerchief', 'chain mail', 'honeycomb', 'fire screen', 'jigsaw puzzle']"
33,Cro_v07_bird_ILSVRC2012_val_00028363_cd.jpg,honeycomb,"['honeycomb', 'hair slide', 'window screen', 'strainer', 'doormat']"
34,Cro_v07_bee_ILSVRC2012_val_00017418_cd.jpg,sea cucumber,"['sea cucumber', 'starfish', 'Kerry blue terrier', 'hair slide', 'honeycomb']"
35,Cro_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'bassoon', 'jigsaw puzzle', 'flute', 'obelisk']"
36,Cro_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'window screen', 'dishrag']"
37,Cro_v07_snake_ILSVRC2012_val_00014926_cd.jpg,sea cucumber,"['sea cucumber', 'honeycomb', 'nematode', 'hair slide', 'letter opener']"
38,Cro_v07_acorn_ILSVRC2012_val_00031536_cd.jpg,honeycomb,"['honeycomb', 'doormat', 'strainer', 'hair slide', 'window screen']"
39,Cro_v07_chair_ILSVRC2012_val_00041720_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'fire screen', 'window screen', 'matchstick']"
40,Cro_v07_snake_ILSVRC2012_val_00024301_cd.jpg,nematode,"['nematode', 'hair slide', 'coil', 'chain', 'thunder snake']"
41,Cro_v07_broccoli_ILSVRC2012_val_00019851_cd.jpg,strainer,"['strainer', 'honeycomb', 'doormat', 'Kerry blue terrier', 'hair slide']"
42,Cro_v07_camel_ILSVRC2012_val_00006200_cd.jpg,hair slide,"['hair slide', 'handkerchief', 'strainer', 'plate rack', 'aircraft carrier']"
43,Cro_v07_camel_ILSVRC2012_val_00003409_cd.jpg,Gila monster,"['Gila monster', 'Kerry blue terrier', 'banded gecko', 'sea cucumber', 'hair slide']"
44,Cro_v07_dog_ILSVRC2012_val_00030058_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'doormat', 'dishrag', 'window screen']"
45,Cro_v07_bellpepper_ILSVRC2012_val_00048089_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'sea cucumber', 'doormat', 'dishrag']"
46,Cro_v07_butterfly_ILSVRC2012_val_00035074_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'strainer', 'maze', 'crossword puzzle']"
47,Cro_v07_turtle_ILSVRC2012_val_00024666_cd.jpg,honeycomb,"['honeycomb', 'doormat', 'strainer', 'window screen', 'chain mail']"
48,Cro_v07_horse_ILSVRC2012_val_00011600_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'fire screen', 'window screen', 'altar', 'crossword puzzle']"
49,Cro_v07_frog_ILSVRC2012_val_00010287_cd.jpg,honeycomb,"['honeycomb', 'sea cucumber', 'doormat', 'banded gecko', 'strainer']"
50,Cro_v07_acorn_ILSVRC2012_val_00028557_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'strainer', 'matchstick', 'chain mail']"
51,Cro_v07_banana_ILSVRC2012_val_00049606_cd.jpg,sea cucumber,"['sea cucumber', 'nematode', 'hair slide', 'chain mail', 'nail']"
52,Cro_v07_mug_ILSVRC2012_val_00027194_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'window screen', 'doormat', 'strainer']"
53,Cro_v07_flower_ILSVRC2012_val_00013936_cd.jpg,honeycomb,"['honeycomb', 'crossword puzzle', 'doormat', 'strainer', 'window screen']"
54,Cro_v07_guitar_ILSVRC2012_val_00036762_cd.jpg,oboe,"['oboe', 'bassoon', 'letter opener', 'flute', 'paper towel']"
55,Cro_v07_crocodilian_ILSVRC2012_val_00038287_cd.jpg,nematode,"['nematode', 'nail', 'hair slide', 'sea cucumber', 'coil']"
56,Cro_v07_crab_ILSVRC2012_val_00008705_cd.jpg,African crocodile,"['African crocodile', 'American alligator', 'banded gecko', 'leatherback turtle', 'Gila monster']"
57,Cro_v07_squirrel_ILSVRC2012_val_00048792_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'window screen', 'doormat', 'dishrag']"
58,Cro_v07_chair_ILSVRC2012_val_00001953_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'starfish', 'maze', 'fire screen', 'sea cucumber']"
59,Cro_v07_squirrel_ILSVRC2012_val_00024584_cd.jpg,hair slide,"['hair slide', 'sea cucumber', 'honeycomb', 'oboe', 'nematode']"
60,Cro_v07_mushroom_ILSVRC2012_val_00039698_cd.jpg,window screen,"['window screen', 'strainer', 'honeycomb', 'hair slide', 'doormat']"
61,Cro_v07_airplane_ILSVRC2012_val_00033920_cd.jpg,aircraft carrier,"['aircraft carrier', 'nail', 'hair slide', 'warplane', 'American alligator']"
62,Cro_v07_camel_ILSVRC2012_val_00013553_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'window screen', 'doormat', 'strainer']"
63,Cro_v07_lobster_ILSVRC2012_val_00002502_cd.jpg,sea cucumber,"['sea cucumber', 'hair slide', 'American alligator', 'nail', 'banded gecko']"
64,Cro_v07_gun_ILSVRC2012_val_00016796_cd.jpg,hair slide,"['hair slide', 'oboe', 'handkerchief', 'sea cucumber', 'chain mail']"
65,Cro_v07_snail_ILSVRC2012_val_00046248_cd.jpg,electric ray,"['electric ray', 'strainer', 'siamang', 'window screen', 'hair slide']"
66,Cro_v07_flower_ILSVRC2012_val_00019320_cd.jpg,honeycomb,"['honeycomb', 'doormat', 'crossword puzzle', 'window screen', 'strainer']"
67,Cro_v07_pineapple_ILSVRC2012_val_00012582_cd.jpg,honeycomb,"['honeycomb', 'doormat', 'window screen', 'handkerchief', 'strainer']"
68,Cro_v07_gun_ILSVRC2012_val_00012180_cd.jpg,assault rifle,"['assault rifle', 'Kerry blue terrier', 'rifle', 'banded gecko', 'Gila monster']"
69,Cro_v07_crocodilian_ILSVRC2012_val_00038647_cd.jpg,sea cucumber,"['sea cucumber', 'honeycomb', 'window screen', 'nematode', 'matchstick']"
70,Cro_v07_bird_ILSVRC2012_val_00007153_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'honeycomb', 'window screen', 'matchstick', 'doormat']"
71,Cro_v07_broccoli_ILSVRC2012_val_00027637_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'doormat', 'matchstick', 'chain mail']"
72,Cro_v07_crab_ILSVRC2012_val_00034670_cd.jpg,hair slide,"['hair slide', 'prison', 'window screen', 'fire screen', 'American alligator']"
73,Cro_v07_mug_ILSVRC2012_val_00025548_cd.jpg,chain mail,"['chain mail', 'strainer', 'honeycomb', 'window screen', 'chain']"
74,Cro_v07_butterfly_ILSVRC2012_val_00015608_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'church', 'altar', 'sea cucumber']"
75,Cro_v07_cat_ILSVRC2012_val_00000796_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'window screen', 'dishrag', 'strainer']"
76,Cro_v07_cat_ILSVRC2012_val_00001341_cd.jpg,chain mail,"['chain mail', 'window screen', 'honeycomb', 'hair slide', 'doormat']"
77,Cro_v07_fish_ILSVRC2012_val_00021994_cd.jpg,hair slide,"['hair slide', 'strainer', 'handkerchief', 'chain mail', 'honeycomb']"
78,Cro_v07_shoe_ILSVRC2012_val_00048970_cd.jpg,honeycomb,"['honeycomb', 'hair slide', 'sea cucumber', 'strainer', 'doormat']"
79,Cro_v07_snail_ILSVRC2012_val_00045031_cd.jpg,strainer,"['strainer', 'hair slide', 'honeycomb', 'matchstick', 'window screen']"
80,Cro_v07_lobster_ILSVRC2012_val_00028657_cd.jpg,sea cucumber,"['sea cucumber', 'Kerry blue terrier', 'nematode', 'honeycomb', 'hair slide']"
81,Cro_v07_pineapple_ILSVRC2012_val_00009015_cd.jpg,window screen,"['window screen', 'honeycomb', 'doormat', 'Irish water spaniel', 'strainer']"
82,Cro_v07_car_ILSVRC2012_val_00037492_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'sea cucumber', 'hair slide', 'strainer']"
83,Cro_v07_spider_ILSVRC2012_val_00029756_cd.jpg,starfish,"['starfish', 'jigsaw puzzle', 'fire screen', 'prison', 'sea urchin']"
84,Cro_v07_helmet_ILSVRC2012_val_00032342_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'strainer', 'matchstick', 'window screen']"
85,Cro_v07_guitar_ILSVRC2012_val_00019484_cd.jpg,strainer,"['strainer', 'hair slide', 'honeycomb', 'handkerchief', 'doormat']"
86,Cro_v07_monkey_ILSVRC2012_val_00030191_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'honeycomb', 'Kerry blue terrier', 'porcupine', 'doormat']"
87,Cro_v07_elephant_ILSVRC2012_val_00018263_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'Kerry blue terrier', 'strainer', 'doormat']"
88,Cro_v07_bee_ILSVRC2012_val_00014008_cd.jpg,sea cucumber,"['sea cucumber', 'honeycomb', 'nematode', 'Kerry blue terrier', 'hair slide']"
89,Cro_v07_dryer_ILSVRC2012_val_00044460_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'sea cucumber', 'leatherback turtle', 'starfish', 'strainer']"
90,Cro_v07_bird_ILSVRC2012_val_00004344_cd.jpg,hair slide,"['hair slide', 'sea cucumber', 'handkerchief', 'siamang', 'strainer']"
91,Cro_v07_pineapple_ILSVRC2012_val_00023804_cd.jpg,jigsaw puzzle,"['jigsaw puzzle', 'crossword puzzle', 'window screen', 'fire screen', 'paper towel']"
92,Cro_v07_hammer_ILSVRC2012_val_00015583_cd.jpg,hair slide,"['hair slide', 'letter opener', 'chain mail', 'sea cucumber', 'nail']"
93,Cro_v07_gun_ILSVRC2012_val_00003457_cd.jpg,hair slide,"['hair slide', 'honeycomb', 'oboe', 'handkerchief', 'chain mail']"
94,Cro_v07_rabbit_ILSVRC2012_val_00006108_cd.jpg,chain mail,"['chain mail', 'paper towel', 'stole', 'strainer', 'window screen']"
95,Cro_v07_guitar_ILSVRC2012_val_00029538_cd.jpg,strainer,"['strainer', 'electric ray', 'honeycomb', 'doormat', 'window screen']"
96,Cro_v07_cat_ILSVRC2012_val_00038913_cd.jpg,chain mail,"['chain mail', 'window screen', 'honeycomb', 'doormat', 'fire screen']"
97,Cro_v07_camel_ILSVRC2012_val_00015872_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'sea cucumber', 'banded gecko', 'Irish water spaniel', 'starfish']"
98,Cro_v07_airplane_ILSVRC2012_val_00030531_cd.jpg,hair slide,"['hair slide', 'nail', 'plate rack', 'screw', 'paper towel']"
99,Cro_v07_elephant_ILSVRC2012_val_00032620_cd.jpg,honeycomb,"['honeycomb', 'Kerry blue terrier', 'window screen', 'sea cucumber', 'hair slide']"
100,Cro_v07_frog_ILSVRC2012_val_00022660_cd.jpg,honeycomb,"['honeycomb', 'jigsaw puzzle', 'sea cucumber', 'crossword puzzle', 'maze']"
101,Cro_v07_hammer_ILSVRC2012_val_00032002_cd.jpg,nail,"['nail', 'screw', 'hair slide', 'chain saw', 'letter opener']"
102,Cro_v07_shoe_ILSVRC2012_val_00020303_cd.jpg,sea cucumber,"['sea cucumber', 'hair slide', 'honeycomb', 'strainer', 'nematode']"
103,Cro_v07_butterfly_ILSVRC2012_val_00013795_cd.jpg,chain mail,"['chain mail', 'honeycomb', 'doormat', 'crossword puzzle', 'jigsaw puzzle']"
104,Cro_v07_butterfly_ILSVRC2012_val_00042436_cd.jpg,chain mail,"['chain mail', 'hair slide', 'strainer', 'handkerchief', 'honeycomb']"
105,Cro_v07_bear_ILSVRC2012_val_00011967_cd.jpg,hair slide,"['hair slide', 'handkerchief', 'Kerry blue terrier', 'honeycomb', 'window screen']"
106,Cro_v07_fish_ILSVRC2012_val_00021343_cd.jpg,hair slide,"['hair slide', 'sea cucumber', 'oboe', 'nematode', 'handkerchief']"
107,Cro_v07_pineapple_ILSVRC2012_val_00024461_cd.jpg,window screen,"['window screen', 'honeycomb', 'sea cucumber', 'Kerry blue terrier', 'doormat']"
108,Cro_v07_bear_ILSVRC2012_val_00041813_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'window screen', 'Irish water spaniel', 'honeycomb', 'sea cucumber']"
109,Cro_v07_horse_ILSVRC2012_val_00008317_cd.jpg,window screen,"['window screen', 'hair slide', 'honeycomb', 'chain mail', 'fire screen']"
110,Cro_v07_rabbit_ILSVRC2012_val_00044412_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'strainer', 'doormat', 'sea cucumber']"
111,Cro_v07_horse_ILSVRC2012_val_00017358_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Gila monster', 'starfish', 'banded gecko', 'sea cucumber']"
112,Cro_v07_monkey_ILSVRC2012_val_00003631_cd.jpg,honeycomb,"['honeycomb', 'Irish water spaniel', 'Kerry blue terrier', 'chain mail', 'window screen']"
113,Cro_v07_turtle_ILSVRC2012_val_00009376_cd.jpg,doormat,"['doormat', 'honeycomb', 'dishrag', 'strainer', 'Irish water spaniel']"
114,Cro_v07_horse_ILSVRC2012_val_00029082_cd.jpg,honeycomb,"['honeycomb', 'handkerchief', 'chain mail', 'hair slide', 'strainer']"
115,Cro_v07_car_ILSVRC2012_val_00034824_cd.jpg,hair slide,"['hair slide', 'oboe', 'sea cucumber', 'chain mail', 'strainer']"
116,Cro_v07_rabbit_ILSVRC2012_val_00021667_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'doormat', 'dishrag']"
117,Cro_v07_lemon_ILSVRC2012_val_00038325_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'window screen', 'doormat', 'matchstick']"
118,Cro_v07_dog_ILSVRC2012_val_00012566_cd.jpg,hair slide,"['hair slide', 'chain saw', 'strainer', 'honeycomb', 'handkerchief']"
119,Cro_v07_car_ILSVRC2012_val_00010455_cd.jpg,sea cucumber,"['sea cucumber', 'hair slide', 'honeycomb', 'doormat', 'nematode']"
120,Cro_v07_crocodilian_ILSVRC2012_val_00010826_cd.jpg,nail,"['nail', 'oboe', 'hair slide', 'bassoon', 'letter opener']"
121,Cro_v07_broccoli_ILSVRC2012_val_00043347_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'doormat', 'strainer', 'chain mail']"
122,Cro_v07_airplane_ILSVRC2012_val_00049097_cd.jpg,hair slide,"['hair slide', 'nail', 'chain mail', 'fire screen', 'paper towel']"
123,Cro_v07_hippopotamus_ILSVRC2012_val_00032449_cd.jpg,sea cucumber,"['sea cucumber', 'honeycomb', 'Kerry blue terrier', 'window screen', 'chain mail']"
124,Cro_v07_spider_ILSVRC2012_val_00008805_cd.jpg,starfish,"['starfish', 'jigsaw puzzle', 'ant', 'maze', 'nematode']"
125,Cro_v07_bear_ILSVRC2012_val_00020441_cd.jpg,honeycomb,"['honeycomb', 'window screen', 'doormat', 'chain mail', 'strainer']"
126,Cro_v07_elephant_ILSVRC2012_val_00011247_cd.jpg,hair slide,"['hair slide', 'strainer', 'window screen', 'handkerchief', 'paper towel']"
127,Cro_v07_dryer_ILSVRC2012_val_00027635_cd.jpg,hair slide,"['hair slide', 'plate rack', 'sea cucumber', 'harvester', 'thresher']"
128,Cro_v07_dog_ILSVRC2012_val_00010378_cd.jpg,honeycomb,"['honeycomb', 'chain mail', 'strainer', 'window screen', 'dishrag']"
129,Cro_v07_elephant_ILSVRC2012_val_00035479_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'honeycomb', 'sea cucumber', 'Irish water spaniel', 'window screen']"
130,Cro_v07_acorn_ILSVRC2012_val_00013791_cd.jpg,honeycomb,"['honeycomb', 'matchstick', 'strainer', 'dishrag', 'window screen']"
131,Cro_v07_shoe_ILSVRC2012_val_00019717_cd.jpg,hair slide,"['hair slide', 'chain mail', 'nail', 'chain', 'oboe']"
132,Cro_v07_crocodilian_ILSVRC2012_val_00037166_cd.jpg,sea cucumber,"['sea cucumber', 'nematode', 'honeycomb', 'hair slide', 'window screen']"
133,Cro_v07_hippopotamus_ILSVRC2012_val_00038747_cd.jpg,sea cucumber,"['sea cucumber', 'honeycomb', 'hair slide', 'doormat', 'Gila monster']"
134,Cro_v07_frog_ILSVRC2012_val_00041279_cd.jpg,honeycomb,"['honeycomb', 'handkerchief', 'hair slide', 'ant', 'sea cucumber']"
135,Cro_v07_hammer_ILSVRC2012_val_00028069_cd.jpg,oboe,"['oboe', 'bassoon', 'nail', 'rule', 'paper towel']"
136,Cro_v07_elephant_ILSVRC2012_val_00040375_cd.jpg,chain mail,"['chain mail', 'hair slide', 'window screen', 'honeycomb', 'Kerry blue terrier']"
137,Cro_v07_turtle_ILSVRC2012_val_00036345_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'Kerry blue terrier', 'dishrag']"
138,Cro_v07_strawberry_ILSVRC2012_val_00023739_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'chain mail', 'dishrag', 'doormat']"
139,Cro_v07_lemon_ILSVRC2012_val_00048264_cd.jpg,honeycomb,"['honeycomb', 'strainer', 'window screen', 'matchstick', 'sea urchin']"
140,Cro_v07_tiger_ILSVRC2012_val_00015897_cd.jpg,starfish,"['starfish', 'banded gecko', 'Gila monster', 'sea cucumber', 'window screen']"
