,image_path,top1_class,top5_class
0,SilTex_broccoli_ILSVRC2012_val_00043347_st.jpg,broccoli,"['broccoli', 'cauliflower', 'head cabbage', 'zucchini', 'Kerry blue terrier']"
1,SilTex_acorn_ILSVRC2012_val_00013791_st.jpg,weevil,"['weevil', 'long-horned beetle', 'ground beetle', 'leaf beetle', 'ant']"
2,SilTex_dryer_ILSVRC2012_val_00038783_st.jpg,holster,"['holster', 'neck brace', 'knee pad', 'muzzle', 'seat belt']"
3,SilTex_frog_ILSVRC2012_val_00014735_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'isopod', 'indri', 'sea slug', 'platypus']"
4,SilTex_swine_ILSVRC2012_val_00031491_st.jpg,hog,"['hog', 'ox', 'plastic bag', 'Sealyham terrier', 'wild boar']"
5,SilTex_airplane_ILSVRC2012_val_00023781_st.jpg,warplane,"['warplane', 'airliner', 'wing', 'projectile', 'stretcher']"
6,SilTex_dog_ILSVRC2012_val_00046583_st.jpg,breastplate,"['breastplate', 'cuirass', 'hen-of-the-woods', 'isopod', 'mask']"
7,SilTex_cat_ILSVRC2012_val_00013550_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'triceratops', 'Kerry blue terrier', 'bloodhound', 'Irish wolfhound']"
8,SilTex_spider_ILSVRC2012_val_00026030_st.jpg,barn spider,"['barn spider', 'garden spider', 'tick', 'spider web', 'isopod']"
9,SilTex_bird_ILSVRC2012_val_00007153_st.jpg,bulletproof vest,"['bulletproof vest', 'breastplate', 'cuirass', 'pickelhaube', 'crash helmet']"
10,SilTex_strawberry_ILSVRC2012_val_00037522_st.jpg,strawberry,"['strawberry', 'trifle', 'chocolate sauce', 'pomegranate', 'fig']"
11,SilTex_frog_ILSVRC2012_val_00010287_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'coral fungus', 'tailed frog', 'earthstar']"
12,SilTex_acorn_ILSVRC2012_val_00031536_st.jpg,hen-of-the-woods,"['hen-of-the-woods', 'chiton', 'beaver', 'cliff', 'isopod']"
13,SilTex_fish_ILSVRC2012_val_00021343_st.jpg,platypus,"['platypus', 'gar', 'sturgeon', 'stretcher', 'barracouta']"
14,SilTex_monkey_ILSVRC2012_val_00003631_st.jpg,proboscis monkey,"['proboscis monkey', 'patas', 'langur', 'guenon', 'titi']"
15,SilTex_snake_ILSVRC2012_val_00006751_st.jpg,nematode,"['nematode', 'bow', 'sea snake', 'flatworm', 'thunder snake']"
16,SilTex_guitar_ILSVRC2012_val_00019484_st.jpg,electric guitar,"['electric guitar', 'banjo', 'acoustic guitar', 'violin', 'hair slide']"
17,SilTex_hippopotamus_ILSVRC2012_val_00032449_st.jpg,plastic bag,"['plastic bag', 'breastplate', 'shower curtain', 'hippopotamus', 'fire screen']"
18,SilTex_car_ILSVRC2012_val_00034824_st.jpg,stretcher,"['stretcher', 'racer', 'chain saw', 'snowmobile', 'sleeping bag']"
19,SilTex_guitar_ILSVRC2012_val_00021556_st.jpg,electric guitar,"['electric guitar', 'acoustic guitar', 'pick', 'banjo', 'bulletproof vest']"
