,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,sidewinder,"['sidewinder', 'banded gecko', 'mud turtle', 'horned viper', 'Indian cobra']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'capuchin', 'baboon', 'gibbon', 'rotisserie']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'artichoke', 'acorn', 'custard apple', 'bee']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,isopod,"['isopod', 'king crab', 'crayfish', 'sea urchin', 'ant']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,fur coat,"['fur coat', 'Dandie Dinmont', 'knot', 'otterhound', 'platypus']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,water jug,"['water jug', 'gasmask', 'loupe', 'drumstick', 'bearskin']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral fungus', 'sea urchin', 'frying pan', 'wok']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,bull mastiff,"['bull mastiff', 'Arabian camel', 'malinois', 'Indian elephant', 'bloodhound']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'bookshop', 'submarine', 'aircraft carrier', 'plastic bag']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,Mexican hairless,"['Mexican hairless', 'hippopotamus', 'Indian elephant', 'sea lion', 'sarong']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,Arabian camel,"['Arabian camel', 'wombat', 'spindle', 'Irish terrier', 'safety pin']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'lab coat', 'tow truck', 'dial telephone', 'Mexican hairless']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,grey fox,"['grey fox', 'wood rabbit', 'fox squirrel', 'spaghetti squash', 'goldfish']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,bannister,"['bannister', 'shield', 'clog', 'nail', 'barrel']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'tick', 'Ibizan hound', 'fly', 'leaf beetle']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,pelican,"['pelican', 'albatross', 'trimaran', 'amphibian', 'cradle']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'pot', 'pineapple', 'cauliflower', 'sea anemone']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,hand blower,"['hand blower', 'knee pad', 'hammer', 'hand-held computer', 'spotlight']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'stopwatch', 'scale', 'magnetic compass']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,patas,"['patas', 'hare', 'macaque', 'baboon', 'ibex']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,rocking chair,"['rocking chair', 'wooden spoon', 'hammer', 'guillotine', 'mortarboard']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'goblet', 'medicine chest', 'ballplayer', 'abaya']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,Bedlington terrier,"['Bedlington terrier', 'standard poodle', 'American Staffordshire terrier', 'hog', 'ram']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,Samoyed,"['Samoyed', 'Great Pyrenees', 'loudspeaker', 'mantis', 'mosque']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,Irish water spaniel,"['Irish water spaniel', 'brown bear', 'ox', 'Tibetan terrier', 'fountain pen']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'wallaby', 'African hunting dog', 'meerkat', 'malinois']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,stone wall,"['stone wall', 'lumbermill', 'tile roof', 'breakwater', 'coil']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,ant,"['ant', 'Granny Smith', 'cricket', 'tick', 'buckeye']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,Labrador retriever,"['Labrador retriever', 'beagle', 'kuvasz', 'Walker hound', 'bonnet']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,king snake,"['king snake', 'hognose snake', 'loggerhead', 'bicycle-built-for-two', 'Gila monster']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,ear,"['ear', 'honeycomb', 'Persian cat', 'trench coat', 'hay']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,crayfish,"['crayfish', 'hen-of-the-woods', 'honeycomb', 'sea urchin', 'velvet']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,pencil box,"['pencil box', 'paintbrush', 'buckle', 'wallet', 'Loafer']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,mouse,"['mouse', 'toilet seat', 'joystick', 'neck brace', 'soap dispenser']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,tree frog,"['tree frog', 'green snake', 'green mamba', 'vine snake', 'green lizard']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,motor scooter,"['motor scooter', 'sports car', 'crash helmet', 'dishrag', 'king penguin']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,titi,"['titi', 'mongoose', 'fox squirrel', 'squirrel monkey', 'koala']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,padlock,"['padlock', 'revolver', 'rifle', 'assault rifle', 'cannon']"
