,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,hair slide,"['hair slide', 'flatworm', 'skunk', 'porcupine', 'chain mail']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,skunk,"['skunk', 'porcupine', 'hair slide', 'mink', 'quill']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,hair slide,"['hair slide', 'Christmas stocking', 'skunk', 'quill', 'maraca']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,chain mail,"['chain mail', 'strainer', 'chain', 'whistle', 'hair slide']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,nematode,"['nematode', 'sea snake', 'king snake', 'ant', 'night snake']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,coil,"['coil', 'knot', 'hair slide', 'skunk', 'flatworm']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,hair slide,"['hair slide', 'skunk', 'flatworm', 'quill', 'hand blower']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,skunk,"['skunk', 'hair slide', 'Irish water spaniel', 'Bernese mountain dog', 'mink']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,prayer rug,"['prayer rug', 'stole', 'hair slide', 'chain mail', 'Kerry blue terrier']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,Scottish deerhound,"['Scottish deerhound', 'affenpinscher', 'cheetah', 'Irish wolfhound', 'Irish water spaniel']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,skunk,"['skunk', 'porcupine', 'hair slide', 'tabby', 'Irish water spaniel']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,ant,"['ant', 'hair slide', 'dogsled', 'banded gecko', 'bighorn']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'hair slide', 'ant', 'tick', 'tarantula']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,hair slide,"['hair slide', 'ant', 'chain saw', 'skunk', 'banded gecko']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,pot,"['pot', 'hair slide', 'necklace', 'ant', 'daisy']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,ant,"['ant', 'hair slide', 'pot', 'skunk', 'chain saw']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,hair slide,"['hair slide', 'quill', 'chain saw', 'hatchet', 'letter opener']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'ant', 'hair slide', 'warplane', 'banded gecko']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,hair slide,"['hair slide', 'starfish', 'pot', 'face powder', 'hand blower']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,pot,"['pot', 'jigsaw puzzle', 'balloon', 'ant', 'airship']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,hair slide,"['hair slide', 'pole', 'crane', 'oboe', 'pot']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,hair slide,"['hair slide', 'American alligator', 'ant', 'banded gecko', 'Gila monster']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,pot,"['pot', 'skunk', 'daisy', 'hair slide', 'ant']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,skunk,"['skunk', 'hair slide', 'jigsaw puzzle', 'pot', 'face powder']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,hair slide,"['hair slide', 'Kerry blue terrier', 'starfish', 'cheetah', 'Irish water spaniel']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Irish water spaniel,"['Irish water spaniel', 'skunk', 'Kerry blue terrier', 'hair slide', 'affenpinscher']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,skunk,"['skunk', 'pot', 'hair slide', 'vase', 'porcupine']"
27,Cro5dva_v07_gun_ILSVRC2012_val_00018910_cd.jpg,hair slide,"['hair slide', 'ant', 'banded gecko', 'warplane', 'triceratops']"
28,Cro5dva_v07_fish_ILSVRC2012_val_00032417_cd.jpg,starfish,"['starfish', 'hair slide', 'African chameleon', 'Gila monster', 'chain mail']"
29,Cro5dva_v07_squirrel_ILSVRC2012_val_00042981_cd.jpg,skunk,"['skunk', 'pot', 'ant', 'Irish water spaniel', 'hair slide']"
30,Cro5dva_v07_butterfly_ILSVRC2012_val_00025307_cd.jpg,ant,"['ant', 'maraca', 'tick', 'bee', 'quill']"
31,Cro5dva_v07_snail_ILSVRC2012_val_00001959_cd.jpg,hair slide,"['hair slide', 'maraca', 'tick', 'ant', 'barn spider']"
32,Cro5dva_v07_chair_ILSVRC2012_val_00004120_cd.jpg,hair slide,"['hair slide', 'Christmas stocking', 'safety pin', 'ant', 'folding chair']"
33,Cro5dva_v07_bird_ILSVRC2012_val_00028363_cd.jpg,skunk,"['skunk', 'hair slide', 'flatworm', 'ant', 'porcupine']"
34,Cro5dva_v07_bee_ILSVRC2012_val_00017418_cd.jpg,hair slide,"['hair slide', 'ant', 'skunk', 'face powder', 'flatworm']"
35,Cro5dva_v07_guitar_ILSVRC2012_val_00021556_cd.jpg,oboe,"['oboe', 'hair slide', 'maypole', 'violin', 'banjo']"
36,Cro5dva_v07_bellpepper_ILSVRC2012_val_00000423_cd.jpg,chain mail,"['chain mail', 'hair slide', 'wig', 'quill', 'honeycomb']"
37,Cro5dva_v07_snake_ILSVRC2012_val_00014926_cd.jpg,necklace,"['necklace', 'nematode', 'hair slide', 'knot', 'Gila monster']"
