,image_path,top1_class,top5_class
0,LinFil_tiger_ILSVRC2012_val_00015897_lf.jpg,magpie,"['magpie', 'chainlink fence', 'comic book', 'toucan', 'pillow']"
1,LinFil_crab_ILSVRC2012_val_00008705_lf.jpg,magpie,"['magpie', 'black grouse', 'bald eagle', 'toucan', 'vulture']"
2,LinFil_dog_ILSVRC2012_val_00012566_lf.jpg,howler monkey,"['howler monkey', 'velvet', 'black grouse', 'comic book', 'shower curtain']"
3,LinFil_bird_ILSVRC2012_val_00028363_lf.jpg,comic book,"['comic book', 'Gila monster', 'bullfrog', 'platypus', 'horned viper']"
4,LinFil_rabbit_ILSVRC2012_val_00044412_lf.jpg,howler monkey,"['howler monkey', 'magpie', 'bald eagle', 'indri', 'comic book']"
5,LinFil_snake_ILSVRC2012_val_00027631_lf.jpg,prayer rug,"['prayer rug', 'chain mail', 'doormat', 'Gila monster', 'king snake']"
6,LinFil_bellpepper_ILSVRC2012_val_00028090_lf.jpg,ruffed grouse,"['ruffed grouse', 'vulture', 'magpie', 'proboscis monkey', 'bald eagle']"
7,LinFil_apple_ILSVRC2012_val_00000023_lf.jpg,envelope,"['envelope', 'comic book', 'plate rack', 'paper towel', 'pillow']"
8,LinFil_cat_ILSVRC2012_val_00031180_lf.jpg,ruffed grouse,"['ruffed grouse', 'comic book', 'magpie', 'proboscis monkey', 'howler monkey']"
9,LinFil_hippopotamus_ILSVRC2012_val_00045847_lf.jpg,toucan,"['toucan', 'magpie', 'hornbill', 'ruffed grouse', 'vulture']"
10,LinFil_fish_ILSVRC2012_val_00014195_lf.jpg,Gila monster,"['Gila monster', 'head cabbage', 'horned viper', 'king snake', 'brain coral']"
11,LinFil_corn_ILSVRC2012_val_00010495_lf.jpg,chain mail,"['chain mail', 'chain', 'dishrag', 'honeycomb', 'chainlink fence']"
12,LinFil_cabbage_ILSVRC2012_val_00037102_lf.jpg,howler monkey,"['howler monkey', 'indri', 'comic book', 'spider monkey', 'colobus']"
13,LinFil_snake_ILSVRC2012_val_00014926_lf.jpg,comic book,"['comic book', 'spotted salamander', 'shower curtain', 'book jacket', 'velvet']"
14,LinFil_tiger_ILSVRC2012_val_00030651_lf.jpg,comic book,"['comic book', 'magpie', 'book jacket', 'black grouse', 'head cabbage']"
15,LinFil_hammer_ILSVRC2012_val_00028069_lf.jpg,stone wall,"['stone wall', 'rifle', 'comic book', 'scorpion', 'ant']"
16,LinFil_bear_ILSVRC2012_val_00020441_lf.jpg,magpie,"['magpie', 'howler monkey', 'ruffed grouse', 'bald eagle', 'toucan']"
17,LinFil_clock_ILSVRC2012_val_00041461_lf.jpg,comic book,"['comic book', 'sewing machine', 'menu', 'guillotine', 'rifle']"
18,LinFil_guitar_ILSVRC2012_val_00029538_lf.jpg,sewing machine,"['sewing machine', 'comic book', 'guillotine', 'pillow', 'menu']"
19,LinFil_pineapple_ILSVRC2012_val_00009015_lf.jpg,magpie,"['magpie', 'toucan', 'howler monkey', 'ruffed grouse', 'bald eagle']"
20,LinFil_butterfly_ILSVRC2012_val_00042436_lf.jpg,Gila monster,"['Gila monster', 'pillow', 'comic book', 'prayer rug', 'shower curtain']"
21,LinFil_butterfly_ILSVRC2012_val_00013795_lf.jpg,robin,"['robin', 'ant', 'comic book', 'vulture', 'magpie']"
22,LinFil_banana_ILSVRC2012_val_00049606_lf.jpg,spider web,"['spider web', 'vulture', 'proboscis monkey', 'nematode', 'magpie']"
23,LinFil_broccoli_ILSVRC2012_val_00019851_lf.jpg,indri,"['indri', 'howler monkey', 'colobus', 'orangutan', 'chain saw']"
