,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,American black bear,"['American black bear', 'frying pan', 'electric ray', 'chiton', 'strawberry']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,honeycomb,"['honeycomb', 'strawberry', 'custard apple', 'knee pad', 'Newfoundland']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,ski mask,"['ski mask', 'knee pad', 'Christmas stocking', 'bearskin', 'vase']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,American coot,"['American coot', 'black grouse', 'caldron', 'hen', 'European gallinule']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,sleeping bag,"['sleeping bag', 'abaya', 'Newfoundland', 'Labrador retriever', 'groenendael']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,gorilla,"['gorilla', 'standard poodle', 'Newfoundland', 'giant schnauzer', 'Bouvier des Flandres']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,Cardigan,"['Cardigan', 'kelpie', 'Newfoundland', 'mink', 'schipperke']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffeepot,"['coffeepot', 'coffee mug', 'water jug', 'pitcher', 'cup']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,kelpie,"['kelpie', 'Great Dane', 'Staffordshire bullterrier', 'sorrel', 'Boston bull']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,Newfoundland,"['Newfoundland', 'Cardigan', 'schipperke', 'kelpie', 'Labrador retriever']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'tick', 'spider web']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,frying pan,"['frying pan', 'wok', 'gong', 'ping-pong ball', 'puck']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,brassiere,"['brassiere', 'electric ray', 'grey whale', 'bloodhound', 'frying pan']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,ibex,"['ibex', 'gorilla', 'Scottish deerhound', 'Egyptian cat', 'chimpanzee']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,albatross,"['albatross', 'microphone', 'Egyptian cat', 'maraca', 'hatchet']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,vulture,"['vulture', 'gorilla', 'cricket', 'grasshopper', 'European gallinule']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,electric ray,"['electric ray', 'pomegranate', 'gong', 'frying pan', 'strawberry']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,sleeping bag,"['sleeping bag', 'cleaver', 'envelope', 'mortarboard', 'academic gown']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,cleaver,"['cleaver', 'kelpie', 'barracouta', 'mink', 'grey whale']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,barn spider,"['barn spider', 'tick', 'king crab', 'garden spider', 'earthstar']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'brown bear', 'giant schnauzer', 'Bouvier des Flandres', 'gorilla']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,strawberry,"['strawberry', 'daisy', 'pot', 'cock', 'earthstar']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,black stork,"['black stork', 'vulture', 'isopod', 'ibex', 'bald eagle']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,nail,"['nail', 'dumbbell', 'joystick', 'academic gown', 'microphone']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'flat-coated retriever', 'Irish wolfhound', 'curly-coated retriever', 'Labrador retriever']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,frying pan,"['frying pan', 'gong', 'puck', 'wok', 'ping-pong ball']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,neck brace,"['neck brace', 'ringneck snake', 'hook', 'ski mask', 'loupe']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,albatross,"['albatross', 'hatchet', 'hammer', 'can opener', 'hook']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'mink', 'weasel', 'nematode', 'gorilla']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,whistle,"['whistle', 'can opener', 'hook', 'corkscrew', 'microphone']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,hog,"['hog', 'ox', 'vulture', 'black grouse', 'water buffalo']"
31,Sil_airplane_ILSVRC2012_val_00049097_s.jpg,warplane,"['warplane', 'hammerhead', 'wing', 'airliner', 'kite']"
32,Sil_squirrel_ILSVRC2012_val_00042981_s.jpg,Newfoundland,"['Newfoundland', 'gorilla', 'ibex', 'Irish water spaniel', 'flat-coated retriever']"
33,Sil_frog_ILSVRC2012_val_00041279_s.jpg,Arabian camel,"['Arabian camel', 'ibex', 'triceratops', 'capuchin', 'banded gecko']"
34,Sil_monkey_ILSVRC2012_val_00003631_s.jpg,Newfoundland,"['Newfoundland', 'Labrador retriever', 'Great Dane', 'black-and-tan coonhound', 'gorilla']"
