,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Angora', 'coral reef', 'brain coral', 'coral fungus']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'chain', 'corkscrew', 'German short-haired pointer', 'hook']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'chain mail', 'poncho', 'sarong']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'Windsor tie', 'hen-of-the-woods', 'ruddy turnstone', 'honeycomb']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,electric guitar,"['electric guitar', 'beer bottle', 'wine bottle', 'dumbbell', 'red wine']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,dumbbell,"['dumbbell', 'maze', 'waffle iron', 'computer keyboard', 'barbell']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,padlock,"['padlock', 'jigsaw puzzle', 'window screen', 'dumbbell', 'library']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,candle,"['candle', 'bell pepper', 'honeycomb', 'gyromitra', ""jack-o'-lantern""]"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,loudspeaker,"['loudspeaker', 'buckle', 'library', 'monitor', 'dumbbell']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'chain mail', 'bee', 'apiary', 'red-backed sandpiper']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'pineapple', 'brain coral', 'honeycomb']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,honeycomb,"['honeycomb', 'electric guitar', 'hair slide', 'dumbbell', 'buckle']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,honeycomb,"['honeycomb', 'corn', 'daisy', 'handkerchief', 'diaper']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'red-backed sandpiper', 'ruddy turnstone', 'coral fungus']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'potpie', 'hen-of-the-woods', 'cauliflower', 'coral reef']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'honeycomb', 'candle', 'hen-of-the-woods', 'sea slug']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,indri,"['indri', 'hen-of-the-woods', 'honeycomb', 'titi', 'earthstar']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'lynx', 'mongoose', 'fox squirrel', 'hen-of-the-woods']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'honeycomb', 'cauliflower', 'brain coral', 'coral reef']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,corn,"['corn', 'mashed potato', 'butternut squash', 'jigsaw puzzle', 'honeycomb']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'fiddler crab', 'velvet', 'king crab', 'whiptail']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,rifle,"['rifle', 'plane', 'assault rifle', 'chain', 'dumbbell']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,velvet,"['velvet', 'cinema', 'theater curtain', 'maze', 'Windsor tie']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,honeycomb,"['honeycomb', 'valley', 'cliff', 'brain coral', 'hen-of-the-woods']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'conch', 'honeycomb', 'head cabbage', 'coral fungus']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'barbell', 'jigsaw puzzle', 'volleyball', 'academic gown']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,projectile,"['projectile', 'warplane', 'missile', 'rifle', 'tank']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,proboscis monkey,"['proboscis monkey', 'Blenheim spaniel', 'patas', 'collie', 'titi']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,Tibetan terrier,"['Tibetan terrier', 'briard', 'Afghan hound', 'Sussex spaniel', 'soft-coated wheaten terrier']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'plastic bag', 'cauliflower', 'jigsaw puzzle']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'switch', 'hook', 'refrigerator', 'desk']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'Siamese cat', 'artichoke', 'hog', 'coral reef']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,velvet,"['velvet', 'hen-of-the-woods', 'shower curtain', 'wool', 'poncho']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,velvet,"['velvet', 'shower curtain', 'poncho', 'hen-of-the-woods', 'wool']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,maze,"['maze', 'manhole cover', 'panpipe', 'jigsaw puzzle', 'dumbbell']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'cardoon', 'earthstar', 'bee']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,computer keyboard,"['computer keyboard', 'Old English sheepdog', 'Angora', 'hen-of-the-woods', 'Arctic fox']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'mushroom', 'coral fungus', 'earthstar', 'stole']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,coral reef,"['coral reef', 'bell pepper', 'hen-of-the-woods', 'brain coral', 'jigsaw puzzle']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,velvet,"['velvet', 'sarong', 'shower curtain', 'wool', 'hen-of-the-woods']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,rocking chair,"['rocking chair', 'restaurant', 'panpipe', 'jigsaw puzzle', 'dining table']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,computer keyboard,"['computer keyboard', 'desk', 'honeycomb', 'maze', 'digital clock']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'coral reef', 'hen-of-the-woods', 'cauliflower', 'broccoli']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,desk,"['desk', 'medicine chest', 'safe', 'sewing machine', 'paper towel']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,thimble,"['thimble', 'tile roof', 'maze', 'nail', 'honeycomb']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,rifle,"['rifle', ""carpenter's kit"", 'scabbard', 'corkscrew', 'hair slide']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'bee', 'earthstar', 'apiary']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'honeycomb', 'head cabbage', 'velvet', 'fig']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,sea anemone,"['sea anemone', 'coral reef', 'Granny Smith', 'sea slug', 'bell pepper']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'bee', 'honeycomb', 'pineapple', 'earthstar']"
50,Tex_cat_ILSVRC2012_val_00000796_t.jpg,tabby,"['tabby', 'tiger cat', 'hen-of-the-woods', 'tiger', 'honeycomb']"
51,Tex_turtle_ILSVRC2012_val_00036345_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'velvet', 'potpie', 'tray']"
52,Tex_clock_ILSVRC2012_val_00017693_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'desk', 'honeycomb', 'carton']"
53,Tex_fish_ILSVRC2012_val_00047320_t.jpg,hammerhead,"['hammerhead', 'warplane', 'Windsor tie', 'drake', 'aircraft carrier']"
54,Tex_monkey_ILSVRC2012_val_00030191_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'Airedale', 'standard poodle', 'brain coral']"
55,Tex_horse_ILSVRC2012_val_00008317_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'gyromitra', 'coral reef', 'coral fungus', 'earthstar']"
56,Tex_shoe_ILSVRC2012_val_00019717_t.jpg,wine bottle,"['wine bottle', 'chain', 'beer bottle', 'hand blower', 'chain mail']"
57,Tex_camel_ILSVRC2012_val_00003409_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'earthstar', 'coral fungus', 'velvet']"
58,Tex_apple_ILSVRC2012_val_00012232_t.jpg,Granny Smith,"['Granny Smith', 'artichoke', 'custard apple', 'strawberry', 'pomegranate']"
59,Tex_car_ILSVRC2012_val_00010455_t.jpg,shoe shop,"['shoe shop', 'running shoe', 'brassiere', 'seashore', 'cowboy hat']"
60,Tex_snail_ILSVRC2012_val_00018951_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'chain mail', 'brain coral', 'nematode', 'honeycomb']"
61,Tex_hammer_ILSVRC2012_val_00015583_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'rifle', 'assault rifle', 'aircraft carrier', 'maze']"
62,Tex_crocodilian_ILSVRC2012_val_00018666_t.jpg,fiddler crab,"['fiddler crab', 'screw', 'conch', 'trilobite', 'maze']"
63,Tex_turtle_ILSVRC2012_val_00047941_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'brain coral', 'velvet', 'handkerchief', 'honeycomb']"
64,Tex_mushroom_ILSVRC2012_val_00038421_t.jpg,maze,"['maze', 'panpipe', 'paper towel', 'hen-of-the-woods', 'chain']"
65,Tex_elephant_ILSVRC2012_val_00040375_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'coral reef', 'mushroom', 'goldfish']"
66,Tex_banana_ILSVRC2012_val_00003412_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'candle', 'coral fungus', 'coral reef']"
67,Tex_spider_ILSVRC2012_val_00029156_t.jpg,dishrag,"['dishrag', 'wool', 'honeycomb', 'hen-of-the-woods', 'poncho']"
68,Tex_banana_ILSVRC2012_val_00046575_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'jigsaw puzzle', 'coral fungus', 'chain mail', 'nematode']"
69,Tex_frog_ILSVRC2012_val_00033769_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral reef', 'brain coral', 'stinkhorn']"
70,Tex_cabbage_ILSVRC2012_val_00007752_t.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'earthstar', 'coral fungus', 'artichoke']"
71,Tex_airplane_ILSVRC2012_val_00030531_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'ruddy turnstone', 'oystercatcher', 'warplane', 'aircraft carrier']"
72,Tex_rabbit_ILSVRC2012_val_00021667_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'wool', 'velvet', 'stole']"
73,Tex_microwave_ILSVRC2012_val_00027917_t.jpg,assault rifle,"['assault rifle', 'dumbbell', 'rifle', 'maze', 'stretcher']"
74,Tex_car_ILSVRC2012_val_00034824_t.jpg,tile roof,"['tile roof', 'honeycomb', 'hen-of-the-woods', 'jigsaw puzzle', 'coral fungus']"
75,Tex_pineapple_ILSVRC2012_val_00029522_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'velvet', 'dishrag', 'handkerchief', 'honeycomb']"
76,Tex_camel_ILSVRC2012_val_00013553_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'earthstar', 'mushroom', 'coral fungus']"
77,Tex_snake_ILSVRC2012_val_00027631_t.jpg,honeycomb,"['honeycomb', 'chain mail', 'hen-of-the-woods', 'velvet', 'coral fungus']"
78,Tex_dryer_ILSVRC2012_val_00027635_t.jpg,crayfish,"['crayfish', 'cockroach', 'beer bottle', 'wine bottle', 'eel']"
79,Tex_squirrel_ILSVRC2012_val_00035501_t.jpg,stole,"['stole', 'poncho', 'coral reef', 'brain coral', 'velvet']"
80,Tex_elephant_ILSVRC2012_val_00011247_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'coral reef', 'honeycomb', 'gyromitra', 'flatworm']"
81,Tex_mushroom_ILSVRC2012_val_00009394_t.jpg,agaric,"['agaric', 'hen-of-the-woods', 'mushroom', 'pretzel', 'coral fungus']"
82,Tex_butterfly_ILSVRC2012_val_00013795_t.jpg,red-backed sandpiper,"['red-backed sandpiper', 'ant', 'tennis ball', 'honeycomb', 'dowitcher']"
83,Tex_flower_ILSVRC2012_val_00048934_t.jpg,velvet,"['velvet', 'butternut squash', 'sarong', 'brain coral', 'hen-of-the-woods']"
84,Tex_cabbage_ILSVRC2012_val_00019287_t.jpg,custard apple,"['custard apple', 'jacamar', 'hen-of-the-woods', 'indigo bunting', 'artichoke']"
85,Tex_shoe_ILSVRC2012_val_00020303_t.jpg,wine bottle,"['wine bottle', 'screwdriver', 'beer bottle', 'rifle', 'warplane']"
86,Tex_bird_ILSVRC2012_val_00030545_t.jpg,coho,"['coho', 'barracouta', 'red-backed sandpiper', 'velvet', 'gar']"
