,image_path,top1_class,top5_class
0,Cro5dva_v07_turtle_ILSVRC2012_val_00049782_cd.jpg,face powder,"['face powder', 'Band Aid', 'sea urchin', 'electric ray', 'mitten']"
1,Cro5dva_v07_bear_ILSVRC2012_val_00031906_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'Afghan hound', 'skunk', 'leatherback turtle']"
2,Cro5dva_v07_bird_ILSVRC2012_val_00030545_cd.jpg,leatherback turtle,"['leatherback turtle', 'grey whale', 'ski', 'screw', 'mountain tent']"
3,Cro5dva_v07_mug_ILSVRC2012_val_00020276_cd.jpg,safety pin,"['safety pin', 'buckle', 'hair slide', 'face powder', 'nail']"
4,Cro5dva_v07_snake_ILSVRC2012_val_00006751_cd.jpg,corkscrew,"['corkscrew', 'nematode', 'sea snake', 'analog clock', 'hook']"
5,Cro5dva_v07_snake_ILSVRC2012_val_00013400_cd.jpg,screw,"['screw', 'hair slide', 'nail', 'sidewinder', 'horned viper']"
6,Cro5dva_v07_car_ILSVRC2012_val_00005456_cd.jpg,face powder,"['face powder', 'mitten', 'wool', 'hair slide', 'Kerry blue terrier']"
7,Cro5dva_v07_swine_ILSVRC2012_val_00031491_cd.jpg,leatherback turtle,"['leatherback turtle', 'Kerry blue terrier', 'mitten', 'terrapin', 'Bouvier des Flandres']"
8,Cro5dva_v07_squirrel_ILSVRC2012_val_00023383_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'wool', 'mitten', 'honeycomb']"
9,Cro5dva_v07_monkey_ILSVRC2012_val_00027323_cd.jpg,skunk,"['skunk', 'Kerry blue terrier', 'Bouvier des Flandres', 'Irish water spaniel', 'Scottish deerhound']"
10,Cro5dva_v07_bear_ILSVRC2012_val_00038263_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Irish water spaniel', 'Bouvier des Flandres', 'face powder', 'broccoli']"
11,Cro5dva_v07_airplane_ILSVRC2012_val_00023781_cd.jpg,warplane,"['warplane', 'airship', 'half track', 'web site', 'screw']"
12,Cro5dva_v07_spider_ILSVRC2012_val_00026030_cd.jpg,barn spider,"['barn spider', 'tick', 'ant', 'banded gecko', 'scorpion']"
13,Cro5dva_v07_lobster_ILSVRC2012_val_00047059_cd.jpg,half track,"['half track', 'web site', 'screw', 'skunk', 'hair slide']"
14,Cro5dva_v07_flower_ILSVRC2012_val_00022139_cd.jpg,face powder,"['face powder', 'Kerry blue terrier', 'honeycomb', 'hen-of-the-woods', 'pot']"
15,Cro5dva_v07_crab_ILSVRC2012_val_00011922_cd.jpg,web site,"['web site', 'half track', 'warplane', 'ant', 'kite']"
16,Cro5dva_v07_squirrel_ILSVRC2012_val_00035501_cd.jpg,nail,"['nail', 'analog clock', 'screw', 'digital clock', 'chain saw']"
17,Cro5dva_v07_spider_ILSVRC2012_val_00039661_cd.jpg,barn spider,"['barn spider', 'wolf spider', 'ant', 'nematode', 'banded gecko']"
18,Cro5dva_v07_mushroom_ILSVRC2012_val_00040625_cd.jpg,nail,"['nail', 'screw', 'hatchet', 'hammer', 'corkscrew']"
19,Cro5dva_v07_flower_ILSVRC2012_val_00048934_cd.jpg,airship,"['airship', 'web site', 'croquet ball', 'lakeside', 'thresher']"
20,Cro5dva_v07_hammer_ILSVRC2012_val_00001110_cd.jpg,screw,"['screw', 'nail', 'oboe', 'corkscrew', 'power drill']"
21,Cro5dva_v07_airplane_ILSVRC2012_val_00011168_cd.jpg,airship,"['airship', 'web site', 'screw', 'drilling platform', 'hair slide']"
22,Cro5dva_v07_flower_ILSVRC2012_val_00039137_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'face powder', 'hair slide', 'web site', 'honeycomb']"
23,Cro5dva_v07_camel_ILSVRC2012_val_00011354_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'skunk', 'Afghan hound', 'leatherback turtle']"
24,Cro5dva_v07_hammer_ILSVRC2012_val_00003387_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'leatherback turtle', 'weasel', 'Afghan hound']"
25,Cro5dva_v07_dog_ILSVRC2012_val_00028881_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'giant schnauzer', 'Irish water spaniel', 'briard']"
26,Cro5dva_v07_rabbit_ILSVRC2012_val_00013125_cd.jpg,Kerry blue terrier,"['Kerry blue terrier', 'banded gecko', 'leatherback turtle', 'web site', 'Bouvier des Flandres']"
