,image_path,top1_class,top5_class
0,Sil_acorn_ILSVRC2012_val_00031536_s.jpg,airship,"['airship', 'hog', 'American black bear', 'bison', 'puck']"
1,Sil_acorn_ILSVRC2012_val_00045517_s.jpg,knee pad,"['knee pad', 'bulletproof vest', 'sleeping bag', 'megalith', 'cuirass']"
2,Sil_bellpepper_ILSVRC2012_val_00028090_s.jpg,knee pad,"['knee pad', 'sleeping bag', 'ski mask', 'cowboy boot', 'megalith']"
3,Sil_bird_ILSVRC2012_val_00007153_s.jpg,American coot,"['American coot', 'black grouse', 'caldron', 'vulture', 'magpie']"
4,Sil_corn_ILSVRC2012_val_00019250_s.jpg,sleeping bag,"['sleeping bag', 'megalith', 'quill', 'stretcher', 'remote control']"
5,Sil_bear_ILSVRC2012_val_00041813_s.jpg,Kerry blue terrier,"['Kerry blue terrier', 'Bouvier des Flandres', 'teddy', 'American black bear', 'Brabancon griffon']"
6,Sil_swine_ILSVRC2012_val_00031491_s.jpg,curly-coated retriever,"['curly-coated retriever', 'mink', 'Irish water spaniel', 'Sussex spaniel', 'weasel']"
7,Sil_mug_ILSVRC2012_val_00027194_s.jpg,coffee mug,"['coffee mug', 'water jug', 'whiskey jug', 'pitcher', 'milk can']"
8,Sil_horse_ILSVRC2012_val_00008317_s.jpg,Scottish deerhound,"['Scottish deerhound', 'curly-coated retriever', 'Mexican hairless', 'groenendael', 'standard poodle']"
9,Sil_crab_ILSVRC2012_val_00003272_s.jpg,mink,"['mink', 'Newfoundland', 'American black bear', 'black-footed ferret', 'skunk']"
10,Sil_spider_ILSVRC2012_val_00008805_s.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'black widow', 'wolf spider']"
11,Sil_clock_ILSVRC2012_val_00035461_s.jpg,gong,"['gong', 'puck', 'pick', 'face powder', 'drum']"
12,Sil_snail_ILSVRC2012_val_00045031_s.jpg,curly-coated retriever,"['curly-coated retriever', 'mink', 'nail', 'ostrich', 'Irish water spaniel']"
13,Sil_frog_ILSVRC2012_val_00022660_s.jpg,scorpion,"['scorpion', 'siamang', 'African chameleon', 'capuchin', 'banded gecko']"
14,Sil_squirrel_ILSVRC2012_val_00035501_s.jpg,mink,"['mink', 'American black bear', 'curly-coated retriever', 'Bouvier des Flandres', 'vulture']"
15,Sil_frog_ILSVRC2012_val_00010287_s.jpg,black grouse,"['black grouse', 'mink', 'triceratops', 'vulture', 'kite']"
16,Sil_cabbage_ILSVRC2012_val_00007752_s.jpg,gong,"['gong', 'gasmask', 'frying pan', 'puck', 'face powder']"
17,Sil_microwave_ILSVRC2012_val_00038763_s.jpg,cleaver,"['cleaver', 'binder', 'studio couch', 'wallet', 'sleeping bag']"
18,Sil_fish_ILSVRC2012_val_00021343_s.jpg,quill,"['quill', 'hatchet', 'screwdriver', 'hammer', 'kite']"
19,Sil_spider_ILSVRC2012_val_00029756_s.jpg,tick,"['tick', 'barn spider', 'garden spider', 'isopod', 'black and gold garden spider']"
20,Sil_hippopotamus_ILSVRC2012_val_00032449_s.jpg,American black bear,"['American black bear', 'hog', 'wild boar', 'schipperke', 'brown bear']"
21,Sil_flower_ILSVRC2012_val_00013936_s.jpg,hen-of-the-woods,"['hen-of-the-woods', 'panpipe', 'broccoli', 'matchstick', 'black grouse']"
22,Sil_pineapple_ILSVRC2012_val_00012582_s.jpg,vulture,"['vulture', 'quill', 'bald eagle', 'black stork', 'ibex']"
23,Sil_hammer_ILSVRC2012_val_00001110_s.jpg,hammer,"['hammer', 'screw', 'nail', 'hatchet', 'pole']"
24,Sil_dog_ILSVRC2012_val_00012566_s.jpg,Newfoundland,"['Newfoundland', 'curly-coated retriever', 'briard', 'mink', 'flat-coated retriever']"
25,Sil_apple_ILSVRC2012_val_00000023_s.jpg,gong,"['gong', 'puck', 'chime', 'drum', 'ping-pong ball']"
26,Sil_snake_ILSVRC2012_val_00013400_s.jpg,hook,"['hook', 'horned viper', 'safety pin', 'neck brace', 'sidewinder']"
27,Sil_hammer_ILSVRC2012_val_00003387_s.jpg,hammer,"['hammer', 'hatchet', 'nail', 'hook', 'can opener']"
28,Sil_camel_ILSVRC2012_val_00006200_s.jpg,Arabian camel,"['Arabian camel', 'mink', 'weasel', 'skunk', 'curly-coated retriever']"
29,Sil_dryer_ILSVRC2012_val_00027635_s.jpg,corkscrew,"['corkscrew', 'assault rifle', 'stretcher', 'rifle', 'whistle']"
30,Sil_bird_ILSVRC2012_val_00028363_s.jpg,bison,"['bison', 'ox', 'vulture', 'American black bear', 'ibex']"
