,image_path,top1_class,top5_class
0,Tex_cat_ILSVRC2012_val_00031180_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'volcano', 'Samoyed', 'coral reef']"
1,Tex_clock_ILSVRC2012_val_00035392_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'bakery', 'dough', 'chain mail', 'chocolate sauce']"
2,Tex_spider_ILSVRC2012_val_00008805_t.jpg,chain mail,"['chain mail', 'honeycomb', 'wool', 'stole', 'chain']"
3,Tex_bird_ILSVRC2012_val_00004344_t.jpg,coho,"['coho', 'indigo bunting', 'jay', 'water bottle', 'solar dish']"
4,Tex_guitar_ILSVRC2012_val_00036762_t.jpg,bow tie,"['bow tie', 'velvet', 'beer bottle', 'stole', 'prayer rug']"
5,Tex_dryer_ILSVRC2012_val_00038783_t.jpg,dumbbell,"['dumbbell', 'maze', 'computer keyboard', 'space bar', 'typewriter keyboard']"
6,Tex_chair_ILSVRC2012_val_00001953_t.jpg,shoe shop,"['shoe shop', 'cowboy hat', 'waffle iron', 'chocolate sauce', 'tobacco shop']"
7,Tex_bellpepper_ILSVRC2012_val_00000423_t.jpg,gyromitra,"['gyromitra', 'coral reef', 'sea slug', 'coral fungus', 'flatworm']"
8,Tex_microwave_ILSVRC2012_val_00038763_t.jpg,carpenter's kit,"[""carpenter's kit"", 'binoculars', 'recreational vehicle', 'Polaroid camera', 'binder']"
9,Tex_bee_ILSVRC2012_val_00017418_t.jpg,honeycomb,"['honeycomb', 'bee', 'hen-of-the-woods', 'wool', 'coral reef']"
10,Tex_cat_ILSVRC2012_val_00001341_t.jpg,pineapple,"['pineapple', 'jackfruit', 'dough', 'pizza', 'waffle iron']"
11,Tex_guitar_ILSVRC2012_val_00019484_t.jpg,consomme,"['consomme', 'chainlink fence', 'drum', 'butternut squash', 'pick']"
12,Tex_flower_ILSVRC2012_val_00013936_t.jpg,daisy,"['daisy', 'shower curtain', 'coral reef', 'dishrag', 'paper towel']"
13,Tex_lobster_ILSVRC2012_val_00028657_t.jpg,wool,"['wool', 'chain mail', 'stole', 'poncho', 'komondor']"
14,Tex_broccoli_ILSVRC2012_val_00004207_t.jpg,broccoli,"['broccoli', 'guacamole', 'head cabbage', 'custard apple', 'coral reef']"
15,Tex_helmet_ILSVRC2012_val_00049691_t.jpg,goldfish,"['goldfish', 'conch', 'chocolate sauce', 'volcano', 'stinkhorn']"
16,Tex_frog_ILSVRC2012_val_00041279_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'buckeye', 'bee', 'tailed frog']"
17,Tex_cat_ILSVRC2012_val_00038913_t.jpg,conch,"['conch', 'wool', 'hen-of-the-woods', 'shoe shop', 'plastic bag']"
18,Tex_cabbage_ILSVRC2012_val_00005749_t.jpg,head cabbage,"['head cabbage', 'cauliflower', 'custard apple', 'coral reef', 'shower cap']"
19,Tex_banana_ILSVRC2012_val_00038819_t.jpg,head cabbage,"['head cabbage', 'hen-of-the-woods', 'custard apple', 'dough', 'gyromitra']"
20,Tex_crab_ILSVRC2012_val_00003272_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'king crab', 'coho', 'Dutch oven', 'Dungeness crab']"
21,Tex_gun_ILSVRC2012_val_00018910_t.jpg,plane,"['plane', 'dumbbell', 'hatchet', 'shoe shop', 'rifle']"
22,Tex_dryer_ILSVRC2012_val_00013313_t.jpg,coral reef,"['coral reef', 'velvet', 'brain coral', 'wool', 'goldfish']"
23,Tex_crocodilian_ILSVRC2012_val_00037166_t.jpg,wool,"['wool', 'stone wall', 'poncho', 'stole', 'dishrag']"
24,Tex_crocodilian_ILSVRC2012_val_00038647_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'conch', 'wool', 'dishrag']"
25,Tex_car_ILSVRC2012_val_00037128_t.jpg,dumbbell,"['dumbbell', 'barbell', 'tank', 'aircraft carrier', 'missile']"
26,Tex_airplane_ILSVRC2012_val_00023781_t.jpg,shoe shop,"['shoe shop', 'coho', 'warplane', 'missile', 'clog']"
27,Tex_monkey_ILSVRC2012_val_00003631_t.jpg,wool,"['wool', 'pizza', 'custard apple', 'conch', 'coral reef']"
28,Tex_bear_ILSVRC2012_val_00031906_t.jpg,wool,"['wool', 'hen-of-the-woods', 'dishrag', 'cocker spaniel', 'stole']"
29,Tex_snail_ILSVRC2012_val_00045031_t.jpg,pizza,"['pizza', 'bakery', 'hen-of-the-woods', 'head cabbage', 'honeycomb']"
30,Tex_clock_ILSVRC2012_val_00028769_t.jpg,sewing machine,"['sewing machine', 'power drill', 'lifeboat', 'hand blower', 'washbasin']"
31,Tex_camel_ILSVRC2012_val_00011354_t.jpg,coral fungus,"['coral fungus', 'hen-of-the-woods', 'mashed potato', 'volcano', 'conch']"
32,Tex_tiger_ILSVRC2012_val_00030651_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'swimming trunks', 'shower curtain', 'honeycomb']"
33,Tex_tiger_ILSVRC2012_val_00005323_t.jpg,tiger,"['tiger', 'tiger cat', 'shower curtain', 'fur coat', 'swimming trunks']"
34,Tex_hammer_ILSVRC2012_val_00001110_t.jpg,maze,"['maze', 'marimba', 'matchstick', 'panpipe', 'chain']"
35,Tex_pineapple_ILSVRC2012_val_00009015_t.jpg,honeycomb,"['honeycomb', 'buckeye', 'hen-of-the-woods', 'bee', 'wool']"
36,Tex_dog_ILSVRC2012_val_00010378_t.jpg,steam locomotive,"['steam locomotive', 'fur coat', 'volcano', 'coral fungus', 'Old English sheepdog']"
37,Tex_snail_ILSVRC2012_val_00046248_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'honeycomb', 'coral reef', 'trifle', 'gyromitra']"
38,Tex_bellpepper_ILSVRC2012_val_00048089_t.jpg,Granny Smith,"['Granny Smith', 'bell pepper', 'custard apple', 'head cabbage', 'jackfruit']"
39,Tex_tiger_ILSVRC2012_val_00015897_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'wool', 'stole', 'honeycomb', 'swimming trunks']"
40,Tex_chair_ILSVRC2012_val_00041720_t.jpg,jigsaw puzzle,"['jigsaw puzzle', 'maze', 'chain mail', 'cuirass', 'cowboy hat']"
41,Tex_microwave_ILSVRC2012_val_00047421_t.jpg,carpenter's kit,"[""carpenter's kit"", 'dishwasher', 'strainer', 'refrigerator', 'shoe shop']"
42,Tex_cabbage_ILSVRC2012_val_00037102_t.jpg,head cabbage,"['head cabbage', 'coral reef', 'artichoke', 'stone wall', 'cauliflower']"
43,Tex_microwave_ILSVRC2012_val_00037721_t.jpg,desk,"['desk', 'photocopier', 'entertainment center', 'medicine chest', 'recreational vehicle']"
44,Tex_hammer_ILSVRC2012_val_00028069_t.jpg,maze,"['maze', 'stone wall', 'lumbermill', 'plane', 'cliff']"
45,Tex_shoe_ILSVRC2012_val_00034558_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'shower curtain', 'tile roof', 'chocolate sauce', 'chain mail']"
46,Tex_snail_ILSVRC2012_val_00023958_t.jpg,honeycomb,"['honeycomb', 'hen-of-the-woods', 'wool', 'coral reef', 'stole']"
47,Tex_apple_ILSVRC2012_val_00045087_t.jpg,Granny Smith,"['Granny Smith', 'buckeye', 'jackfruit', 'coral reef', 'acorn']"
48,Tex_apple_ILSVRC2012_val_00000023_t.jpg,Granny Smith,"['Granny Smith', 'shower curtain', ""yellow lady's slipper"", 'tennis ball', 'sleeping bag']"
49,Tex_pineapple_ILSVRC2012_val_00012582_t.jpg,hen-of-the-woods,"['hen-of-the-woods', 'pineapple', 'wool', 'bee', 'pizza']"
