,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'terrapin', 'mud turtle', 'African crocodile', 'whiptail']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'baboon', 'otter', 'American black bear', 'wallaby']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'artichoke', 'cardoon', 'jackfruit', 'banana']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,crayfish,"['crayfish', 'spiny lobster', 'American lobster', 'isopod', 'cockroach']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,three-toed sloth,"['three-toed sloth', 'brown bear', 'Irish wolfhound', 'ibex', 'hen-of-the-woods']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'cup', 'beer glass', 'pitcher', 'teapot']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,honeycomb,"['honeycomb', 'bee', 'apiary', 'king crab', 'isopod']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'Indian elephant', 'warthog', 'hog', 'lion']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'screwdriver', 'orange', 'ladybug', 'weevil']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'Weimaraner', 'American Staffordshire terrier', 'Rhodesian ridgeback', 'Mexican hairless']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,hog,"['hog', 'ox', 'ice bear', 'oxcart', 'ibex']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'monarch', 'lycaenid', 'ringlet', 'lacewing']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'grey fox', 'hare', 'lynx', 'fox squirrel']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,running shoe,"['running shoe', 'nematode', 'doormat', 'eel', 'velvet']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'ant', 'pineapple', 'bell pepper']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,aircraft carrier,"['aircraft carrier', 'warplane', 'projectile', 'missile', 'hammerhead']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'cauliflower', 'cardoon', 'hen-of-the-woods', 'artichoke']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,binoculars,"['binoculars', 'dumbbell', 'power drill', 'hand blower', 'projectile']"
