,image_path,top1_class,top5_class
0,Lin_pineapple_ILSVRC2012_val_00029522_l.jpg,wool,"['wool', 'plastic bag', 'soap dispenser', 'mailbag', 'gown']"
1,Lin_crab_ILSVRC2012_val_00003272_l.jpg,buckle,"['buckle', 'sleeping bag', 'brassiere', 'parachute', 'triceratops']"
2,Lin_banana_ILSVRC2012_val_00046575_l.jpg,buckle,"['buckle', 'banana', 'orange', 'chain saw', 'brassiere']"
3,Lin_crab_ILSVRC2012_val_00034670_l.jpg,fiddler crab,"['fiddler crab', 'rock crab', 'king crab', 'scorpion', 'tick']"
4,Lin_cabbage_ILSVRC2012_val_00019287_l.jpg,strawberry,"['strawberry', 'punching bag', 'drum', 'lemon', 'shield']"
5,Lin_crocodilian_ILSVRC2012_val_00038647_l.jpg,leatherback turtle,"['leatherback turtle', 'sleeping bag', 'parachute', 'brassiere', 'ski']"
6,Lin_snail_ILSVRC2012_val_00018951_l.jpg,quill,"['quill', 'wool', 'velvet', 'stole', 'sarong']"
7,Lin_horse_ILSVRC2012_val_00017358_l.jpg,triceratops,"['triceratops', 'comic book', 'parachute', 'bloodhound', 'velvet']"
8,Lin_dryer_ILSVRC2012_val_00044460_l.jpg,maraca,"['maraca', 'bonnet', 'pick', 'whistle', 'bolo tie']"
9,Lin_crocodilian_ILSVRC2012_val_00037166_l.jpg,sleeping bag,"['sleeping bag', 'sea cucumber', 'sea slug', 'banded gecko', 'brassiere']"
10,Lin_squirrel_ILSVRC2012_val_00023383_l.jpg,plastic bag,"['plastic bag', 'jersey', 'velvet', 'sweatshirt', 'wool']"
11,Lin_mug_ILSVRC2012_val_00043571_l.jpg,coffee mug,"['coffee mug', 'cup', 'pitcher', 'water jug', 'bucket']"
12,Lin_lobster_ILSVRC2012_val_00017039_l.jpg,sleeping bag,"['sleeping bag', 'parachute', 'quill', 'stethoscope', 'bow tie']"
13,Lin_turtle_ILSVRC2012_val_00047941_l.jpg,leatherback turtle,"['leatherback turtle', 'shower cap', 'maraca', 'buckle', 'bonnet']"
14,Lin_apple_ILSVRC2012_val_00012232_l.jpg,strawberry,"['strawberry', 'parachute', 'orange', 'ping-pong ball', 'shield']"
15,Lin_dryer_ILSVRC2012_val_00038783_l.jpg,nail,"['nail', 'holster', 'hook', 'hatchet', 'corkscrew']"
16,Lin_mushroom_ILSVRC2012_val_00021713_l.jpg,nail,"['nail', 'stinkhorn', 'starfish', 'sea cucumber', 'knot']"
17,Lin_bellpepper_ILSVRC2012_val_00009973_l.jpg,shower cap,"['shower cap', 'sweatshirt', 'pick', 'bathing cap', 'punching bag']"
18,Lin_flower_ILSVRC2012_val_00022139_l.jpg,whistle,"['whistle', 'face powder', 'hair slide', 'book jacket', 'buckle']"
19,Lin_microwave_ILSVRC2012_val_00047421_l.jpg,hard disc,"['hard disc', 'mousetrap', 'packet', 'wallet', 'binder']"
20,Lin_cat_ILSVRC2012_val_00031180_l.jpg,parachute,"['parachute', 'swab', 'sleeping bag', 'nail', 'chain saw']"
21,Lin_microwave_ILSVRC2012_val_00038763_l.jpg,binder,"['binder', 'safe', 'microwave', 'wallet', 'mousetrap']"
22,Lin_chair_ILSVRC2012_val_00041720_l.jpg,throne,"['throne', 'rocking chair', 'cradle', 'folding chair', 'scabbard']"
