,image_path,top1_class,top5_class
0,Cro5dva_v05_gun_ILSVRC2012_val_00016796_cs.jpg,envelope,"['envelope', 'hair slide', 'ant', 'web site', 'screw']"
1,Cro5dva_v05_broccoli_ILSVRC2012_val_00027637_cs.jpg,hair slide,"['hair slide', 'nail', 'traffic light', 'envelope', 'safety pin']"
2,Cro5dva_v05_dog_ILSVRC2012_val_00030058_cs.jpg,nail,"['nail', 'safety pin', 'hair slide', 'snowmobile', 'screw']"
3,Cro5dva_v05_turtle_ILSVRC2012_val_00049782_cs.jpg,hair slide,"['hair slide', 'nail', 'doormat', 'face powder', 'bib']"
4,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038647_cs.jpg,hair slide,"['hair slide', 'envelope', 'bib', 'safety pin', 'whistle']"
5,Cro5dva_v05_snail_ILSVRC2012_val_00023958_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'screw', 'bib']"
6,Cro5dva_v05_flower_ILSVRC2012_val_00048934_cs.jpg,ant,"['ant', 'jigsaw puzzle', 'nail', 'traffic light', 'envelope']"
7,Cro5dva_v05_chair_ILSVRC2012_val_00001953_cs.jpg,envelope,"['envelope', 'nail', 'web site', 'screw', 'warplane']"
8,Cro5dva_v05_banana_ILSVRC2012_val_00049606_cs.jpg,hair slide,"['hair slide', 'maypole', 'screw', 'nematode', 'whistle']"
9,Cro5dva_v05_pineapple_ILSVRC2012_val_00029522_cs.jpg,safety pin,"['safety pin', 'nail', 'screw', 'web site', 'honeycomb']"
10,Cro5dva_v05_horse_ILSVRC2012_val_00017358_cs.jpg,ant,"['ant', 'hair slide', 'web site', 'maypole', 'envelope']"
11,Cro5dva_v05_elephant_ILSVRC2012_val_00040375_cs.jpg,web site,"['web site', 'nail', 'hair slide', 'screw', 'safety pin']"
12,Cro5dva_v05_mug_ILSVRC2012_val_00027194_cs.jpg,nail,"['nail', 'hair slide', 'safety pin', 'Band Aid', 'parachute']"
13,Cro5dva_v05_tiger_ILSVRC2012_val_00048186_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'web site', 'envelope', 'safety pin']"
14,Cro5dva_v05_fish_ILSVRC2012_val_00032417_cs.jpg,hair slide,"['hair slide', 'safety pin', 'nail', 'bib', 'ear']"
15,Cro5dva_v05_camel_ILSVRC2012_val_00015872_cs.jpg,web site,"['web site', 'snowmobile', 'lakeside', 'parachute', 'maypole']"
16,Cro5dva_v05_crocodilian_ILSVRC2012_val_00037166_cs.jpg,hair slide,"['hair slide', 'screw', 'nail', 'bib', 'safety pin']"
17,Cro5dva_v05_lobster_ILSVRC2012_val_00036759_cs.jpg,envelope,"['envelope', 'hair slide', 'barn spider', 'ant', 'screw']"
18,Cro5dva_v05_dog_ILSVRC2012_val_00028881_cs.jpg,ant,"['ant', 'maypole', 'web site', 'parachute', 'hair slide']"
19,Cro5dva_v05_snail_ILSVRC2012_val_00046248_cs.jpg,nail,"['nail', 'hair slide', 'ant', 'maypole', 'envelope']"
20,Cro5dva_v05_airplane_ILSVRC2012_val_00049097_cs.jpg,envelope,"['envelope', 'warplane', 'airship', 'ant', 'screw']"
21,Cro5dva_v05_swine_ILSVRC2012_val_00011892_cs.jpg,nail,"['nail', 'hair slide', 'envelope', 'binder', 'screw']"
22,Cro5dva_v05_dog_ILSVRC2012_val_00012566_cs.jpg,hair slide,"['hair slide', 'envelope', 'jersey', 'web site', 'nail']"
23,Cro5dva_v05_shoe_ILSVRC2012_val_00048970_cs.jpg,hair slide,"['hair slide', 'bib', 'envelope', 'parachute', 'whistle']"
24,Cro5dva_v05_snake_ILSVRC2012_val_00014926_cs.jpg,nematode,"['nematode', 'hair slide', 'chain', 'screw', 'maypole']"
25,Cro5dva_v05_rabbit_ILSVRC2012_val_00013125_cs.jpg,web site,"['web site', 'parachute', 'maypole', 'airship', 'nail']"
26,Cro5dva_v05_airplane_ILSVRC2012_val_00030531_cs.jpg,envelope,"['envelope', 'nail', 'screw', 'nematode', 'hair slide']"
27,Cro5dva_v05_rabbit_ILSVRC2012_val_00044412_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'envelope', 'bib']"
28,Cro5dva_v05_pineapple_ILSVRC2012_val_00012582_cs.jpg,hair slide,"['hair slide', 'broccoli', 'nail', 'parachute', 'doormat']"
29,Cro5dva_v05_squirrel_ILSVRC2012_val_00048792_cs.jpg,traffic light,"['traffic light', 'snowmobile', 'lakeside', 'parachute', 'nail']"
30,Cro5dva_v05_lemon_ILSVRC2012_val_00048264_cs.jpg,nail,"['nail', 'hair slide', 'bib', 'screw', 'parachute']"
31,Cro5dva_v05_spider_ILSVRC2012_val_00039661_cs.jpg,ant,"['ant', 'parachute', 'barn spider', 'tick', 'nail']"
32,Cro5dva_v05_horse_ILSVRC2012_val_00011600_cs.jpg,web site,"['web site', 'nail', 'screw', 'snowmobile', 'maypole']"
33,Cro5dva_v05_bellpepper_ILSVRC2012_val_00000423_cs.jpg,nail,"['nail', 'hair slide', 'safety pin', 'parachute', 'honeycomb']"
34,Cro5dva_v05_turtle_ILSVRC2012_val_00047941_cs.jpg,nail,"['nail', 'hair slide', 'parachute', 'broccoli', 'maypole']"
35,Cro5dva_v05_lemon_ILSVRC2012_val_00038325_cs.jpg,nail,"['nail', 'hair slide', 'bib', 'face powder', 'screw']"
36,Cro5dva_v05_bear_ILSVRC2012_val_00011967_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'ant', 'airship']"
37,Cro5dva_v05_car_ILSVRC2012_val_00005456_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'bib', 'doormat']"
38,Cro5dva_v05_hammer_ILSVRC2012_val_00032002_cs.jpg,screw,"['screw', 'hair slide', 'oboe', 'envelope', 'nail']"
39,Cro5dva_v05_lobster_ILSVRC2012_val_00028657_cs.jpg,hair slide,"['hair slide', 'ant', 'nail', 'screw', 'honeycomb']"
40,Cro5dva_v05_butterfly_ILSVRC2012_val_00035074_cs.jpg,parachute,"['parachute', 'nail', 'hair slide', 'maypole', 'isopod']"
41,Cro5dva_v05_fish_ILSVRC2012_val_00047320_cs.jpg,envelope,"['envelope', 'nail', 'airship', 'whistle', 'screw']"
42,Cro5dva_v05_airplane_ILSVRC2012_val_00011168_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'airship', 'oboe']"
43,Cro5dva_v05_dog_ILSVRC2012_val_00010378_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'safety pin', 'web site']"
44,Cro5dva_v05_butterfly_ILSVRC2012_val_00042436_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'doormat', 'parachute']"
45,Cro5dva_v05_chair_ILSVRC2012_val_00044181_cs.jpg,parachute,"['parachute', 'hair slide', 'maypole', 'handkerchief', 'bib']"
46,Cro5dva_v05_horse_ILSVRC2012_val_00032126_cs.jpg,nail,"['nail', 'hair slide', 'web site', 'screw', 'parachute']"
47,Cro5dva_v05_car_ILSVRC2012_val_00037492_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'parachute', 'ear']"
48,Cro5dva_v05_bee_ILSVRC2012_val_00042015_cs.jpg,ant,"['ant', 'envelope', 'web site', 'handkerchief', 'nail']"
49,Cro5dva_v05_horse_ILSVRC2012_val_00008317_cs.jpg,maypole,"['maypole', 'hair slide', 'web site', 'nail', 'screw']"
50,Cro5dva_v05_swine_ILSVRC2012_val_00031491_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'screw', 'parachute']"
51,Cro5dva_v05_mushroom_ILSVRC2012_val_00039698_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'American alligator', 'parachute']"
52,Cro5dva_v05_snail_ILSVRC2012_val_00001959_cs.jpg,parachute,"['parachute', 'hair slide', 'nail', 'maypole', 'ant']"
53,Cro5dva_v05_acorn_ILSVRC2012_val_00013791_cs.jpg,nail,"['nail', 'parachute', 'hair slide', 'screw', 'maypole']"
54,Cro5dva_v05_bird_ILSVRC2012_val_00028363_cs.jpg,hair slide,"['hair slide', 'nail', 'doormat', 'envelope', 'parachute']"
55,Cro5dva_v05_elephant_ILSVRC2012_val_00032620_cs.jpg,hair slide,"['hair slide', 'web site', 'nail', 'ant', 'safety pin']"
56,Cro5dva_v05_butterfly_ILSVRC2012_val_00015608_cs.jpg,hair slide,"['hair slide', 'honeycomb', 'ant', 'nail', 'parachute']"
57,Cro5dva_v05_butterfly_ILSVRC2012_val_00025307_cs.jpg,hair slide,"['hair slide', 'parachute', 'nail', 'envelope', 'pick']"
58,Cro5dva_v05_spider_ILSVRC2012_val_00029156_cs.jpg,ant,"['ant', 'parachute', 'airship', 'web site', 'nematode']"
59,Cro5dva_v05_dryer_ILSVRC2012_val_00038783_cs.jpg,maypole,"['maypole', 'nail', 'hair slide', 'screw', 'parachute']"
60,Cro5dva_v05_chair_ILSVRC2012_val_00004120_cs.jpg,parachute,"['parachute', 'hair slide', 'envelope', 'handkerchief', 'bib']"
61,Cro5dva_v05_turtle_ILSVRC2012_val_00024666_cs.jpg,hair slide,"['hair slide', 'nail', 'jersey', 'parachute', 'face powder']"
62,Cro5dva_v05_mushroom_ILSVRC2012_val_00038421_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'envelope', 'oboe']"
63,Cro5dva_v05_dryer_ILSVRC2012_val_00044460_cs.jpg,maypole,"['maypole', 'nail', 'parachute', 'screw', 'hair slide']"
64,Cro5dva_v05_bear_ILSVRC2012_val_00038263_cs.jpg,nail,"['nail', 'honeycomb', 'hair slide', 'ice lolly', 'safety pin']"
65,Cro5dva_v05_crocodilian_ILSVRC2012_val_00038287_cs.jpg,parachute,"['parachute', 'maypole', 'nail', 'nematode', 'web site']"
66,Cro5dva_v05_butterfly_ILSVRC2012_val_00013795_cs.jpg,hair slide,"['hair slide', 'safety pin', 'nail', 'parachute', 'maypole']"
67,Cro5dva_v05_chair_ILSVRC2012_val_00012771_cs.jpg,maypole,"['maypole', 'ant', 'web site', 'parachute', 'nematode']"
68,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00038747_cs.jpg,hair slide,"['hair slide', 'parachute', 'safety pin', 'banded gecko', 'ear']"
69,Cro5dva_v05_flower_ILSVRC2012_val_00039137_cs.jpg,nail,"['nail', 'honeycomb', 'screw', 'hair slide', 'wall clock']"
70,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00006991_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'parachute', 'web site']"
71,Cro5dva_v05_pineapple_ILSVRC2012_val_00024461_cs.jpg,nail,"['nail', 'screw', 'hair slide', 'envelope', 'web site']"
72,Cro5dva_v05_squirrel_ILSVRC2012_val_00042981_cs.jpg,parachute,"['parachute', 'web site', 'airship', 'maypole', 'traffic light']"
73,Cro5dva_v05_mug_ILSVRC2012_val_00025893_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'parachute', 'bib']"
74,Cro5dva_v05_car_ILSVRC2012_val_00010455_cs.jpg,hair slide,"['hair slide', 'nail', 'screw', 'envelope', 'jersey']"
75,Cro5dva_v05_frog_ILSVRC2012_val_00010287_cs.jpg,ant,"['ant', 'hair slide', 'web site', 'parachute', 'bib']"
76,Cro5dva_v05_hippopotamus_ILSVRC2012_val_00032449_cs.jpg,nail,"['nail', 'ice lolly', 'hair slide', 'safety pin', 'wall clock']"
77,Cro5dva_v05_spider_ILSVRC2012_val_00026030_cs.jpg,ant,"['ant', 'parachute', 'barn spider', 'nematode', 'airship']"
78,Cro5dva_v05_frog_ILSVRC2012_val_00022660_cs.jpg,parachute,"['parachute', 'nail', 'ant', 'nematode', 'maypole']"
79,Cro5dva_v05_bird_ILSVRC2012_val_00007153_cs.jpg,hair slide,"['hair slide', 'maypole', 'parachute', 'nail', 'web site']"
80,Cro5dva_v05_crab_ILSVRC2012_val_00008705_cs.jpg,envelope,"['envelope', 'ant', 'parachute', 'nail', 'web site']"
81,Cro5dva_v05_crab_ILSVRC2012_val_00011922_cs.jpg,ant,"['ant', 'envelope', 'nematode', 'pick', 'web site']"
82,Cro5dva_v05_mushroom_ILSVRC2012_val_00021713_cs.jpg,parachute,"['parachute', 'maypole', 'nail', 'web site', 'screw']"
83,Cro5dva_v05_lobster_ILSVRC2012_val_00017039_cs.jpg,hair slide,"['hair slide', 'envelope', 'bib', 'safety pin', 'web site']"
84,Cro5dva_v05_crocodilian_ILSVRC2012_val_00010826_cs.jpg,screw,"['screw', 'nail', 'hair slide', 'safety pin', 'American alligator']"
85,Cro5dva_v05_snake_ILSVRC2012_val_00006751_cs.jpg,sea snake,"['sea snake', 'nematode', 'parachute', 'thunder snake', 'banded gecko']"
86,Cro5dva_v05_bird_ILSVRC2012_val_00017028_cs.jpg,hair slide,"['hair slide', 'ant', 'maypole', 'parachute', 'nail']"
87,Cro5dva_v05_mug_ILSVRC2012_val_00020276_cs.jpg,hair slide,"['hair slide', 'safety pin', 'nail', 'screw', 'bib']"
88,Cro5dva_v05_spider_ILSVRC2012_val_00008805_cs.jpg,barn spider,"['barn spider', 'garden spider', 'black and gold garden spider', 'spider web', 'parachute']"
89,Cro5dva_v05_acorn_ILSVRC2012_val_00028557_cs.jpg,nail,"['nail', 'hair slide', 'parachute', 'maypole', 'vase']"
90,Cro5dva_v05_monkey_ILSVRC2012_val_00003631_cs.jpg,nail,"['nail', 'hair slide', 'jigsaw puzzle', 'screw', 'web site']"
91,Cro5dva_v05_bird_ILSVRC2012_val_00030545_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'screw', 'maypole']"
92,Cro5dva_v05_spider_ILSVRC2012_val_00029756_cs.jpg,barn spider,"['barn spider', 'parachute', 'ant', 'vulture', 'spider web']"
93,Cro5dva_v05_airplane_ILSVRC2012_val_00033920_cs.jpg,envelope,"['envelope', 'screw', 'nail', 'airship', 'modem']"
94,Cro5dva_v05_airplane_ILSVRC2012_val_00023781_cs.jpg,airship,"['airship', 'ant', 'warplane', 'envelope', 'parachute']"
95,Cro5dva_v05_apple_ILSVRC2012_val_00045087_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'bib', 'bottlecap']"
96,Cro5dva_v05_hammer_ILSVRC2012_val_00003387_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'nail', 'whistle', 'web site']"
97,Cro5dva_v05_elephant_ILSVRC2012_val_00018263_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'jigsaw puzzle', 'web site']"
98,Cro5dva_v05_mushroom_ILSVRC2012_val_00040625_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'parachute', 'maypole']"
99,Cro5dva_v05_camel_ILSVRC2012_val_00013553_cs.jpg,hair slide,"['hair slide', 'nail', 'safety pin', 'envelope', 'bib']"
100,Cro5dva_v05_hammer_ILSVRC2012_val_00028069_cs.jpg,envelope,"['envelope', 'nail', 'screw', 'web site', 'modem']"
101,Cro5dva_v05_gun_ILSVRC2012_val_00003457_cs.jpg,maypole,"['maypole', 'parachute', 'nematode', 'web site', 'nail']"
102,Cro5dva_v05_shoe_ILSVRC2012_val_00019717_cs.jpg,envelope,"['envelope', 'bib', 'nail', 'hair slide', 'screw']"
103,Cro5dva_v05_bellpepper_ILSVRC2012_val_00028090_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'vase', 'maypole']"
104,Cro5dva_v05_snail_ILSVRC2012_val_00045031_cs.jpg,hair slide,"['hair slide', 'banded gecko', 'nail', 'screw', 'maypole']"
105,Cro5dva_v05_broccoli_ILSVRC2012_val_00004207_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'parachute', 'web site']"
106,Cro5dva_v05_monkey_ILSVRC2012_val_00027323_cs.jpg,ant,"['ant', 'web site', 'maypole', 'envelope', 'hair slide']"
107,Cro5dva_v05_pineapple_ILSVRC2012_val_00023804_cs.jpg,maypole,"['maypole', 'envelope', 'web site', 'screw', 'nail']"
108,Cro5dva_v05_gun_ILSVRC2012_val_00002840_cs.jpg,envelope,"['envelope', 'hair slide', 'web site', 'nail', 'screw']"
109,Cro5dva_v05_bee_ILSVRC2012_val_00017418_cs.jpg,envelope,"['envelope', 'hair slide', 'web site', 'jersey', 'carton']"
110,Cro5dva_v05_frog_ILSVRC2012_val_00041279_cs.jpg,parachute,"['parachute', 'ant', 'maypole', 'web site', 'nematode']"
111,Cro5dva_v05_acorn_ILSVRC2012_val_00012754_cs.jpg,hair slide,"['hair slide', 'parachute', 'bib', 'nail', 'safety pin']"
112,Cro5dva_v05_rabbit_ILSVRC2012_val_00021667_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'traffic light', 'doormat']"
113,Cro5dva_v05_guitar_ILSVRC2012_val_00021556_cs.jpg,maypole,"['maypole', 'parachute', 'screw', 'traffic light', 'web site']"
114,Cro5dva_v05_flower_ILSVRC2012_val_00019320_cs.jpg,ant,"['ant', 'web site', 'traffic light', 'envelope', 'honeycomb']"
115,Cro5dva_v05_rabbit_ILSVRC2012_val_00006108_cs.jpg,web site,"['web site', 'nail', 'envelope', 'parachute', 'safety pin']"
116,Cro5dva_v05_crab_ILSVRC2012_val_00034670_cs.jpg,ant,"['ant', 'airship', 'parachute', 'web site', 'tick']"
117,Cro5dva_v05_mug_ILSVRC2012_val_00025548_cs.jpg,hair slide,"['hair slide', 'nail', 'parachute', 'bib', 'isopod']"
118,Cro5dva_v05_strawberry_ILSVRC2012_val_00023739_cs.jpg,nail,"['nail', 'hair slide', 'bib', 'honeycomb', 'screw']"
119,Cro5dva_v05_lobster_ILSVRC2012_val_00047059_cs.jpg,ant,"['ant', 'web site', 'envelope', 'hair slide', 'airship']"
120,Cro5dva_v05_cat_ILSVRC2012_val_00001341_cs.jpg,hair slide,"['hair slide', 'safety pin', 'bib', 'envelope', 'nail']"
121,Cro5dva_v05_snake_ILSVRC2012_val_00027631_cs.jpg,ant,"['ant', 'envelope', 'nematode', 'warplane', 'web site']"
122,Cro5dva_v05_turtle_ILSVRC2012_val_00009376_cs.jpg,parachute,"['parachute', 'hair slide', 'ant', 'broccoli', 'nail']"
123,Cro5dva_v05_flower_ILSVRC2012_val_00013936_cs.jpg,ant,"['ant', 'web site', 'traffic light', 'hair slide', 'nail']"
124,Cro5dva_v05_horse_ILSVRC2012_val_00029082_cs.jpg,hair slide,"['hair slide', 'web site', 'nail', 'safety pin', 'parachute']"
125,Cro5dva_v05_bear_ILSVRC2012_val_00020441_cs.jpg,hair slide,"['hair slide', 'safety pin', 'envelope', 'nail', 'screw']"
126,Cro5dva_v05_squirrel_ILSVRC2012_val_00023383_cs.jpg,nail,"['nail', 'hair slide', 'ice lolly', 'screw', 'honeycomb']"
127,Cro5dva_v05_camel_ILSVRC2012_val_00003409_cs.jpg,maypole,"['maypole', 'parachute', 'hair slide', 'nail', 'ant']"
128,Cro5dva_v05_flower_ILSVRC2012_val_00022139_cs.jpg,hair slide,"['hair slide', 'nail', 'honeycomb', 'safety pin', 'envelope']"
129,Cro5dva_v05_car_ILSVRC2012_val_00034824_cs.jpg,nail,"['nail', 'hair slide', 'screw', 'safety pin', 'parachute']"
130,Cro5dva_v05_dryer_ILSVRC2012_val_00013313_cs.jpg,hair slide,"['hair slide', 'nail', 'envelope', 'maypole', 'web site']"
131,Cro5dva_v05_pineapple_ILSVRC2012_val_00009015_cs.jpg,hair slide,"['hair slide', 'envelope', 'web site', 'nail', 'bib']"
