,image_path,top1_class,top5_class
0,Fil_turtle_ILSVRC2012_val_00024666_f.jpg,box turtle,"['box turtle', 'terrapin', 'African crocodile', 'whiptail', 'mud turtle']"
1,Fil_bear_ILSVRC2012_val_00038263_f.jpg,brown bear,"['brown bear', 'American black bear', 'chow', 'otter', 'baboon']"
2,Fil_pineapple_ILSVRC2012_val_00029522_f.jpg,pineapple,"['pineapple', 'hen-of-the-woods', 'cardoon', 'artichoke', 'head cabbage']"
3,Fil_lobster_ILSVRC2012_val_00028657_f.jpg,crayfish,"['crayfish', 'hermit crab', 'American lobster', 'cockroach', 'spiny lobster']"
4,Fil_bear_ILSVRC2012_val_00011967_f.jpg,brown bear,"['brown bear', 'Irish wolfhound', 'ibex', 'three-toed sloth', 'flat-coated retriever']"
5,Fil_mug_ILSVRC2012_val_00025548_f.jpg,coffee mug,"['coffee mug', 'cup', 'teapot', 'pitcher', 'water jug']"
6,Fil_spider_ILSVRC2012_val_00026030_f.jpg,barn spider,"['barn spider', 'king crab', 'bee', 'tarantula', 'isopod']"
7,Fil_camel_ILSVRC2012_val_00013553_f.jpg,Arabian camel,"['Arabian camel', 'hog', 'warthog', 'Indian elephant', 'meerkat']"
8,Fil_banana_ILSVRC2012_val_00021860_f.jpg,banana,"['banana', 'pineapple', 'butternut squash', 'maraca', 'flute']"
9,Fil_hippopotamus_ILSVRC2012_val_00032449_f.jpg,hippopotamus,"['hippopotamus', 'redbone', 'vizsla', 'bloodhound', 'Rhodesian ridgeback']"
10,Fil_swine_ILSVRC2012_val_00011892_f.jpg,Arabian camel,"['Arabian camel', 'hog', 'ibex', 'wild boar', 'lion']"
11,Fil_butterfly_ILSVRC2012_val_00042436_f.jpg,admiral,"['admiral', 'monarch', 'lacewing', 'lycaenid', 'coral reef']"
12,Fil_rabbit_ILSVRC2012_val_00006108_f.jpg,wood rabbit,"['wood rabbit', 'hare', 'coyote', 'grey fox', 'fox squirrel']"
13,Fil_snake_ILSVRC2012_val_00024301_f.jpg,nail,"['nail', 'screw', 'chain mail', 'chain', 'radiator']"
14,Fil_apple_ILSVRC2012_val_00020655_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'pineapple', 'acorn squash', 'banana']"
15,Fil_fish_ILSVRC2012_val_00047320_f.jpg,missile,"['missile', 'projectile', 'tiger shark', 'warplane', 'hammerhead']"
16,Fil_broccoli_ILSVRC2012_val_00013519_f.jpg,broccoli,"['broccoli', 'cauliflower', 'cardoon', 'coral reef', 'hen-of-the-woods']"
17,Fil_dryer_ILSVRC2012_val_00044460_f.jpg,racer,"['racer', 'electric fan', 'odometer', 'radio', 'spotlight']"
18,Fil_clock_ILSVRC2012_val_00041461_f.jpg,odometer,"['odometer', 'analog clock', 'wall clock', 'digital watch', 'barometer']"
19,Fil_rabbit_ILSVRC2012_val_00013125_f.jpg,hare,"['hare', 'Leonberg', 'coyote', 'Arabian camel', 'ibex']"
20,Fil_mushroom_ILSVRC2012_val_00038421_f.jpg,mushroom,"['mushroom', ""potter's wheel"", 'dining table', 'hog', 'barber chair']"
21,Fil_elephant_ILSVRC2012_val_00035479_f.jpg,Indian elephant,"['Indian elephant', 'African elephant', 'tusker', 'Great Dane', 'Weimaraner']"
22,Fil_swine_ILSVRC2012_val_00007278_f.jpg,hog,"['hog', 'kelpie', 'wallaby', 'dingo', 'ox']"
23,Fil_dog_ILSVRC2012_val_00030058_f.jpg,kuvasz,"['kuvasz', 'Samoyed', 'Great Pyrenees', 'Pomeranian', 'ice bear']"
24,Fil_bear_ILSVRC2012_val_00031906_f.jpg,Leonberg,"['Leonberg', 'brown bear', 'Irish wolfhound', 'bison', 'soft-coated wheaten terrier']"
25,Fil_camel_ILSVRC2012_val_00015872_f.jpg,Arabian camel,"['Arabian camel', 'ibex', 'bighorn', 'hartebeest', 'dingo']"
26,Fil_crocodilian_ILSVRC2012_val_00010826_f.jpg,tile roof,"['tile roof', 'sea lion', 'fountain', 'umbrella', 'chain']"
27,Fil_apple_ILSVRC2012_val_00012232_f.jpg,Granny Smith,"['Granny Smith', 'fig', 'ant', 'cucumber', 'mushroom']"
28,Fil_dog_ILSVRC2012_val_00012566_f.jpg,kuvasz,"['kuvasz', 'golden retriever', 'Labrador retriever', 'Great Pyrenees', 'Irish wolfhound']"
29,Fil_spider_ILSVRC2012_val_00008805_f.jpg,black and gold garden spider,"['black and gold garden spider', 'spiny lobster', 'sea urchin', 'barn spider', 'long-horned beetle']"
30,Fil_corn_ILSVRC2012_val_00010495_f.jpg,ear,"['ear', 'corn', 'hamper', 'shopping basket', 'grocery store']"
31,Fil_lobster_ILSVRC2012_val_00002502_f.jpg,centipede,"['centipede', 'American lobster', 'crayfish', 'spiny lobster', 'honeycomb']"
32,Fil_shoe_ILSVRC2012_val_00033141_f.jpg,running shoe,"['running shoe', 'nipple', 'totem pole', 'coffee mug', 'face powder']"
33,Fil_helmet_ILSVRC2012_val_00032342_f.jpg,toilet seat,"['toilet seat', 'football helmet', 'iron', 'balloon', 'pinwheel']"
34,Fil_frog_ILSVRC2012_val_00022660_f.jpg,tree frog,"['tree frog', 'vine snake', 'bullfrog', 'green lizard', 'green mamba']"
35,Fil_car_ILSVRC2012_val_00005456_f.jpg,sports car,"['sports car', 'motor scooter', 'crash helmet', 'racer', 'moped']"
36,Fil_squirrel_ILSVRC2012_val_00024584_f.jpg,mongoose,"['mongoose', 'grey fox', 'wallaby', 'titi', 'fox squirrel']"
37,Fil_gun_ILSVRC2012_val_00012180_f.jpg,revolver,"['revolver', 'rifle', 'assault rifle', 'holster', 'power drill']"
38,Fil_horse_ILSVRC2012_val_00011600_f.jpg,English foxhound,"['English foxhound', 'gazelle', 'impala', 'bighorn', 'hartebeest']"
39,Fil_chair_ILSVRC2012_val_00004120_f.jpg,paddlewheel,"['paddlewheel', 'wreck', 'folding chair', 'plow', 'solar dish']"
40,Fil_helmet_ILSVRC2012_val_00047186_f.jpg,crash helmet,"['crash helmet', 'bobsled', 'puck', 'racer', 'quilt']"
41,Fil_clock_ILSVRC2012_val_00035392_f.jpg,analog clock,"['analog clock', 'wall clock', 'dial telephone', 'stopwatch', 'digital watch']"
